%time,field.port,field.star,secs_since_start
1588503737098606932,98.3349574807,87.2518349108,0.0
1588503737298294093,88.0716215357,112.307427654,0.199687168
1588503737497218638,94.870009345,97.8217165759,0.398611712
1588503737696357804,89.8829398923,68.7701353187,0.59775104
1588503737899176522,88.3979611441,89.7819692058,0.8005696
1588503738096916710,101.316369204,89.301403926,0.998309888
1588503738297546307,100.999024955,99.3511940066,1.198939392
1588503738499473784,93.7318880934,101.374972227,1.400866816
1588503738700681155,126.703219293,82.8661226334,1.602074368
1588503738898933892,75.5939724128,96.4929169333,1.800327168
1588503739097076025,80.543079674,107.564680899,1.99846912
1588503739296421977,111.44757514,78.4822954882,2.19781504
1588503739496226346,99.2262493561,77.992509453,2.397619456
1588503739695882717,98.8861674071,101.204183347,2.597275904
1588503739896138251,96.4666070446,111.839477734,2.797531392
1588503740095913134,79.6473276851,87.486533871,2.997306368
1588503740295855799,115.463528296,85.7251920086,3.197249024
1588503740499873347,98.1481039956,70.7904506337,3.401266432
1588503740696082520,105.699260614,84.2719326589,3.597475584
1588503740895768568,104.325484175,104.743717149,3.797161728
1588503741097711186,80.0901356792,110.36583027,3.999104256
1588503741295811357,108.68798064,101.662400248,4.19720448
1588503741497733779,102.691819039,66.6649139221,4.39912704
1588503741698433742,114.172260543,94.8830754968,4.599826944
1588503741897574220,95.734895709,74.4551681423,4.798967296
1588503742100370904,80.3127520348,99.5786119852,5.001764096
1588503742301377271,106.703544308,116.712496688,5.202770432
1588503742502019298,91.2157625164,88.136153163,5.40341248
1588503742700936438,102.935363094,98.7429793214,5.6023296
1588503742899045796,90.0572736407,69.0902184738,5.80043904
1588503743099232170,124.006305438,72.0139765706,6.000625408
1588503743299473352,96.9613722877,104.212915828,6.20086656
1588503743497163812,86.0143548973,96.963551118,6.398556928
1588503743697340517,99.671830407,98.7096343378,6.598733568
1588503743906708752,96.4477352319,89.916325857,6.808101888
1588503744097800600,75.8455556007,97.6651208288,6.999193856
1588503744296440509,79.6832954613,97.5796136906,7.197833728
1588503744498307566,90.4970080496,96.5502905223,7.399700736
1588503744697657797,80.7157605166,84.7533448822,7.599051008
1588503744895750052,87.7095122267,100.970843595,7.797143296
1588503745095725119,94.1027468747,89.7226626732,7.997118208
1588503745298269909,90.4784299351,87.7086243021,8.199663104
1588503745496037749,72.5041246058,87.7510397768,8.397430784
1588503745696132298,127.115790039,79.8653814744,8.597525504
1588503745895969363,92.8661889368,93.988662225,8.797362432
1588503746095873103,83.5637240043,98.7808732109,8.997266176
1588503746295939044,93.2712601358,101.645686775,9.197332224
