Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	10.252609	22.544561	49.16409	-16.105322	156.5	0.46706238	0.2369033	0.97473776	-0.13938503	1600	1.6093255e-08	106.72668	-0.032839395	-48.44488	4.588597	0.0154500855	0.18625	22.0	50.86776113510132	-0.50382555
1	3.001346	22.55139	31.822027	-44.954994	223.57143	-4.258534	3.1301088	11.210593	-9.282454	3200	-2.399087e-08	89.6913	-0.042894006	-41.056694	4.4649434	0.0151110245	0.2225	44.0	96.60967588424683	-0.5062322
2	6.7806673	26.134409	83.99368	-39.145367	112.28571	2.9937127	3.3157039	10.137885	-3.8909154	4800	6.0349703e-09	142.14432	-0.022463148	-100.68974	4.619933	0.015289818	0.203125	15.0	145.77894043922424	-0.5084156
3	-3.3833225	9.549064	20.184502	-15.506312	94.69231	0.18496208	5.041484	27.574022	-12.972352	6400	5.5134297e-09	53.129017	-0.049734585	-34.570774	4.583978	0.01484019	0.223125	79.0	195.21854996681213	-0.5136224
4	10.590282	19.999447	52.72908	-11.444345	130.54546	-1.2441802	4.7267003	9.799107	-13.4889965	8000	2.6226044e-08	186.74326	-0.02576301	-157.30597	4.5837855	0.015393028	0.2075	14.0	242.63788866996765	-0.5127265
5	12.716376	30.905556	64.73916	-55.123844	173.88889	6.1056647	11.024714	38.587936	-8.842307	9600	-1.654029e-08	232.38434	-0.010250719	-190.9473	4.545413	0.02015697	0.253125	5.0	286.2516670227051	-0.51281035
6	11.098952	27.38476	71.39975	-11.577632	111.30769	6.3352757	12.39286	24.447462	-22.366367	11200	2.1606683e-09	216.46227	-0.012153146	-180.1294	4.550967	0.018117456	0.251875	5.0	331.23399233818054	-0.5130622
7	11.766324	23.456041	72.77222	-12.572063	143.0	9.165827	12.264161	38.022724	-10.950743	12800	2.6673078e-08	136.24455	-0.0072625005	-124.66063	4.5312767	0.018912489	0.2475	3.0	384.31543827056885	-0.513297
8	2.6600602	10.809849	16.30688	-12.607901	252.5	-1.8835919	5.560695	17.538305	-12.441433	14400	2.3022293e-08	89.727234	-0.03140986	-59.98677	4.4762006	0.015325577	0.218125	32.0	429.5964689254761	-0.51747197
9	1.9690932	10.306014	25.89192	-14.875074	112.84615	-1.4142407	3.950025	6.6233325	-9.984058	16000	1.9073486e-08	24.24267	-0.04662654	-12.459274	4.4401245	0.013633114	0.205625	79.0	477.78521823883057	-0.52877367
10	7.3690653	27.967857	79.574295	-13.353702	140.2	1.3846518	6.7400165	20.92137	-6.925874	17600	5.9604646e-09	455.37656	-0.012597813	-427.01266	4.456521	0.016805142	0.25	6.0	526.2498598098755	-0.52995026
11	2.6475163	15.423476	41.469177	-14.3271	122.916664	11.29425	15.736942	46.11698	-14.224655	19200	-4.157424e-08	303.07202	-0.045899894	-286.44308	4.4570208	0.012511529	0.186875	79.0	570.4811701774597	-0.5280652
12	30.181879	37.40986	127.0613	-6.2806754	158.9	9.541062	11.353085	50.879585	-13.558802	20800	-1.1920929e-09	132.80162	-0.047431394	-104.469666	4.4236393	0.015294159	0.211875	56.0	621.1716296672821	-0.5373385
13	7.571239	33.28279	102.71339	-14.841789	134.0	6.3744044	10.433193	32.55061	-13.930327	22400	2.0861626e-09	85.34515	-0.0120907305	-75.48027	4.476343	0.01717413	0.229375	4.0	670.3368949890137	-0.537754
14	9.482048	26.644243	60.49626	-17.587545	147.71428	7.017665	9.020464	32.098293	-14.082813	24000	-1.579523e-08	184.75836	-0.04765868	-170.95111	4.391054	0.015101185	0.231875	70.0	719.2542524337769	-0.54521877
15	6.297863	31.029058	83.96554	-27.609108	172.44444	4.579795	8.950787	28.303278	-19.70814	25600	3.7550926e-08	172.6693	-0.0382495	-149.11101	4.386392	0.016196832	0.189375	28.0	768.2458324432373	-0.5493727
16	9.818656	13.610651	30.425995	-11.567168	165.625	2.935463	6.4563284	16.400726	-14.00854	27200	-1.6205012e-08	134.61572	-0.041041408	-102.26872	4.3546257	0.016243026	0.2375	27.0	816.5243096351624	-0.5532565
