Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	20.067854	37.725945	78.28187	-28.738882	156.5	0.46706238	0.2369033	0.97473776	-0.13938503	1600	1.6093255e-08	368.46494	-0.03953623	-103.73187	4.588597	0.015241537	0.19	40.0	37.88005447387695	-0.5025083
1	8.575417	43.888157	100.42789	-67.711624	195.75	-4.683405	7.21092	14.792641	-12.252619	3200	4.7683715e-09	586.14636	-0.04712644	-472.4284	4.4715295	0.013933437	0.1875	79.0	67.91465330123901	-0.5058919
2	19.715271	62.350056	242.1251	-21.97959	95.375	4.9581566	15.708412	62.303684	-29.156868	4800	-1.2516975e-08	1056.9633	-0.012008387	-896.14105	4.621635	0.02116477	0.27	5.0	95.48318409919739	-0.50611717
3	24.631878	55.515854	156.02348	-12.36387	120.3	3.5471947	14.704476	53.683838	-30.705463	6400	5.438924e-08	650.75226	-0.015252978	-370.23355	4.5954714	0.014906833	0.1525	7.0	123.45697259902954	-0.50563467
4	82.517	175.20024	577.27875	-11.163768	143.0	25.72244	24.24204	86.42616	-17.561861	8000	2.0861625e-08	2497.0266	-0.048837196	-2169.8403	4.623724	0.015229178	0.20375	68.0	151.7403883934021	-0.50339
5	14.247112	28.859934	79.93635	-9.487595	157.375	14.106763	36.797276	158.65887	-29.26516	9600	-4.3511392e-08	1113.0782	-0.03511108	-997.1522	4.592096	0.015040991	0.21125	34.0	179.72684454917908	-0.5077534
6	9.784282	32.934288	95.64738	-30.701813	99.8	-2.9133399	14.470177	116.25316	-23.580555	11200	-1.0430813e-09	400.3563	-0.043584384	-218.93607	4.5762515	0.015283036	0.22875	67.0	208.0700933933258	-0.50815535
7	17.186138	47.77643	132.47038	-19.01237	130.16667	4.0758123	9.862996	54.77197	-12.203015	12800	5.2154063e-09	257.7228	-0.047835503	-153.6012	4.555811	0.015085743	0.23	66.0	236.59024691581726	-0.51588845
8	3.2481697	21.997885	47.747246	-39.294502	111.78571	-0.24522904	7.4984617	29.58898	-13.587337	14400	-1.065433e-08	184.34172	-0.01050317	-75.04752	4.463244	0.016090527	0.238125	3.0	264.6366186141968	-0.51642257
9	7.623812	36.615135	78.267	-47.560173	158.33333	-4.749168	8.647324	38.942455	-22.761875	16000	-9.0897085e-09	871.16296	-0.02552902	-381.7404	4.445371	0.016092023	0.216875	17.0	292.5805821418762	-0.5179995
10	55.235268	93.937096	293.12848	-11.046409	172.11111	13.896389	18.665398	78.19892	-10.799842	17600	6.1839818e-09	756.2466	-0.036347058	-527.2372	4.510392	0.015381435	0.219375	26.0	320.9639437198639	-0.51743805
11	4.971128	20.395218	42.69512	-21.444702	102.53846	22.757837	39.776443	124.61768	-48.623173	19200	-2.7567149e-08	1627.8247	-0.04145967	-1488.5579	4.519582	0.01506676	0.218125	36.0	349.7922580242157	-0.5237465
12	15.180113	33.01181	95.752464	-17.81778	153.2	2.5480835	16.853724	100.9672	-40.22351	20800	1.07288365e-08	419.85492	-0.013546733	-297.28305	4.4452324	0.01781141	0.255	5.0	377.4144706726074	-0.52523303
13	3.8666408	28.148344	70.88976	-33.875885	93.05882	-4.049162	15.118204	34.72377	-40.37774	22400	-1.1920929e-08	343.7179	-0.050642673	-209.67102	4.536871	0.015258539	0.23375	75.0	406.52125120162964	-0.5314018
14	12.875288	31.151247	77.486115	-27.495955	102.6	0.26488295	7.5068974	26.576597	-17.683022	24000	-3.6507846e-09	518.24615	-0.038100254	-353.99878	4.422816	0.015520118	0.225	25.0	434.36080265045166	-0.53842795
15	20.378832	56.276543	147.39732	-29.957077	110.92308	22.698294	30.633055	138.69328	-10.878735	25600	2.2500753e-08	1680.2091	-0.04519606	-1376.6814	4.4203467	0.015279633	0.216875	64.0	462.96837544441223	-0.5484611
16	-1.3128304	19.77318	23.832142	-44.01372	98.53846	-4.855926	7.003331	14.094367	-19.584707	27200	1.4901161e-08	77.57752	-0.030994512	-23.424023	4.359184	0.014900375	0.2075	15.0	490.9164924621582	-0.5544531
17	12.406024	31.929033	85.72663	-22.997066	142.6	0.38916218	5.836076	19.37245	-12.010287	28800	-7.4505807e-10	165.81049	-0.012995817	-75.588066	4.3088336	0.01596222	0.22375	5.0	518.7955741882324	-0.55648375
18	21.306566	64.285416	97.335625	-88.85484	244.66667	7.507897	10.79814	51.977345	-11.93455	30400	1.013279e-08	440.1661	-0.0414039	-342.67554	4.2712092	0.015510815	0.21375	46.0	546.5218598842621	-0.56110716
19	12.68841	39.532993	90.571945	-64.01653	97.933334	-4.042488	9.388807	20.945913	-25.143719	32000	5.021691e-08	378.8485	-0.041126624	-140.77727	4.3551435	0.015413732	0.224375	29.0	574.875556230545	-0.56795466
20	-6.8870625	32.928337	61.287037	-93.48039	119.76923	-0.8195697	8.544066	49.747566	-17.333662	33600	-1.37090685e-08	209.68417	-0.009776849	-102.7374	4.271184	0.019595366	0.263125	3.0	603.1818313598633	-0.5687453
21	12.724566	35.844498	90.158394	-39.40786	113.14286	1.6123697	6.6366506	61.942913	-16.750778	35200	-1.1920929e-08	350.11566	-0.012404399	-209.54797	4.250368	0.015958989	0.205	5.0	631.2774171829224	-0.56940615
22	10.990815	38.23198	112.19513	-53.2706	135.90909	7.8453407	15.083464	41.15308	-21.878904	36800	2.026558e-08	282.17926	-0.05120099	-204.97571	4.2339263	0.015007241	0.22375	72.0	659.5204095840454	-0.57740945
23	17.189022	45.37706	133.6218	-26.304422	131.7	-0.56120414	11.903504	22.227036	-33.300156	38400	3.2931567e-08	462.4704	-0.03701778	-360.81763	4.213264	0.015457921	0.2225	22.0	687.827086687088	-0.5804797
24	11.238191	27.44489	93.98223	-9.952233	116.666664	5.897699	15.675014	93.60327	-14.742034	40000	2.6375055e-08	484.58368	-0.02175319	-385.53134	4.157231	0.016165353	0.23375	11.0	715.9095320701599	-0.5813904
25	28.34787	90.699875	332.30124	-19.513212	120.0	5.678865	12.685959	73.34225	-17.418589	41600	-1.579523e-08	802.2877	-0.010525717	-650.59863	4.168805	0.02175104	0.26	5.0	743.8991479873657	-0.58187294
26	23.254427	42.170097	101.64385	-18.474024	141.27272	14.392954	25.792225	81.73241	-29.471485	43200	-8.940697e-09	588.5633	-0.051527154	-496.87057	4.1873064	0.013945621	0.2225	79.0	772.2582468986511	-0.58567226
27	39.25288	46.726208	131.11456	-16.281687	126.5	9.254459	19.598358	81.98158	-26.833138	44800	-1.9222497e-08	419.05334	-0.04592003	-307.04413	4.1760893	0.015280595	0.2075	41.0	800.3125855922699	-0.5826889
28	2.6281972	27.396172	44.26672	-33.9037	186.25	-3.9765155	17.23528	45.22441	-32.65555	46400	3.3676624e-08	305.52042	-0.023315607	-237.51614	4.181833	0.012629845	0.17875	9.0	827.9788208007812	-0.5829009
29	9.123185	44.565002	137.1027	-53.713173	113.5	4.5492926	28.276653	109.10367	-27.53903	48000	9.536743e-09	212.79257	-0.007942304	-156.61775	4.188757	0.0162342	0.235625	4.0	856.1335113048553	-0.5836406
30	28.761454	22.697279	57.74796	-13.425649	206.85715	5.502611	10.894921	31.784822	-20.767906	49600	-1.4901161e-08	213.55707	-0.045215152	-120.215096	4.2191224	0.015170813	0.221875	47.0	884.5683524608612	-0.5915335
31	6.229109	28.848944	58.443054	-52.107964	107.333336	7.7677903	12.187217	56.647842	-14.043089	51200	-5.1409006e-09	201.90157	-0.011756422	-126.99831	4.148304	0.02068382	0.28125	4.0	913.0189185142517	-0.59194535
32	37.833363	64.583244	200.45572	-20.327595	150.88889	2.3658779	8.633718	25.498428	-17.37263	52800	-1.212582e-08	1157.2281	-0.009604508	-951.7622	4.101119	0.0146656325	0.195	4.0	940.7545993328094	-0.5922684
33	15.37679	39.635105	94.57765	-28.816261	152.44444	18.448366	21.092875	82.40872	-32.00135	54400	-1.7285346e-08	876.98846	-0.010146834	-809.95483	4.1026115	0.015133778	0.203125	6.0	968.5811245441437	-0.5931615
