Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	-6.8982	10.315235	42.549843	-22.180393	58.127274	0.379602	0.32294163	1.3022343	-0.28736094	3200	2.9802322e-10	66.72063	-0.04169363	-33.76162	4.536333	0.015087609	0.2153125	75.0	108.42258977890015	-0.51940745
1	-8.135854	9.987176	17.634392	-38.92917	64.61224	-4.9075966	1.7421181	-0.44145173	-8.752215	6400	4.842877e-09	28.719799	-0.009999543	-6.280628	4.541538	0.014317636	0.2159375	4.0	202.80706644058228	-0.52042186
2	-7.245295	10.159423	23.41685	-40.568977	65.125	-5.972495	2.358277	-0.2602953	-12.015422	9600	-1.3560057e-08	36.56627	-0.044767912	-6.489353	4.5283623	0.013848615	0.2075	79.0	297.8290901184082	-0.533599
3	-6.481063	11.850322	38.96913	-38.02317	62.058823	-4.2923527	2.1196659	-0.64529985	-11.778557	12800	7.4505804e-11	42.001724	-0.007962966	-4.3966713	4.4378076	0.019762198	0.2421875	4.0	392.2944037914276	-0.5342304
4	-6.258805	7.221213	20.005795	-22.791883	52.333332	-4.508137	2.114313	0.33869204	-10.660236	16000	1.6391277e-09	12.989946	-0.04745974	-2.6838121	4.363931	0.0148486225	0.2146875	79.0	487.84254479408264	-0.55598503
5	-4.0021443	9.661622	50.17554	-24.222637	46.030304	-3.708736	2.0549552	1.033303	-10.875871	19200	-6.556511e-09	42.059383	-0.042359162	-18.160503	4.3236566	0.015017051	0.21375	72.0	584.1704847812653	-0.5716871
6	-2.6769	8.129931	23.57297	-19.169415	57.654545	-1.4286795	4.4960237	14.588652	-15.652727	22400	-1.2218952e-08	31.83809	-0.0098859845	-20.813946	4.2550645	0.012330968	0.1715625	4.0	678.3271503448486	-0.572156
7	-1.309319	12.956724	61.506344	-17.520391	64.408165	-1.6846124	3.7313433	12.790729	-13.205169	25600	-1.4901161e-10	44.983368	-0.005004059	-30.560734	4.2353754	0.017179957	0.209375	4.0	772.60506772995	-0.57264256
8	-5.1404896	8.314052	33.79895	-34.234035	53.864407	-3.8864586	4.5628867	26.465832	-16.508837	28800	-2.1755696e-08	29.090986	-0.04340613	-19.606346	4.228081	0.01163593	0.1771875	79.0	867.9578580856323	-0.5819917
9	-4.717777	8.213635	25.53121	-28.079348	56.070175	-3.322269	4.2769394	26.426065	-10.724493	32000	-1.0579824e-08	19.953108	-0.04365402	-10.865708	4.197195	0.015322404	0.214375	61.0	963.3027129173279	-0.5899122
10	-0.090892926	12.073195	54.587486	-13.150432	56.642857	-1.9124837	3.4158053	14.329897	-9.205269	35200	1.2516975e-08	55.904118	-0.045810282	-45.093628	4.152965	0.0126965	0.18625	79.0	1059.24005484581	-0.60119045
11	-1.5846455	13.274232	53.160305	-26.414839	67.434784	-0.19209337	4.7288804	19.806103	-11.490026	38400	-1.7881394e-08	77.02637	-0.044389576	-57.968452	4.0846815	0.014721365	0.2240625	79.0	1154.1180675029755	-0.6131998
12	-3.2324836	14.210162	68.09927	-60.090103	52.98305	-2.8823972	3.5863147	22.550478	-11.410963	41600	5.289912e-08	82.42289	-0.043059964	-61.494858	4.001694	0.01533988	0.22125	46.0	1249.0819232463837	-0.62456435
13	-0.5502037	10.229964	41.92081	-20.562513	63.88	-1.7788532	6.2417016	31.993341	-14.81275	44800	-5.2154064e-10	52.168564	-0.04265039	-33.685417	3.9777393	0.01519709	0.230625	63.0	1340.5831966400146	-0.63171875
14	4.1033297	18.977238	75.90042	-29.940413	79.625	-0.46710467	5.259741	33.562737	-13.391957	48000	8.5681675e-09	91.29662	-0.0092263	-77.76685	3.9406757	0.014889688	0.191875	4.0	1425.054658651352	-0.6323695
15	-0.36760902	9.559606	39.516853	-14.507305	56.82143	0.097713396	6.3911943	36.45409	-11.580037	51200	-2.6971101e-08	62.855675	-0.01081525	-46.80104	3.959801	0.012991722	0.1728125	5.0	1508.5441687107086	-0.6327839
16	3.336714	21.448246	95.186485	-17.136454	70.244446	0.908028	4.3522005	23.42822	-7.5501065	54400	1.5497207e-08	116.04185	-0.03938414	-104.15824	3.8984802	0.015218798	0.2203125	45.0	1590.2917122840881	-0.6389448
17	11.443678	47.74729	250.44215	-22.682852	88.638885	7.042842	12.063724	44.67637	-7.5838675	57600	-2.0246953e-08	311.8595	-0.035194427	-289.85275	3.9472997	0.015300922	0.20625	56.0	1671.7321329116821	-0.6512147
18	1.0701064	12.396249	43.559486	-10.770124	68.91304	5.538931	15.266629	123.37294	-13.428529	60800	-5.662441e-09	193.71333	-0.022304164	-171.05861	3.8469992	0.015059421	0.19375	12.0	1753.220094203949	-0.65253127
19	8.746918	44.03288	250.45425	-12.982933	93.67647	0.5184037	3.6430588	18.471567	-9.000254	64000	2.0116568e-09	414.26382	-0.0069950568	-389.69205	3.8300924	0.019567765	0.2459375	4.0	1834.1383926868439	-0.65306723
20	15.630703	33.262474	126.24747	-14.794716	115.888885	7.3682237	12.654389	73.678444	-15.544606	67200	1.15484e-09	163.8766	-0.02529178	-119.41524	3.828346	0.015470543	0.215625	19.0	1915.097677230835	-0.6551317
21	22.966581	54.33406	159.74803	-14.3386965	127.04348	19.522839	20.542173	81.032295	-14.463414	70400	-1.6093255e-08	299.70724	-0.04726092	-210.96191	3.8092937	0.01479146	0.22	79.0	1996.5160233974457	-0.6647618
22	35.80732	74.522	281.1981	-24.527754	170.38889	10.390979	15.04952	58.280308	-16.039019	73600	4.1760504e-08	322.40466	-0.04303761	-252.03459	3.768088	0.0150695015	0.20125	54.0	2076.8370299339294	-0.66953087
23	17.078632	52.786076	213.95702	-9.019287	109.19231	19.445942	16.148779	71.71971	-15.469308	76800	2.5182963e-08	242.52328	-0.049248125	-192.65746	3.736428	0.014211739	0.206875	79.0	2158.706438779831	-0.6763531
24	41.204796	73.61933	241.51837	-31.253523	196.8	13.730286	17.383497	73.280014	-13.684801	80000	1.3113022e-08	348.27136	-0.038757924	-208.79729	3.731635	0.015231831	0.201875	50.0	2239.048323392868	-0.6774338
25	71.33536	98.83128	338.31042	-6.1674776	243.25	25.743324	22.693521	100.182304	-21.73351	83200	9.3877315e-09	341.3538	-0.016589629	-259.56116	3.7032256	0.014309163	0.18875	8.0	2319.2438626289368	-0.6778717
26	14.063285	36.2543	136.3251	-13.629452	176.27777	21.9059	17.570461	71.33856	-14.542432	86400	-1.11758706e-10	470.69388	-0.05375889	-395.583	3.7268946	0.015174422	0.2265625	71.0	2399.9857108592987	-0.6849224
27	90.42398	139.65747	327.7884	-14.158542	279.9091	21.189184	18.56135	84.17121	-14.056599	89600	1.5050173e-08	398.179	-0.00517412	-285.47134	3.6487114	0.02015891	0.2265625	3.0	2480.361503601074	-0.68517077
28	96.547714	145.49257	402.6525	-8.617597	274.0	26.265034	17.313377	65.90818	-17.964043	92800	-3.9488075e-09	518.4231	-0.038499925	-396.13602	3.7281342	0.015094497	0.215625	37.0	2560.420167207718	-0.6934247
29	68.15532	109.56544	385.08646	-5.834062	214.53847	32.842636	24.045145	97.257416	-8.857881	96000	3.054738e-09	310.45618	-0.036739197	-172.56949	3.672348	0.015195553	0.215625	30.0	2640.8689715862274	-0.70033693
30	59.80129	137.13324	480.98914	-37.13806	193.25	23.705019	20.950243	66.938446	-20.510397	99200	-5.3644182e-09	229.02301	-0.04280906	-151.50307	3.6066663	0.015391712	0.2184375	40.0	2721.9454870224	-0.7073332
31	226.4474	218.59254	452.65298	-4.7915964	443.33334	47.87298	22.238169	92.44376	-7.6595054	102400	-2.4586916e-08	444.86142	-0.019708566	-364.00165	3.5996194	0.01666932	0.224375	12.0	2801.914923429489	-0.7094653
32	220.70735	197.51073	463.43732	-2.0414877	493.83334	47.1787	24.928839	101.19756	-10.287727	105600	1.9492582e-08	184.56815	-0.020791559	-104.50025	3.5341876	0.016722664	0.2334375	11.0	2881.6773796081543	-0.7121391
33	110.56396	189.11313	540.63367	-8.959841	256.58334	41.524853	25.451376	93.72588	-11.235603	108800	-6.2584875e-09	287.34564	-0.024632841	-162.6144	3.5603268	0.015778465	0.2115625	17.0	2961.9183139801025	-0.716766
34	364.93036	273.54037	666.8933	8.995068	592.8	52.52471	24.589943	107.84248	-10.792837	112000	-2.7008355e-08	757.1934	-0.04619053	-549.1631	3.5244987	0.015167688	0.2215625	65.0	3042.4417657852173	-0.73052293
35	184.3098	270.38226	691.4369	-3.9380312	277.0	66.94506	36.030148	137.41592	-27.084694	115200	7.7486035e-09	486.3133	-0.0473583	-286.4937	3.4212584	0.015052375	0.213125	48.0	3122.9274957180023	-0.74161613
36	332.4077	320.07993	716.62964	-3.3662238	457.83334	69.540955	35.501465	137.76372	-6.2896595	118400	-1.3113022e-08	642.84076	-0.010156864	-426.91986	3.3876812	0.017758796	0.205	5.0	3202.7725858688354	-0.74288034
37	257.29727	357.57733	836.83636	-20.790586	350.1111	74.976654	46.0805	150.68454	-23.5632	121600	2.95043e-08	430.5843	-0.010643788	-252.83327	3.3451366	0.016605955	0.193125	5.0	3282.572386741638	-0.74385524
38	303.4506	398.50754	893.1556	-9.087621	320.5	90.82314	41.413563	151.55507	-19.581638	124800	3.632158e-08	756.4377	-0.050979316	-507.96002	3.3506403	0.014998726	0.203125	79.0	3363.643247127533	-0.7545458
39	469.41357	372.57745	849.47845	-2.4857378	509.6	102.43782	37.445732	159.33879	-1.7983235	128000	-1.385808e-08	464.63278	-0.048919376	-299.85175	3.2732196	0.013828287	0.2025	79.0	3444.1903738975525	-0.7682346
40	311.2065	366.21777	791.99725	-8.7497	387.7143	90.587616	39.143288	146.10214	-14.46748	131200	1.7136335e-08	480.75348	-0.03869608	-329.8128	3.2726564	0.015155753	0.1984375	34.0	3524.965948343277	-0.7794336
41	450.60434	455.5423	1045.8221	-6.385937	415.83334	115.97699	25.68818	157.84767	-7.0119786	134400	-1.73226e-08	713.3961	-0.044745903	-495.2049	3.1595416	0.015166372	0.209375	63.0	3605.517745733261	-0.7905992
42	681.7802	548.3103	1296.733	6.670275	552.8	115.20309	47.966583	173.72632	-16.457804	137600	5.9604646e-09	675.44745	-0.040214363	-463.8281	3.1552234	0.01512282	0.2075	44.0	3685.992356777191	-0.7931351
43	940.47064	549.6923	1309.9635	-9.784798	622.0	152.57399	35.766747	194.5009	4.17208	140800	8.642673e-09	685.37244	-0.04963184	-418.77606	3.135789	0.0149595095	0.211875	66.0	3766.3874583244324	-0.808632
44	874.4208	508.48434	1234.8463	-2.6869936	607.5	159.63924	37.773853	204.49576	-13.543621	144000	-1.0877848e-08	436.24445	-0.019043293	-291.6898	3.0485282	0.015245822	0.190625	10.0	3847.7537190914154	-0.8111099
45	1286.617	126.54186	1462.7463	1160.5525	800.0	173.40242	27.39898	212.56377	45.706764	147200	-1.1175871e-08	472.05344	-0.048013493	-170.20996	3.0652993	0.015042383	0.2165625	71.0	3931.1618626117706	-0.8195301
46	1238.8269	37.577183	1270.6367	1175.0961	800.0	163.27492	37.233707	216.92348	70.04649	150400	1.37090685e-08	461.2137	-0.012537997	-264.83893	3.0187626	0.015353296	0.2053125	5.0	4014.22532248497	-0.8209138
47	669.95306	672.917	1368.7583	-5.690297	409.0	165.71124	47.49181	215.2485	-5.4881587	153600	1.1622905e-08	356.53882	-0.039411776	-123.910614	2.970905	0.015322047	0.19875	37.0	4098.61928319931	-0.83597565
48	894.5028	712.3338	1552.7101	1.9210695	534.8	176.45187	50.213696	228.33958	-1.4125882	156800	1.66893e-08	574.719	-0.051271997	-326.0805	2.9432855	0.014164274	0.2121875	79.0	4183.0692818164825	-0.83961284
49	1588.4886	110.14814	1665.147	1398.2249	800.0	192.09991	40.44565	231.05894	38.500523	160000	-1.2814999e-08	658.1521	-0.05144631	-570.4166	2.9119034	0.0150021985	0.2228125	67.0	4267.147444486618	-0.85772765
50	1137.0521	658.04913	1685.4407	12.2615795	617.5	197.46922	53.679108	243.83916	13.863225	163200	-1.3113022e-08	213.89523	-0.05051294	-128.9353	2.798149	0.015140582	0.2103125	61.0	4352.067251443863	-0.8699619
51	1157.4252	655.9879	1575.2954	22.141893	630.25	195.03748	56.3774	247.36089	4.853229	166400	-1.758337e-08	389.12122	-0.018674728	-282.84692	2.7466195	0.016122308	0.1734375	6.0	4435.4305284023285	-0.87084705
52	1198.1293	681.2029	1668.4154	21.210953	633.75	206.22467	53.321033	249.91716	-0.48575288	169600	2.8312206e-08	314.46133	-0.054387357	-198.17319	2.7491205	0.015274294	0.214375	71.0	4519.783383846283	-0.8856742
53	1268.9956	729.6288	1780.0638	9.895319	619.75	203.3172	55.36494	250.78828	-4.1187243	172800	-3.4272671e-09	416.21173	-0.011315836	-245.20192	2.6543684	0.016522598	0.19125	4.0	4603.722766876221	-0.88628596
54	1639.197	48.259495	1696.3657	1581.4415	800.0	221.01205	37.81332	255.57697	57.716194	176000	-2.5182963e-08	146.6601	-0.04850468	-61.00894	2.6482725	0.013373101	0.2003125	79.0	4688.452589035034	-0.89859927
55	1262.0122	753.3239	2018.0271	8.873417	630.5	218.4016	51.0594	253.14542	-0.6958652	179200	-5.8412553e-08	290.63864	-0.014815379	-209.36176	2.5647779	0.012659225	0.16	5.0	4771.870943546295	-0.8993146
56	1335.3677	774.5152	1859.8723	1.9066577	611.25	227.72968	47.474655	258.82736	-15.608299	182400	-3.6656857e-08	275.168	-0.0122197345	-203.75726	2.5824423	0.015490886	0.205625	4.0	4855.657243967056	-0.9003889
