Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	27.354382	28.293816	127.16165	0.9255203	85.76471	-0.24370494	0.18951645	0.20852779	-0.70914435	1600	-4.440546e-08	300.33737	-0.053759407	-169.40555	4.546361	0.015128007	0.235625	50.0	79.48082160949707	-0.5050817
1	21.742105	17.156773	68.18228	1.7700303	75.666664	6.0011487	4.105588	24.287304	-0.57000625	3200	-7.655472e-09	98.63721	-0.014466635	-55.574833	4.575395	0.015378397	0.209375	4.0	155.35965037345886	-0.505645
2	21.819458	25.941978	96.33428	-4.603564	66.583336	13.998233	11.913403	48.48828	-6.957404	4800	1.758337e-08	299.20197	-0.0069777737	-227.09436	4.548368	0.02162144	0.25375	3.0	232.42399096488953	-0.50566685
3	18.670559	20.161257	71.147255	-0.0019348157	61.56	11.392956	12.247599	44.27571	-8.084114	6400	1.4901161e-08	147.08363	-0.048662927	-103.60944	4.5989027	0.0155124115	0.22625	39.0	310.5747158527374	-0.5042292
4	21.2235	21.564589	76.97427	-0.31263632	75.0	4.4492707	7.0830827	31.013727	-11.638473	8000	-4.1276216e-08	178.05756	-0.012224967	-122.1342	4.5982013	0.024652814	0.284375	3.0	382.9502341747284	-0.50491565
5	16.860626	17.864534	76.235405	-2.7799046	64.333336	4.828241	6.5789995	26.160818	-7.939532	9600	1.0356307e-08	81.002174	-0.013073982	-43.051342	4.5715437	0.019383237	0.223125	5.0	441.2334153652191	-0.5060721
6	34.709763	38.585827	119.53642	-0.36474723	86.22222	9.204311	9.166259	36.324383	-9.186424	11200	7.599592e-09	200.39781	-0.007885808	-160.82736	4.548813	0.022916017	0.2325	4.0	506.59672713279724	-0.5065611
7	17.894821	24.707523	93.58755	-2.9918578	57.62963	11.429763	14.261906	50.740494	-20.59764	12800	-2.2165478e-09	219.2818	-0.007216195	-196.34956	4.547269	0.016467871	0.224375	4.0	584.4718260765076	-0.506893
8	34.69606	32.42584	114.66353	0.72486436	86.22222	12.732992	11.492796	44.751194	-10.188385	14400	-2.8610229e-08	190.73433	-0.015944194	-154.51291	4.54289	0.016022041	0.1925	7.0	661.125305891037	-0.50690925
9	13.182162	16.918545	81.67471	-9.689387	48.28125	18.317455	19.024	77.681725	-18.369455	16000	9.3877315e-09	479.5751	-0.010788267	-443.03525	4.633781	0.018615933	0.245	4.0	739.2839031219482	-0.506875
10	24.729015	42.103336	200.09712	0.0044285534	75.809525	9.0939045	8.583865	32.10446	-6.8812847	17600	4.529953e-08	202.09544	-0.014818011	-134.68108	4.597015	0.016045325	0.19375	7.0	817.2412598133087	-0.5076747
11	28.107828	21.646933	77.72993	4.308038	78.8	12.53648	13.496336	57.546535	-11.693889	19200	6.556511e-09	76.10843	-0.011141868	-49.571884	4.566679	0.019061593	0.2425	6.0	894.2744960784912	-0.5078409
12	23.991076	26.490595	93.95243	-3.6023233	78.5	9.283438	10.400355	42.185707	-6.435789	20800	2.6822091e-09	105.30346	-0.028383596	-80.325356	4.5545545	0.016474795	0.1875	18.0	971.7673020362854	-0.5092193
13	28.835848	39.34944	168.4139	-8.734724	79.89474	7.455868	10.728615	50.717228	-15.559317	22400	-8.866191e-09	225.62515	-0.010746396	-193.70917	4.5031476	0.022657098	0.29125	5.0	1049.1998505592346	-0.5094461
14	41.975624	48.455505	186.84853	0.13928574	98.25	15.2390585	15.862687	80.97246	-9.827051	24000	-8.270145e-09	156.58844	-0.010394242	-118.89321	4.5408497	0.01832741	0.225625	6.0	1126.4873855113983	-0.50922173
15	18.337156	16.016645	56.257633	-0.69915736	64.791664	9.259797	14.4816475	57.433212	-21.266933	25600	-9.983778e-09	174.39351	-0.048161447	-154.66956	4.50333	0.013505979	0.2175	79.0	1205.2954416275024	-0.5147134
