Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	31.88636	26.182257	88.153465	-0.022369487	88.833336	0.108109854	0.26474163	1.1159617	-0.2975309	1600	5.736947e-08	323.29855	-0.056806624	-152.38371	4.547257	0.014991086	0.21375	61.0	73.81655645370483	-0.509935
1	27.042156	39.41575	151.52255	-3.986501	81.89474	13.177108	7.8829184	36.136166	2.9293802	3200	-8.046627e-09	496.0608	-0.020375498	-286.6459	4.485535	0.016772004	0.22125	9.0	141.3336524963379	-0.5097143
2	27.150986	30.342806	108.985275	-2.0507486	73.52381	10.921528	10.239011	37.13579	-6.7176147	4800	6.556511e-09	215.94286	-0.040102188	-143.37729	4.562751	0.01583616	0.22	29.0	216.1676721572876	-0.5134219
3	23.427805	44.68407	228.1828	-3.2435656	57.53846	15.1460495	14.921711	46.323227	-9.235917	6400	1.6763806e-09	451.57172	-0.01070606	-365.74384	4.5230584	0.022424467	0.245	4.0	293.9968595504761	-0.51423275
4	21.285446	28.48818	131.43776	-4.393128	64.875	13.450129	16.395237	86.34555	-10.277179	8000	1.2814999e-08	396.16095	-0.01037817	-278.05603	4.552328	0.021890769	0.225	4.0	372.10353565216064	-0.514577
5	36.93415	41.25034	103.80128	-3.8320036	112.07143	9.223824	6.204491	29.776857	-12.161184	9600	-1.6614795e-08	246.98993	-0.010512922	-155.07678	4.6121187	0.014644366	0.1575	3.0	449.8034131526947	-0.5150015
6	19.229261	23.594845	105.54621	-1.2148286	70.954544	12.512301	13.6738	73.94933	-17.369617	11200	-1.4156103e-08	235.02364	-0.010895618	-173.828	4.5210204	0.016210807	0.216875	3.0	521.6724345684052	-0.5158809
7	42.87615	36.25467	134.08331	-0.78346723	102.066666	9.8706875	6.7243843	31.492262	-4.281248	12800	3.1292438e-09	261.83597	-0.045177713	-195.46474	4.4309893	0.015709527	0.22	35.0	580.8568980693817	-0.51787615
8	35.90521	96.51313	477.40695	-0.035396934	65.86957	23.842201	17.029013	76.39189	-8.212278	14400	-3.8743018e-09	1161.7567	-0.015980633	-985.6002	4.5818343	0.015100849	0.20125	7.0	650.2789115905762	-0.517702
9	39.11542	39.56439	142.66248	-1.1662897	99.4375	12.762329	26.070126	119.43115	-35.828552	16000	-2.1606683e-09	469.0091	-0.051864535	-403.77356	4.529325	0.014313212	0.2275	79.0	729.5794944763184	-0.526754
