Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	32.293266	30.933552	105.81813	1.7020727	86.9375	0.04071054	0.25003272	0.9188634	-0.33654967	1600	5.9455633e-08	598.1941	-0.050920498	-396.26044	6.4465137	0.0152317425	0.23125	30.0	69.57948517799377	-0.49950692
1	60.140457	88.41212	333.9058	-0.93181473	120.84615	17.213299	11.929211	64.559494	-1.7060176	3200	5.3644182e-09	1193.4137	-0.02297059	-926.16907	6.4488697	0.018280176	0.214375	8.0	123.65474843978882	-0.49977663
2	45.89462	64.69884	207.52196	-6.68106	111.42857	33.309155	23.591526	108.63888	-4.5725837	4800	1.3113022e-08	1037.8884	-0.025812244	-721.777	6.4344716	0.015424514	0.218125	14.0	177.59358882904053	-0.49915245
3	42.07818	63.666985	261.35358	-0.20674485	106.5	24.096958	11.274797	47.19375	-0.120106496	6400	9.3877315e-09	507.02362	-0.015962198	-312.1514	6.455621	0.017889256	0.22375	6.0	226.62123560905457	-0.49831483
4	24.425093	40.593025	190.99199	-1.0148221	76.0	8.014567	11.387072	61.6119	-7.405983	8000	-1.0430813e-08	641.1337	-0.008670733	-302.94586	6.4310718	0.01943689	0.241875	4.0	274.7721312046051	-0.49792853
5	29.488358	28.958242	95.01216	-1.0860655	77.4	15.157707	10.085959	57.626488	-1.5373911	9600	1.7508864e-08	314.34915	-0.016928438	-152.9249	6.350521	0.015946679	0.205625	7.0	322.96428537368774	-0.49813452
6	32.229866	33.23179	109.759575	-3.6168232	77.666664	14.036128	8.019005	34.029926	-11.564913	11200	1.1622905e-08	346.47867	-0.014108634	-227.8054	6.3663425	0.02269095	0.25375	5.0	371.1326651573181	-0.4982604
7	38.697144	46.5538	198.8019	-3.854275	96.9375	14.367197	15.230962	60.335922	-3.496829	12800	1.4901161e-09	348.5855	-0.005714429	-227.7702	6.361043	0.018459516	0.22875	4.0	419.2320532798767	-0.49833652
8	36.639874	38.369186	132.67397	-1.1665696	79.25	16.786234	12.207297	70.97353	1.2736542	14400	-1.2814999e-08	292.44727	-0.027942935	-143.93117	6.4627843	0.015884424	0.200625	14.0	467.6010525226593	-0.49991268
9	32.89777	28.021189	99.888275	1.026283	86.882355	11.904025	11.00601	46.766476	-21.48668	16000	3.904104e-08	183.44934	-0.010788361	-109.0138	6.45115	0.017600829	0.22625	5.0	515.6563301086426	-0.50049824
10	31.543253	32.819893	106.93024	-1.9041804	87.27778	14.053281	13.481045	40.3447	-23.214064	17600	1.9371509e-09	281.13785	-0.009161984	-148.5707	6.425132	0.016492134	0.215625	4.0	564.0980551242828	-0.50102454
