Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	7.232315	20.91935	85.986465	-10.024248	54.172413	0.1457865	0.22532961	0.6220558	-0.4723394	1600	-6.0349703e-09	166.2684	-0.018979983	-102.69653	6.41463	0.020160558	0.265625	3.0	91.30005145072937	-0.49981624
1	10.092824	25.267044	113.70903	-15.942949	63.75	6.694401	8.231904	28.927893	-7.822393	3200	-2.2277236e-08	147.56541	-0.014137632	-89.93192	6.461162	0.021615557	0.251875	4.0	158.97948241233826	-0.49955437
2	6.500293	15.439076	37.35171	-14.459303	61.03846	4.5945926	10.238274	31.209473	-20.40482	4800	-2.6822091e-09	95.02895	-0.045766022	-63.862686	6.425221	0.0154571785	0.213125	33.0	219.47618865966797	-0.49879858
3	13.67474	34.160713	114.23515	-23.92698	83.94118	2.8510273	4.833786	18.158138	-8.872783	6400	-1.4603138e-08	158.15738	-0.01715339	-132.18143	6.444308	0.018486205	0.22375	6.0	271.62867164611816	-0.49840143
4	22.213997	49.82225	204.8901	-18.930872	79.3	13.307871	16.322678	50.19277	-15.1411705	8000	-3.2782554e-09	242.14432	-0.04142139	-190.29381	6.4381537	0.015378033	0.219375	30.0	324.7867774963379	-0.50100976
5	17.462385	38.159718	151.20679	-10.063711	68.521736	15.478585	26.926899	119.78034	-20.585487	9600	-1.15484e-08	687.28235	-0.021038199	-622.45905	6.474491	0.016281236	0.203125	9.0	374.07023000717163	-0.5023194
6	12.3498535	25.507647	93.01669	-21.633127	68.91304	5.9681163	19.92849	62.904533	-19.503502	11200	7.4878335e-09	248.542	-0.013296831	-201.92331	6.4695754	0.019330308	0.255	5.0	421.6058118343353	-0.5032116
7	18.911808	33.05548	94.00508	-14.470923	79.4	6.518289	9.431831	32.264732	-9.103499	12800	9.536743e-09	213.62117	-0.013615669	-118.7511	6.3793726	0.016104162	0.21375	6.0	468.98686838150024	-0.503904
8	14.75853	35.305965	126.39938	-12.170871	72.59091	14.530095	10.585474	53.955593	-10.593322	14400	2.913177e-08	264.05865	-0.015908802	-198.01624	6.42993	0.017064793	0.179375	6.0	516.5499136447906	-0.50462717
9	18.516163	28.207537	97.08526	-12.382618	71.454544	4.148663	13.91043	62.683014	-21.231447	16000	1.1920929e-08	204.3975	-0.030010907	-142.50139	6.3954287	0.015047516	0.183125	13.0	564.0222413539886	-0.5065239
10	12.2429905	45.359974	199.66855	-30.374155	62.88	7.7013574	18.276922	62.046345	-20.000544	17600	8.34465e-09	290.24158	-0.011016568	-238.72845	6.3768325	0.026137786	0.28125	5.0	612.2047362327576	-0.5073605
11	10.92683	25.982073	95.644424	-19.956966	62.916668	8.9338255	18.21379	73.78885	-16.477058	19200	-5.662441e-09	178.49582	-0.013660422	-143.4439	6.3988914	0.020012027	0.26125	5.0	659.9043748378754	-0.5082521
12	8.202608	16.604877	58.276035	-11.77328	51.451614	1.4350797	6.2815676	23.284187	-11.922799	20800	2.8014183e-08	47.0519	-0.011882193	-29.476536	6.317997	0.023430075	0.284375	4.0	707.9276328086853	-0.508773
13	20.48021	41.77433	161.24164	-12.5727215	65.541664	10.739114	13.861572	71.61133	-13.14886	22400	9.0897085e-09	271.37695	-0.014992337	-210.04956	6.388313	0.01665315	0.20875	9.0	755.5959014892578	-0.50897306
14	4.557276	9.478956	27.161966	-11.400258	51.0	3.0479043	10.885689	61.042862	-14.899032	24000	1.4454127e-08	88.46709	-0.010818305	-75.15549	6.3714123	0.018914204	0.250625	4.0	803.6798202991486	-0.5088062
15	11.377022	15.034892	54.426376	-15.011938	62.16	3.8654456	6.254436	36.55249	-9.87405	25600	-2.6673078e-08	66.39968	-0.05888809	-28.876255	6.401245	0.015020686	0.231875	66.0	851.74609375	-0.51801354
16	20.984076	40.77287	134.08578	-17.100426	73.5	7.6757274	11.271721	58.52763	-10.412783	27200	-1.758337e-08	219.76225	-0.013050837	-176.19714	6.3361354	0.017419515	0.20875	6.0	898.941698551178	-0.51876205
17	20.939322	45.948788	212.20949	-14.606118	69.809525	8.621919	14.398476	54.995842	-13.992766	28800	-1.8030406e-08	421.90823	-0.013569638	-350.65387	6.322865	0.020358764	0.270625	6.0	946.4917311668396	-0.5192083
18	24.60105	40.691658	156.4698	-21.750011	84.210526	10.241946	14.281953	85.17609	-16.111164	30400	-1.0281801e-08	221.26675	-0.0153284175	-177.04045	6.296555	0.020732455	0.261875	5.0	993.794219493866	-0.5196728
19	30.404427	39.31186	138.03223	-1.7340021	91.17647	15.881482	19.849176	113.289825	-10.877583	32000	-1.9967556e-08	460.57574	-0.013799014	-388.3742	6.3228736	0.01624134	0.215625	6.0	1040.961042881012	-0.5203888
20	27.624357	32.791702	97.14117	-4.3916445	127.27273	11.293692	10.115209	34.872974	-13.773545	33600	-1.9818545e-08	115.23221	-0.0127591435	-90.25603	6.3667955	0.021957435	0.28375	3.0	1088.3228526115417	-0.5206932
21	23.083794	45.362175	160.46857	-8.174679	77.6	15.655968	15.3778515	59.845448	-21.817074	35200	-1.07288365e-08	252.52496	-0.009587652	-226.65152	6.2743287	0.02699823	0.30875	4.0	1135.8867356777191	-0.52098614
22	30.13491	33.39476	104.189156	-8.904347	95.6875	11.963456	9.592731	46.623085	-5.17868	36800	-2.6524066e-08	156.26498	-0.015454523	-122.94789	6.303185	0.020771151	0.275	5.0	1183.2162337303162	-0.52146775
23	19.065777	45.204945	221.33034	-12.465831	69.26087	14.327723	20.533916	90.69854	-19.563189	38400	3.5762786e-09	273.29953	-0.0107071465	-235.43155	6.2874074	0.022706704	0.28375	5.0	1230.7692711353302	-0.5217959
24	19.680218	25.21031	98.06627	-8.877173	66.0	12.680026	12.87626	56.664	-14.522932	40000	-1.1920929e-08	156.88445	-0.043669723	-131.72385	6.194372	0.015555959	0.24875	27.0	1278.531333208084	-0.52314955
25	41.067837	50.59015	175.63768	-3.6817472	122.69231	8.137333	10.778293	76.45079	-9.031772	41600	-1.2218952e-08	414.5641	-0.017007967	-355.9594	6.243991	0.016476924	0.21125	7.0	1325.5944654941559	-0.5238351
26	16.936674	33.45096	155.02278	-3.5005977	63.857143	16.51088	12.444254	42.36671	-16.517141	43200	-1.6018749e-08	219.33649	-0.035248123	-191.74489	6.226752	0.014499583	0.208125	22.0	1373.2134544849396	-0.5278568
27	11.364628	25.025152	105.209366	-11.855535	63.695652	12.689454	19.481768	86.13968	-9.885033	44800	5.6773423e-08	192.63596	-0.04308497	-171.08237	6.245137	0.01546026	0.236875	35.0	1421.0731370449066	-0.53159624
28	13.903522	28.413872	134.86247	-6.7568464	62.84	9.40946	14.845747	51.14512	-13.529784	46400	8.940697e-09	75.17832	-0.0145542575	-60.41066	6.21602	0.01920436	0.261875	5.0	1468.8384275436401	-0.5319614
29	18.587511	35.609947	144.97324	-10.803688	65.916664	7.548205	11.139672	53.147923	-9.873601	48000	-2.0563602e-08	190.25378	-0.03539752	-164.22244	6.1475205	0.015693808	0.225	26.0	1516.5864698886871	-0.5310734
30	15.4864025	29.795261	106.63029	-7.3842945	78.85	5.258732	8.261561	45.044956	-18.304262	49600	-1.1175871e-08	194.89313	-0.03464403	-159.74088	6.2180724	0.015068634	0.20625	25.0	1564.786508321762	-0.5314253
31	21.996876	45.932793	201.89201	-6.381232	72.611115	8.371408	12.459133	60.57349	-20.195549	51200	2.0414591e-08	428.85077	-0.039278597	-388.85178	6.1904054	0.015559158	0.205	24.0	1612.3514068126678	-0.533424
32	64.78954	109.84573	407.25687	-2.9898434	131.16667	26.943369	25.602161	85.99466	-11.438384	52800	-8.791685e-09	842.93866	-0.038375765	-742.2821	6.1338825	0.015383428	0.200625	27.0	1659.3977041244507	-0.53254527
33	29.584587	37.40793	112.95015	-7.79644	102.26667	15.768414	16.535051	101.29529	-12.12817	54400	-2.6822091e-09	184.07971	-0.009923303	-118.183426	6.190074	0.018449185	0.223125	5.0	1706.5473630428314	-0.53237116
34	24.302164	36.131966	146.52382	-8.313239	87.833336	11.2034855	11.012569	65.93554	-13.095244	56000	1.6093255e-08	115.99125	-0.014151091	-71.36105	6.1384997	0.024085678	0.26625	5.0	1754.041588306427	-0.5323742
35	44.681973	44.43734	165.47693	-1.4020946	156.1	11.82404	10.959265	54.641518	-8.690856	57600	4.6044587e-08	268.09695	-0.017008973	-249.99709	6.2311296	0.020891476	0.26625	7.0	1801.0132009983063	-0.5321714
36	26.25812	41.465065	175.00713	-5.540581	97.5625	8.676518	10.3441725	65.34338	-10.013395	59200	6.109476e-08	268.97433	-0.010790964	-237.43251	6.1295824	0.022410832	0.290625	3.0	1848.2708246707916	-0.532153
37	43.79335	55.53561	158.52771	-10.913205	126.5	21.41812	17.528893	87.82298	-11.964665	60800	-9.983778e-09	283.5177	-0.011607134	-241.18048	6.1179357	0.015521991	0.2175	5.0	1895.4403145313263	-0.5319179
38	37.185276	60.265892	228.57315	-8.247148	120.46154	20.510105	16.761505	80.507195	-7.0003967	62400	7.7486035e-09	303.16495	-0.011492555	-278.22354	6.1729445	0.016090203	0.21875	4.0	1942.3884897232056	-0.5319837
39	44.65979	51.86242	153.79309	-2.3926923	129.16667	20.15258	29.873724	119.35082	-12.435855	64000	-1.3411045e-08	571.423	-0.028811036	-511.76675	6.119973	0.016260454	0.18	16.0	1989.620141029358	-0.5349621
40	34.300343	32.836597	106.113525	-0.70398206	91.05882	18.927639	13.798547	53.687267	-7.0735307	65600	-1.3113022e-08	190.22617	-0.009666263	-148.93329	6.1581807	0.021418342	0.25	4.0	2037.516403913498	-0.5359778
41	30.290735	25.505974	86.81308	-3.5516355	92.0	11.62448	11.909536	66.58717	-20.272202	67200	-2.026558e-08	85.78963	-0.012535072	-58.894253	6.221024	0.014739995	0.199375	5.0	2084.876818418503	-0.5365667
42	24.16118	38.060345	167.70506	-0.76733154	70.77273	14.640297	13.214791	55.552258	-8.162877	68800	1.3411045e-08	154.61725	-0.01108821	-121.4609	6.1916103	0.02081746	0.253125	4.0	2132.560823202133	-0.53710276
43	30.312458	70.29321	303.72897	-14.418353	75.35	13.425403	17.078701	81.070915	-11.01725	70400	1.013279e-08	579.3894	-0.0098713925	-509.62268	6.179614	0.015353221	0.19875	5.0	2179.986696243286	-0.53761065
44	36.523487	44.88656	168.7404	-3.7087383	103.6	17.19731	22.145323	110.59642	-17.440489	72000	5.3644182e-09	418.02817	-0.013227961	-369.51147	6.1920347	0.015710974	0.21375	7.0	2227.424485683441	-0.53797567
45	33.836014	50.512753	157.97505	1.366114	131.18182	17.18354	17.685202	48.63286	-13.992443	73600	-1.7732383e-08	261.1512	-0.008352756	-226.27171	6.090145	0.029007016	0.255	3.0	2274.372003555298	-0.5381604
46	34.486954	43.100536	160.90031	-8.895568	116.61539	6.602343	9.385453	46.253353	-12.005575	75200	3.7401914e-08	267.75607	-0.017339386	-242.3772	6.184222	0.020765051	0.28625	4.0	2321.496782064438	-0.5382827
47	52.646004	69.7	213.17204	-5.6082606	159.5	20.40675	19.395761	75.53022	-9.09091	76800	6.556511e-09	432.24884	-0.0063970154	-368.6133	6.102197	0.018617503	0.203125	3.0	2368.537932872772	-0.53829163
48	52.936153	62.930225	200.41237	-1.2222427	141.81818	19.744751	14.060506	61.85163	-5.316452	78400	-4.0009617e-08	251.69704	-0.010733493	-232.39111	6.155105	0.017700426	0.22375	4.0	2415.719335079193	-0.53823006
49	108.4507	142.2034	454.78372	-2.4547122	183.75	22.41355	21.448511	75.35326	-16.128853	80000	-2.1532179e-08	1077.1033	-0.013742993	-994.42664	6.0808897	0.016558358	0.204375	6.0	2462.599579811096	-0.5383214
50	29.381815	38.787514	118.09074	0.25905386	109.85714	21.29925	14.9796715	108.63935	-0.4267468	81600	-3.606081e-08	346.39218	-0.016162073	-251.70374	6.132583	0.015653567	0.224375	6.0	2510.4569268226624	-0.5389345
51	69.71627	71.34182	193.87202	1.609736	199.625	16.38236	12.048891	67.905716	-18.3979	83200	-3.6656857e-08	143.48064	-0.013473057	-108.91109	6.047502	0.018628575	0.231875	5.0	2557.425910949707	-0.5397529
52	112.75038	132.14658	400.0124	-2.2578015	185.375	34.493603	22.760904	98.849174	-0.62449205	84800	4.477799e-08	772.4648	-0.0150654195	-698.99805	6.135216	0.01511538	0.19875	6.0	2604.5227007865906	-0.54089576
53	37.41876	44.81738	160.4818	2.3939202	115.166664	32.828224	23.496492	100.49914	-19.089916	86400	1.40070915e-08	424.89346	-0.056218535	-370.75146	6.117082	0.015377769	0.25	46.0	2652.2869799137115	-0.53951234
54	15.698671	18.011152	65.125656	-1.9955944	70.0	16.660528	15.966015	69.70488	-18.4029	88000	2.2947788e-08	226.39075	-0.03372281	-185.81491	6.1332455	0.01563854	0.230625	16.0	2700.048913002014	-0.5421123
55	35.441204	64.518776	249.50386	-0.60732603	104.6	15.136192	17.196972	56.52886	-18.34904	89600	2.1457673e-08	295.55566	-0.01578241	-272.039	6.1287475	0.026849195	0.325625	3.0	2747.363521337509	-0.5429095
56	26.314087	40.579796	170.83252	-3.4046261	93.70588	22.248568	23.058033	85.77121	-12.840423	91200	-5.9604643e-10	263.96017	-0.018501963	-220.29108	6.158243	0.017190147	0.236875	10.0	2794.8294248580933	-0.5443974
57	64.61482	75.096214	259.9205	11.353441	153.11111	12.801571	12.74047	57.54015	-7.434257	92800	2.6971101e-08	703.14233	-0.016190335	-670.50134	6.0735583	0.020352423	0.255625	7.0	2841.8876516819	-0.544659
58	95.950836	84.523994	238.96771	-3.7138174	238.0	16.780903	12.115175	55.86169	-7.901925	94400	1.7434358e-08	291.30066	-0.02602573	-245.55739	6.112335	0.01646438	0.229375	12.0	2888.825105905533	-0.5457513
