Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	-24.568563	22.021456	17.089567	-66.92761	83.08696	0.15591702	0.1909169	0.9982985	-0.48738834	2000	9.3579295e-08	251.57704	-0.038394097	-191.74066	6.390816	0.015307463	0.222	19.0	115.2513279914856	-0.49984273
1	-23.711348	21.245861	32.914753	-72.65046	79.4	-11.231857	4.998103	-2.2150009	-26.15277	4000	-2.2053719e-09	99.11558	-0.055668276	-20.46241	6.436123	0.014449852	0.221	79.0	228.58170008659363	-0.50548255
2	-28.622253	44.594402	76.99183	-119.4575	123.53333	-13.533254	5.862232	-4.0683055	-29.383408	6000	2.014637e-08	172.14952	-0.011959375	-69.09604	6.3405266	0.0253142	0.316	4.0	340.22091364860535	-0.50538677
3	-21.058096	21.288376	8.991119	-87.058784	73.85185	-14.346682	6.6928954	-0.60364634	-35.255352	8000	-2.193451e-08	83.19633	-0.02476783	-21.952614	6.400282	0.017140338	0.211	10.0	453.39654898643494	-0.50544345
4	-13.732486	23.412945	76.16844	-45.52182	94.95238	-9.252976	4.8690076	-0.222137	-21.316933	10000	1.2397766e-08	162.04243	-0.050353684	-100.47029	6.421971	0.015216123	0.2285	48.0	566.233558177948	-0.507778
5	-27.18329	21.40868	19.586365	-67.96299	78.24	-11.657139	8.523961	29.856781	-28.286386	12000	-2.3126603e-08	105.63315	-0.051001176	-36.42337	6.42197	0.01545504	0.2365	39.0	679.2042191028595	-0.512885
6	-18.951353	33.75709	109.0763	-102.47437	86.13043	-12.055199	6.5555325	15.241371	-25.563301	14000	-5.2809714e-08	174.8352	-0.048357256	-105.58199	6.333578	0.015090735	0.2195	39.0	792.2565705776215	-0.5215433
7	-35.16212	34.961704	-7.5721827	-156.87971	107.94118	-8.293882	18.978117	74.766365	-41.69004	16000	-2.2649764e-09	278.74185	-0.010817362	-220.94893	6.3193107	0.03490132	0.3025	3.0	903.909161567688	-0.5220318
8	-27.568115	21.255117	2.358252	-71.203224	94.666664	-11.000402	7.958915	10.755581	-31.389883	18000	2.7894973e-08	132.57422	-0.03618735	-69.841736	6.2501125	0.016552437	0.2225	22.0	1016.3544445037842	-0.5267297
9	-23.962006	30.706083	25.792263	-118.88424	84.85	-15.592295	7.635814	-4.705507	-35.235825	20000	6.6757204e-09	215.36404	-0.014265642	-123.792496	6.125464	0.021398336	0.246	3.0	1128.3078265190125	-0.5275869
