Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	-21.087885	29.319542	49.90995	-102.136696	71.545456	-0.6687735	0.38451636	-0.04313555	-1.9046222	1600	-6.2435866e-08	358.32132	-0.015932692	-211.10788	6.403035	0.022174386	0.276875	2.0	56.31927275657654	-0.5003526
1	-29.837154	20.89789	-7.0085278	-72.28812	79.05	-15.706922	6.5291147	-1.9476619	-34.029217	3200	-5.9604646e-09	99.68601	-0.050140932	-24.02575	6.4355803	0.015220901	0.230625	29.0	111.71164059638977	-0.5050462
2	-19.355505	10.971698	-0.48785463	-36.379284	74.85	-12.69549	5.1258063	-3.6402495	-29.660963	4800	5.3644182e-09	46.991455	-0.057431158	-23.313213	6.448754	0.015262258	0.230625	58.0	166.17867422103882	-0.5119216
3	-20.279753	9.632225	-7.438364	-47.296352	65.208336	-9.235157	2.8882751	-3.5399117	-18.533184	6400	-3.576279e-08	37.7184	-0.014346712	-12.92918	6.3192806	0.01582511	0.22625	5.0	220.97028970718384	-0.5130643
4	-30.869877	19.570868	-1.634312	-71.86379	77.65	-11.256431	2.9047456	-4.2777143	-22.73695	8000	3.695488e-08	93.224724	-0.015735386	-49.656345	6.3161497	0.01414283	0.19375	5.0	275.4493193626404	-0.5145327
5	-15.032485	6.2129755	-4.015838	-27.278328	54.068966	-12.648807	5.4977446	-1.6734272	-28.718708	9600	1.1026859e-08	70.429016	-0.014882312	-46.73197	6.3317943	0.015576393	0.20125	7.0	330.6540448665619	-0.51670474
6	-23.40537	19.162947	-4.013241	-97.3551	71.5	-9.806094	2.8800786	-2.9830444	-16.85174	11200	1.0579824e-08	93.00336	-0.0365734	-46.573845	6.3431716	0.015965477	0.210625	21.0	385.1069278717041	-0.52156323
7	-13.881818	19.700815	37.3842	-74.34621	68.26087	-9.735401	5.5120215	-1.6370907	-38.74308	12800	2.9355288e-08	189.9624	-0.01905144	-70.827126	6.270846	0.015123341	0.204375	7.0	439.6144070625305	-0.52298605
8	-6.749356	28.524942	67.49691	-33.043716	141.81818	-7.289241	4.339595	-0.116775095	-20.590109	14400	-3.2782554e-09	226.79338	-0.013314055	-189.19891	6.336829	0.019939974	0.25875	7.0	493.8357877731323	-0.5240583
9	-23.122267	18.686478	11.717201	-79.07813	65.875	-10.90645	11.062331	29.364355	-29.921291	16000	3.427267e-08	127.41803	-0.016979853	-85.87307	6.3309994	0.016239576	0.221875	5.0	548.3926267623901	-0.52482235
10	-13.711335	8.331376	1.518594	-39.66209	57.666668	-10.418838	4.519431	-0.76914066	-22.157255	17600	-6.2584875e-09	36.341263	-0.056136187	-22.235931	6.2809105	0.015266286	0.256875	38.0	604.2249019145966	-0.53318787
11	-22.68352	15.104743	-8.840283	-60.94669	72.181816	-9.054501	4.1036468	1.0229452	-17.933424	19200	-6.2584875e-09	84.23091	-0.05144266	-47.896137	6.175951	0.01539144	0.23375	34.0	659.2611048221588	-0.540042
12	-14.8855295	18.79339	53.63289	-60.945576	57.666668	-10.585457	4.853304	2.2230666	-25.446041	20800	4.8279762e-08	129.83333	-0.017367626	-51.233604	6.0874634	0.021006122	0.23375	6.0	713.9422993659973	-0.5407928
13	-19.9332	15.617441	-0.7110269	-71.96079	70.47619	-10.84499	5.6867905	-0.6905887	-36.56379	22400	1.7508864e-08	138.42584	-0.024868581	-87.10707	6.1965504	0.016194772	0.224375	10.0	768.5141417980194	-0.542083
14	-20.577934	17.588697	12.527698	-70.22939	66.434784	-11.666499	6.7812486	-2.2999718	-35.14106	24000	0.0	97.07258	-0.052352548	-46.752098	6.1384926	0.015136792	0.235	40.0	823.670093536377	-0.546839
15	-19.646488	16.427341	0.95640033	-74.40259	74.52381	-11.196508	4.269516	-1.9211628	-25.210773	25600	-3.606081e-08	45.76535	-0.010525881	-20.852541	6.1042857	0.021160511	0.26875	4.0	878.4012007713318	-0.5473041
16	-20.627344	11.250004	-0.64547366	-51.680138	68.17391	-10.358112	3.78113	-3.4718945	-22.630041	27200	2.9802323e-09	37.767296	-0.014514625	-13.659603	5.9974666	0.018498529	0.24	4.0	933.4937345981598	-0.5478589
17	-15.760032	8.381209	-0.21506658	-38.35631	52.833332	-10.897172	5.5137334	-2.951853	-30.766731	28800	3.9488075e-09	48.241486	-0.012984404	-28.104485	6.195459	0.018855663	0.21125	5.0	988.2094442844391	-0.5487569
18	-20.217196	13.559741	-4.107177	-63.70979	64.208336	-7.7524805	2.4525495	-2.7814698	-15.483928	30400	2.1159648e-08	52.519596	-0.016251516	-22.67142	6.150925	0.016648179	0.2325	5.0	1042.3246190547943	-0.5496016
19	-17.468534	31.662868	85.89843	-91.099396	80.5	-8.627564	2.9637725	-4.2332454	-16.342234	32000	-2.9057263e-09	202.60143	-0.011190558	-116.60511	6.0613804	0.017113958	0.21625	5.0	1096.5461542606354	-0.55033845
20	-14.706747	8.400976	6.7856255	-31.440475	63.88	-11.873377	7.481403	10.936448	-29.61119	33600	4.5001507e-08	72.36667	-0.050215952	-51.59797	6.05465	0.015101558	0.2125	34.0	1151.8180601596832	-0.55415964
21	-17.1889	11.452067	-4.4750495	-55.76915	74.52381	-8.436287	2.7301214	-1.2861317	-17.174742	35200	2.1606684e-08	39.78293	-0.015289553	-10.755829	5.9850154	0.01572833	0.208125	5.0	1206.4068071842194	-0.5553097
22	-15.672751	14.727521	3.1383348	-70.80947	59.807693	-9.422007	3.711597	-1.0357194	-20.749235	36800	-1.013279e-08	48.19376	-0.01582058	-23.424889	6.043039	0.018846288	0.221875	5.0	1260.6264913082123	-0.5562965
23	-14.979078	10.848891	19.282091	-40.91433	54.827587	-7.9480324	5.0978875	7.660722	-23.842205	38400	-1.6391278e-08	37.171227	-0.053622156	-20.925772	6.0176435	0.015479224	0.23375	34.0	1316.042443037033	-0.5613927
24	-13.967672	22.439709	75.10434	-46.02951	67.13636	-8.201009	5.292086	7.2521386	-18.430992	40000	-1.2218952e-08	99.293045	-0.01540666	-80.87797	6.0188684	0.016164828	0.2175	7.0	1371.0478978157043	-0.5622457
25	-13.4272	15.676476	36.04816	-42.726547	66.625	-8.259328	8.4061165	37.331768	-30.208488	41600	8.940697e-09	59.562332	-0.015689133	-46.91603	5.9924035	0.0151795205	0.185	7.0	1426.1840748786926	-0.5633653
26	-14.269875	17.409319	41.40222	-39.282375	75.333336	-7.712816	6.0342107	29.834553	-20.543413	43200	2.2053719e-08	115.89001	-0.042438023	-79.54768	5.952165	0.015442341	0.214375	28.0	1480.9903447628021	-0.5659994
27	-11.681198	24.244213	104.28909	-32.765675	61.23077	-6.9126673	6.873141	13.989927	-27.037539	44800	1.2069941e-08	369.45764	-0.01268512	-346.91675	5.9695764	0.019827534	0.255	6.0	1536.1788184642792	-0.56668735
28	-13.870383	20.912374	58.27618	-44.703503	71.59091	-7.9867134	10.951672	65.6088	-27.798359	46400	-1.4305114e-08	71.88442	-0.013344662	-56.428143	5.950841	0.017596763	0.235625	5.0	1591.0091242790222	-0.56767863
29	-7.4416122	23.10402	72.2165	-62.844288	77.4	-4.505308	10.644658	43.46236	-25.906675	48000	-7.450581e-09	68.98185	-0.017986774	-44.499367	5.8773303	0.016444715	0.20375	9.0	1644.7878522872925	-0.5688884
30	-16.230604	17.299438	13.217443	-66.4942	69.13636	-7.880133	5.2123075	5.7107487	-25.372812	49600	4.5448543e-09	123.10139	-0.010101895	-75.572586	5.877252	0.017961547	0.225	3.0	1699.655503988266	-0.5692604
31	-20.785004	17.349854	2.2670386	-58.870255	103.666664	-7.8872485	7.2249603	8.991091	-36.09147	51200	4.3213366e-09	46.03508	-0.009290671	-30.734676	5.8990493	0.016027896	0.231875	4.0	1754.2803642749786	-0.5699259
32	-21.513723	13.401937	-2.9352462	-66.99194	62.833332	-11.137775	6.284436	4.1409483	-30.041943	52800	-1.5944243e-08	83.36071	-0.0147942025	-69.503876	5.898396	0.018449044	0.250625	5.0	1808.6076400279999	-0.5708173
33	-16.629221	17.190567	21.396992	-75.94532	73.666664	-8.692155	5.9425726	2.1309533	-34.7641	54400	5.662441e-09	63.780712	-0.042307712	-39.16335	5.9253316	0.016452173	0.2325	24.0	1863.1168541908264	-0.5760964
34	-13.359939	9.742764	-0.8342467	-39.877945	68.434784	-6.3168154	7.2395425	17.081264	-18.820066	56000	-2.2947788e-08	61.27121	-0.013272303	-49.825317	5.9425197	0.021451272	0.264375	5.0	1917.480435371399	-0.5770922
35	-17.9737	17.177792	3.3278203	-90.38352	56.75	-8.202794	5.867771	20.802797	-24.108383	57600	-4.172325e-09	113.72556	-0.012049054	-87.03955	5.912024	0.015335739	0.225	4.0	1971.5261600017548	-0.5779167
36	-12.618245	26.11037	63.274506	-86.6962	88.22222	-8.550852	4.8840656	-0.22975601	-30.422115	59200	-1.2218952e-08	151.56557	-0.013194693	-123.37648	6.0188684	0.021968117	0.270625	4.0	2025.6431422233582	-0.57857376
37	-21.147606	22.485527	-6.4078383	-92.328926	83.5	-7.367903	10.691451	7.170769	-43.440014	60800	-9.685754e-10	110.214005	-0.025254123	-59.915	5.8899217	0.013750629	0.19	13.0	2079.4360377788544	-0.57940847
38	-10.442895	7.773458	15.639643	-21.385263	59.833332	-8.8417015	5.893347	15.801553	-27.10624	62400	-1.5050173e-08	51.663944	-0.059432782	-34.19051	5.8482776	0.015475491	0.236875	65.0	2134.6507754325867	-0.5876209
39	-12.797649	10.249603	21.251127	-33.864365	56.74074	-7.047792	6.536014	24.2263	-22.792505	64000	7.4505804e-11	43.892544	-0.049278356	-33.00476	5.851011	0.015734777	0.235	32.0	2189.2822875976562	-0.5907454
40	-17.944601	12.646251	-3.747209	-68.20575	61.192307	-8.352025	5.1204076	4.2460136	-22.891863	65600	4.4703485e-09	68.42671	-0.012203035	-43.24701	5.7654405	0.019866072	0.23875	3.0	2244.106389760971	-0.5912697
41	-5.8853245	21.009352	65.897766	-34.02951	81.47369	-7.429591	2.727904	-0.60255986	-16.456415	67200	4.649162e-08	158.31108	-0.014368554	-131.56972	5.712514	0.017837102	0.20125	6.0	2299.7702696323395	-0.5917934
42	-17.142128	17.081999	25.887646	-63.519733	76.8	-8.122617	8.501877	30.320955	-23.764446	68800	2.0861626e-09	92.86542	-0.04893768	-60.94034	5.8017125	0.014908442	0.215	35.0	2353.0021934509277	-0.5987653
43	-17.314209	12.457991	11.974651	-51.814976	66.5	-10.220567	5.2883873	7.3257484	-22.344921	70400	-1.1622905e-08	57.108475	-0.013918247	-36.478752	5.7398095	0.01592716	0.223125	5.0	2407.6291043758392	-0.5998806
44	-16.176935	33.760857	92.46207	-75.44762	78.10526	-9.725369	5.707176	1.8987201	-26.324993	72000	1.37090685e-08	320.359	-0.013885512	-264.3794	5.744308	0.017953401	0.208125	6.0	2461.6540303230286	-0.6010706
45	-9.5825405	15.148093	39.407623	-48.04625	56.75	-2.8781958	13.203316	40.43369	-47.133102	73600	0.0	159.50319	-0.043181833	-133.01202	5.781058	0.015450392	0.224375	23.0	2516.4883041381836	-0.6014065
46	-21.029974	25.24605	8.89179	-85.959145	90.117645	-9.884382	6.839391	2.3826864	-27.309084	75200	-4.4703485e-09	92.03227	-0.03496697	-72.43409	5.791696	0.015088897	0.22	18.0	2570.4828820228577	-0.6039048
47	-14.675684	13.201548	24.394915	-35.532032	69.545456	-8.554666	11.287631	28.515266	-43.159992	76800	-2.4884939e-08	157.38916	-0.018113224	-130.75119	5.638251	0.016974825	0.20375	7.0	2624.9576637744904	-0.6054575
48	-10.675623	14.199098	34.72672	-34.440613	85.888885	-5.5677967	6.042046	16.069035	-21.715288	78400	-1.7359852e-08	102.72736	-0.013135133	-85.059	5.741324	0.0168994	0.22375	8.0	2676.596010684967	-0.60638535
49	-17.54075	20.191113	16.514858	-66.66335	88.111115	-4.8508215	8.048994	26.878675	-22.575935	80000	5.662441e-09	76.96527	-0.016123889	-52.66993	5.700904	0.014342822	0.215	7.0	2727.2688324451447	-0.60765105
50	-16.038074	19.678875	2.3709931	-90.40089	65.13043	-9.406319	5.223998	7.883562	-21.129246	81600	-1.4901161e-10	61.63525	-0.015248768	-44.072113	5.6640186	0.01821131	0.255625	4.0	2778.8630135059357	-0.6084978
51	-14.648012	26.259117	81.97882	-46.894497	78.68421	-8.814971	10.173178	29.067253	-33.883408	83200	-1.9371509e-08	194.85156	-0.009932114	-172.46472	5.662933	0.020355918	0.25875	4.0	2829.768702030182	-0.6091257
52	-10.449123	16.54624	32.962864	-78.16599	54.58621	-5.60065	12.933984	51.453625	-27.416298	84800	-2.3543835e-08	81.355774	-0.011545499	-64.71816	5.673745	0.01496705	0.189375	4.0	2876.791395187378	-0.6097265
53	-16.121683	17.78909	33.25774	-59.839993	65.291664	-4.9462776	4.631501	6.683631	-17.479223	86400	-2.5480986e-08	117.27564	-0.012232652	-71.09327	5.635797	0.018009901	0.21	5.0	2923.6409521102905	-0.61012524
