Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	39.009933	33.2462	95.91417	-1.362306	97.3125	0.21127392	0.1867458	0.8562565	-0.26501694	1600	1.5553087e-07	484.50708	-0.0317641	-251.9112	4.588597	0.015412259	0.214375	14.0	64.39982914924622	-0.5025042
1	30.757467	32.31015	120.29526	2.3986163	87.888885	15.714177	5.8638563	31.281292	4.3593197	3200	2.592802e-08	361.4454	-0.013931321	-203.3149	4.4715505	0.018875288	0.2475	5.0	116.81149363517761	-0.5029137
2	36.106926	39.55165	151.7717	2.971049	98.86667	14.338668	10.320233	46.67468	-4.553971	4800	2.4437904e-08	224.37035	-0.053371813	-144.65097	4.636525	0.015063516	0.230625	76.0	168.85674238204956	-0.50071573
3	50.5974	31.36397	96.696556	7.9738216	129.90909	18.007977	17.974106	65.21454	-21.588495	6400	1.5050173e-08	314.79504	-0.01014882	-258.37836	4.6224775	0.021186208	0.214375	4.0	219.8174729347229	-0.5008648
4	27.443607	32.624245	130.03569	1.897307	89.375	18.929506	12.842523	57.355793	-7.0830526	8000	4.6044587e-08	387.39233	-0.011600616	-296.91818	4.6475735	0.018370306	0.260625	5.0	271.61637926101685	-0.5011072
5	31.181341	28.111357	84.326	0.32837534	98.75	11.733826	12.356181	44.27332	-13.803536	9600	-2.6226044e-08	138.01457	-0.024409337	-78.198685	4.60351	0.016344797	0.219375	10.0	323.72149753570557	-0.50136584
6	18.099298	15.529321	63.854774	-2.2298453	68.434784	9.539616	7.7255597	31.333448	-3.3741276	11200	1.579523e-08	91.16834	-0.013718064	-61.96348	4.608189	0.018254513	0.24875	4.0	375.7364101409912	-0.50132996
7	29.834782	28.840834	84.67348	-8.1965065	99.0625	11.544131	8.396883	39.328403	-4.9946003	12800	-1.3113022e-08	142.87752	-0.053483333	-85.12227	4.589937	0.015246723	0.230625	50.0	427.8757281303406	-0.50501186
8	45.960854	61.488495	240.32634	1.2008333	119.69231	9.749732	11.952475	34.05822	-15.336615	14400	1.1250377e-08	414.95062	-0.0178656	-350.55197	4.5176272	0.017421056	0.228125	7.0	479.6075551509857	-0.5052905
9	17.878939	21.096478	83.59759	0.3908976	75.52941	10.2526455	10.768355	56.563877	-15.324551	16000	9.23872e-09	174.88567	-0.011401976	-127.81611	4.501032	0.019277167	0.246875	4.0	531.3457598686218	-0.5052764
10	30.588488	31.220644	105.25454	-1.1907105	106.4	10.191656	11.001558	53.312595	-12.218708	17600	-1.1622905e-08	167.32973	-0.039306294	-136.13936	4.574008	0.014926216	0.223125	26.0	583.5672678947449	-0.50530255
11	40.88436	64.34345	187.51343	-4.9766703	99.1875	21.630434	21.733686	75.712204	-9.70796	19200	-3.2782554e-09	113.879814	-0.009089464	-89.65557	4.580259	0.020683076	0.22625	5.0	635.1198570728302	-0.50530136
12	52.90493	76.67394	273.1439	0.60483396	123.0	12.680639	11.021888	42.823795	-5.764094	20800	-1.1324882e-08	639.9352	-0.052657917	-582.7999	4.5374584	0.0152980955	0.21625	61.0	686.8558723926544	-0.501983
13	54.880566	47.2082	125.9837	-0.9349541	139.90909	26.053404	19.635817	81.729996	-15.687964	22400	7.301569e-09	296.99237	-0.04877885	-228.11102	4.6531205	0.015085289	0.245	40.0	738.3352835178375	-0.4965604
14	71.81074	58.79926	201.35394	-0.84914947	187.125	16.916933	10.675893	58.45219	-0.7958414	24000	-6.482005e-09	306.99905	-0.050235894	-267.90186	4.5970235	0.014987392	0.223125	63.0	789.5827448368073	-0.48895687
15	100.49274	85.38384	233.6388	18.199753	228.57143	24.413525	8.0542555	53.64204	-0.6812022	25600	4.649162e-08	456.44345	-0.041251324	-353.98996	4.6677012	0.015371706	0.204375	29.0	840.7834572792053	-0.49027038
16	92.59618	62.705696	152.24617	-1.7592394	215.71428	21.459284	20.498453	87.44985	-36.010284	27200	3.1292437e-08	287.31287	-0.032445416	-246.01566	4.6501374	0.015516504	0.203125	17.0	892.3711097240448	-0.49309292
17	72.032265	62.189743	189.39989	-0.4793334	178.57143	31.26625	17.652302	65.72981	-8.525234	28800	-1.9073486e-08	221.32301	-0.008825667	-163.90991	4.6156344	0.016732655	0.195625	4.0	943.1627252101898	-0.49337548
18	110.502106	76.527756	213.5994	11.891378	258.0	33.667305	13.407811	61.995117	-2.8602192	30400	-2.9802322e-10	140.19495	-0.056202553	-96.20184	4.5867505	0.013483478	0.21875	79.0	995.1162261962891	-0.50595635
19	82.60941	72.825485	207.4462	0.69476616	194.875	31.243507	15.718183	57.396675	-7.849848	32000	1.6391278e-08	222.4754	-0.015692625	-150.27184	4.630897	0.014586231	0.20125	5.0	1046.149244070053	-0.5065575
20	80.212204	73.997696	208.20523	-0.1280322	170.875	27.681768	16.230383	70.84079	-4.120201	33600	-2.2053719e-08	237.35889	-0.00839595	-171.9584	4.57817	0.0148961255	0.21	3.0	1097.9556884765625	-0.5071966
21	79.251656	94.93731	272.2442	1.6057303	172.88889	22.119698	16.069038	58.27409	-16.068314	35200	-1.296401e-08	550.9613	-0.009258631	-460.53348	4.5581117	0.019605171	0.245625	4.0	1149.2328152656555	-0.5078225
22	157.62901	57.804306	200.49716	58.037354	323.25	43.32014	21.939047	89.838135	-17.34668	36800	-1.0281801e-08	571.49164	-0.056807324	-493.9602	4.5418434	0.0150375655	0.23	60.0	1199.9491591453552	-0.5066268
23	91.57618	100.51271	294.23212	1.2345334	190.71428	35.939213	24.144304	102.947464	-14.318186	38400	-7.152557e-09	534.7186	-0.059188023	-496.06406	4.5671787	0.015371828	0.238125	71.0	1251.4551541805267	-0.51243967
24	79.592766	54.827557	141.4551	-1.6908242	228.16667	27.48462	17.555674	65.128876	-20.874475	40000	2.6822091e-09	207.79974	-0.013345199	-146.5134	4.4974303	0.020562753	0.243125	4.0	1302.3967497348785	-0.51233923
25	223.73929	195.47081	510.33252	9.424053	262.6	41.584328	16.644125	70.31295	-19.195156	41600	4.2319297e-08	1436.6797	-0.012392379	-1354.9562	4.51406	0.019611733	0.1925	5.0	1353.1521527767181	-0.5121892
26	140.03548	105.17146	317.61288	23.88821	290.6	51.45509	31.49918	100.25556	-9.580998	43200	-1.23679635e-08	1354.5956	-0.026009541	-1318.2363	4.5357246	0.019074706	0.2075	10.0	1404.1897239685059	-0.51175135
27	120.27787	141.75377	444.28595	-0.616349	227.85715	47.503277	27.5417	118.027016	-4.375795	44800	5.3644182e-09	835.0662	-0.019703697	-676.1386	4.545694	0.018407594	0.25	9.0	1455.4664838314056	-0.51175874
28	132.22534	136.28197	411.5577	10.782685	224.83333	41.087208	34.319145	130.02399	-6.8367	46400	-8.195639e-09	886.62836	-0.014061127	-659.81366	4.536485	0.016480444	0.200625	6.0	1506.7567324638367	-0.5123601
29	113.306885	54.942745	209.001	46.92796	210.28572	33.12219	26.67012	138.77711	-1.8840009	48000	-4.4703483e-10	653.8738	-0.031721916	-529.8141	4.54146	0.01670838	0.2175	16.0	1557.7500298023224	-0.51529676
30	202.35588	160.05336	453.3517	27.686256	279.0	37.641773	14.354945	73.88696	15.530263	49600	-4.172325e-09	1261.2607	-0.012938603	-1030.9988	4.56084	0.018668594	0.218125	5.0	1609.041698217392	-0.51600826
31	141.76144	139.7366	403.89212	4.82267	281.6	38.432236	41.616688	137.274	-17.371803	51200	6.556511e-09	355.17746	-0.023095706	-300.2615	4.525931	0.018449869	0.143125	7.0	1659.8839945793152	-0.5173171
32	174.94078	123.037415	313.29395	10.589377	267.4	45.8867	16.730036	100.26456	-2.296435	52800	-1.0579824e-08	340.19653	-0.010349458	-262.25256	4.4742603	0.01800222	0.21625	4.0	1710.7885224819183	-0.5180269
33	112.686386	131.64069	335.59958	0.082230635	179.25	56.303608	23.367983	102.56414	-8.985313	54400	-9.536743e-09	132.7877	-0.016054478	-71.97276	4.4738197	0.016313098	0.195	8.0	1761.7559478282928	-0.51756525
34	229.90082	40.719765	285.92847	171.91399	389.0	62.827885	13.528022	85.073654	17.10038	56000	1.5944243e-08	286.42575	-0.028704781	-181.207	4.5466337	0.014500734	0.224375	12.0	1812.8397436141968	-0.51790315
