Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	51.31215	39.972084	159.42714	11.616046	118.37037	0.49757668	0.27503717	1.1093974	-0.26053256	3200	1.9788742e-07	587.43286	-0.041625533	-322.36594	4.536333	0.013664825	0.1996875	79.0	70.9591588973999	-0.499422
1	59.907192	73.66427	307.48492	5.19043	120.42308	15.276088	6.5697374	37.068775	4.370228	6400	-8.791685e-09	792.9446	-0.04164075	-294.52234	4.6414657	0.012966936	0.181875	79.0	137.62848329544067	-0.50327873
2	55.63208	42.13826	183.23257	7.439409	122.23077	24.039526	11.631572	56.653095	-1.3884594	9600	-2.682209e-08	524.90466	-0.042817242	-381.16595	4.614077	0.014220184	0.20875	79.0	200.31330609321594	-0.50147617
3	61.983173	39.262188	136.77652	7.670327	131.83333	17.701921	10.5413475	54.035103	-2.5952227	12800	-2.0861625e-08	170.76778	-0.007499651	-85.63142	4.5984216	0.015183044	0.2071875	4.0	262.021112203598	-0.50181335
4	58.161407	48.943966	179.64633	6.441095	124.48	16.855648	13.5084715	76.25679	-5.9300656	16000	1.7508864e-08	326.2074	-0.009321573	-149.7658	4.5260177	0.01739886	0.2175	5.0	323.76031374931335	-0.5019471
5	87.377716	71.06772	329.5507	21.267607	176.66667	31.99408	13.893607	66.07478	-0.2905051	19200	5.252659e-09	406.94614	-0.009060662	-253.8471	4.593846	0.015724065	0.215	5.0	385.729777097702	-0.5017951
6	61.475464	53.99423	183.26277	4.9071035	141.95454	16.773994	16.01355	55.681244	-20.490519	22400	-3.0174853e-08	419.9243	-0.042282365	-311.8307	4.6045256	0.014331354	0.206875	79.0	448.1463418006897	-0.50191885
7	72.78671	79.4681	279.5982	3.2777865	172.0625	31.106379	20.85269	78.16469	-1.3212204	25600	-7.376075e-09	713.555	-0.009650227	-582.9372	4.586561	0.014209487	0.194375	5.0	508.9051196575165	-0.502151
8	75.90589	82.11787	352.49097	5.9976683	159.55	34.463203	36.463135	120.155495	-30.827517	28800	-8.940697e-09	940.96216	-0.0435201	-757.8447	4.580539	0.0146199325	0.21125	79.0	571.5348832607269	-0.50202733
9	113.90771	125.32228	379.2104	0.22500551	225.78572	29.57481	17.116941	72.191185	-3.773562	32000	-2.0861626e-09	386.51144	-0.04230608	-281.3781	4.597017	0.014162703	0.2028125	79.0	633.7875542640686	-0.50302446
10	73.25879	67.07546	282.33438	4.139089	180.82353	23.230402	14.729395	67.87023	-12.042925	35200	-7.0035457e-09	206.65692	-0.046285585	-157.8271	4.587403	0.0147297075	0.21625	79.0	696.7662739753723	-0.50655
11	90.06084	71.479706	289.3448	2.8355434	222.71428	25.51442	22.3324	95.90507	-14.544877	38400	2.0116568e-08	172.16083	-0.036004033	-145.91646	4.5578833	0.013774952	0.198125	79.0	758.7082629203796	-0.5198297
12	112.21908	69.226944	244.16353	1.9850874	230.6923	26.065815	12.4986105	66.56373	-9.697063	41600	3.5762786e-09	222.68658	-0.03979873	-141.13405	4.4685454	0.01329304	0.188125	79.0	820.4510025978088	-0.5200518
13	90.62396	96.220764	352.062	3.6384218	180.9375	32.777798	20.888891	91.65669	-12.320396	44800	0.0	204.30743	-0.046428222	-134.03915	4.5003023	0.013922982	0.205	79.0	882.0688109397888	-0.5215278
14	102.8142	137.62039	561.83777	7.943913	217.6923	32.20906	23.384308	89.249626	-16.564995	48000	-1.1622905e-08	756.9294	-0.03998505	-678.76807	4.4916306	0.014984231	0.2228125	57.0	943.7703881263733	-0.52175874
15	98.227585	114.61721	436.5241	7.270059	207.46666	27.067686	28.564161	149.05605	-19.203201	51200	-4.0233136e-08	268.33313	-0.045560256	-236.37096	4.512854	0.014757109	0.1965625	79.0	1005.896271944046	-0.52864456
16	87.41621	76.16091	370.3879	7.927834	157.15	28.670914	21.171246	103.710815	-11.64963	54400	-2.2053719e-08	518.4087	-0.049885534	-414.82346	4.4191766	0.013906319	0.2128125	79.0	1068.6436955928802	-0.5317405
17	245.48128	122.36764	403.65778	74.508965	395.125	33.484753	28.405624	125.160645	-33.487324	57600	4.7683715e-09	662.35	-0.046964668	-623.9114	4.4833226	0.0135180745	0.2034375	79.0	1129.9770302772522	-0.52939844
18	125.61289	107.5718	344.46222	16.742687	265.5	36.311428	24.734007	99.85964	-14.750048	60800	2.9802322e-10	323.36987	-0.048478927	-270.00443	4.45608	0.015543712	0.2259375	79.0	1191.5828397274017	-0.5306904
19	188.66295	230.54184	832.235	5.289363	285.72726	39.711777	22.995844	103.064445	-10.659499	64000	-7.152557e-09	897.5723	-0.009879684	-786.61475	4.4392977	0.020514779	0.238125	4.0	1252.1200547218323	-0.5309244
20	178.13454	138.81651	400.58038	26.885027	290.0	44.509697	35.723278	168.92203	-21.526484	67200	5.3644182e-09	256.1224	-0.04065459	-226.15605	4.43906	0.015073273	0.2084375	56.0	1313.9980568885803	-0.5308641
