Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	15.595795	23.684473	80.06896	-23.230633	118.37037	0.49757668	0.27503717	1.1093974	-0.26053256	3200	2.168119e-08	128.12425	-0.038924325	-52.733513	4.536333	0.015160558	0.201875	68.0	71.41802978515625	-0.50594866
1	21.92244	36.299175	134.92241	-17.807693	116.0	2.3713224	4.584726	20.853935	-5.8261685	6400	1.065433e-08	232.98347	-0.010243555	-140.11537	4.6088314	0.0137233	0.176875	5.0	137.68053197860718	-0.506035
2	19.779781	34.183918	113.85204	-31.952776	124.72	10.745457	12.987665	57.989906	-18.997631	9600	1.4305114e-08	278.2775	-0.039299145	-176.92966	4.600296	0.013367854	0.19125	79.0	206.15315127372742	-0.51263285
3	22.916218	31.211725	114.170334	-26.909302	159.52632	5.340278	9.395939	47.29146	-16.332666	12800	2.4437904e-08	95.58511	-0.040939815	-51.53451	4.542638	0.013811887	0.20125	79.0	273.7402517795563	-0.52109927
4	17.612654	25.807858	96.607185	-9.943019	128.04167	3.4814446	9.9343605	57.63141	-13.874719	16000	-1.9818545e-08	158.0512	-0.009180947	-101.723465	4.429588	0.020674894	0.28	4.0	342.015506029129	-0.52134734
5	50.37561	61.46103	195.55392	-0.58216494	174.0	10.039789	6.339384	27.67223	-4.088157	19200	2.8163194e-08	409.84338	-0.023020875	-334.61084	4.4968433	0.015005808	0.213125	19.0	409.022588968277	-0.52375793
6	27.500769	37.222603	109.52675	-13.046302	138.86363	10.161796	18.03851	64.54656	-22.198378	22400	-1.1175871e-09	221.69817	-0.04134562	-188.79198	4.494711	0.012551827	0.178125	79.0	477.4583475589752	-0.52590847
7	24.32152	40.917747	170.64775	-9.296674	121.46154	10.202193	11.221929	44.53794	-12.732908	25600	-5.1036477e-09	230.23164	-0.042800684	-168.81046	4.466614	0.015057322	0.2	69.0	546.1525638103485	-0.5327256
8	33.846603	50.61054	191.2127	-10.828843	142.09091	9.622885	14.629206	55.831333	-24.624104	28800	-1.7769635e-08	159.3193	-0.041874975	-109.32228	4.427666	0.014578806	0.2171875	79.0	613.93310546875	-0.5426065
9	47.689335	68.09009	239.60924	-12.121668	167.3158	14.587637	13.092039	52.19914	-12.435909	32000	-1.3411045e-08	164.31754	-0.039775465	-133.09158	4.394121	0.01281708	0.1878125	79.0	682.7014605998993	-0.5510373
10	32.153698	59.8823	299.90515	-9.062572	132.375	13.518171	16.877855	59.91993	-34.134678	35200	1.2144446e-08	203.76382	-0.041522186	-172.18033	4.3473396	0.015010846	0.200625	79.0	750.7871639728546	-0.560763
11	51.9711	66.06316	264.42664	-9.381368	156.89473	11.893045	10.023814	66.29701	-18.56674	38400	-3.33786e-08	294.32855	-0.041725352	-209.1142	4.286819	0.014754198	0.2053125	79.0	819.2769849300385	-0.57009315
12	49.623577	63.411076	272.82507	-0.10110847	177.17647	13.748168	15.2947035	59.691673	-32.660305	41600	9.611249e-09	146.92625	-0.04507847	-126.750656	4.2172275	0.01432139	0.2109375	79.0	888.1920614242554	-0.5822794
13	72.5045	133.98796	513.7612	-4.633579	196.46666	24.785698	31.288023	123.21287	-12.066192	44800	-2.8312206e-09	541.00507	-0.0071981135	-496.36917	4.1891637	0.018625297	0.22	5.0	954.2691195011139	-0.58316946
14	65.494644	82.84817	287.14175	0.2629667	167.89473	32.585915	37.57097	156.57957	-17.78724	48000	1.7136335e-08	855.2407	-0.044637647	-790.57513	4.183422	0.013727657	0.2046875	79.0	1022.2430999279022	-0.58827704
15	50.011517	42.0271	135.23346	-2.584363	160.61111	24.76346	26.512686	135.07071	-29.496819	51200	-1.3038516e-08	651.2026	-0.04455757	-596.4612	4.180263	0.014046056	0.2215625	79.0	1088.9302582740784	-0.5980942
