Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	42.233	30.051167	145.49422	5.859083	74.38095	0.43136147	0.2781941	1.0750206	-0.25319943	1600	1.1920929e-09	564.49854	-0.0149748465	-297.74548	4.5885963	0.0185182	0.24	3.0	49.56897449493408	-0.5007233
1	48.71445	39.860683	143.93996	7.634034	82.31579	16.79917	6.992394	38.085033	4.7052603	3200	3.784895e-08	498.08734	-0.011439319	-234.50171	4.480455	0.016139688	0.216875	6.0	90.31651091575623	-0.5011718
2	60.812298	50.30705	200.08452	8.727551	105.13333	18.829212	6.0456014	41.777927	7.3328867	4800	3.159046e-08	472.53085	-0.014681962	-379.34088	4.6452346	0.018269308	0.235625	6.0	133.3132917881012	-0.5014197
3	86.141716	85.941124	319.79684	4.729889	133.0	31.234888	20.887281	81.1772	-2.9904628	6400	1.0877848e-08	758.2704	-0.014820809	-587.1179	4.618958	0.021996742	0.260625	7.0	169.74385690689087	-0.5020627
4	54.751926	37.9977	126.72941	10.000892	107.28571	18.48215	21.482569	73.15358	-14.614856	8000	1.9669534e-08	417.71405	-0.009195853	-341.36847	4.6415844	0.018625276	0.269375	6.0	212.86366081237793	-0.5028306
5	56.574	45.426407	175.05057	5.0161834	106.84615	22.569433	14.142179	67.83432	-3.604622	9600	4.172325e-09	217.21881	-0.019146314	-165.60974	4.594892	0.016204894	0.213125	12.0	258.4006757736206	-0.5044254
6	43.673164	25.522778	125.4695	12.974733	93.17647	12.479265	14.256494	49.06071	-8.015297	11200	-2.9802323e-09	264.6954	-0.016281893	-216.61426	4.592891	0.01768093	0.194375	8.0	306.94014716148376	-0.50541306
7	55.203285	37.676456	111.983055	6.9345436	134.77777	25.031704	20.38148	80.31032	-4.561108	12800	4.053116e-08	510.61688	-0.010298451	-394.11642	4.5695214	0.018705301	0.1925	7.0	346.91990780830383	-0.5057193
8	48.94377	24.686148	111.279434	9.900468	88.333336	29.570625	16.256847	72.36976	1.745634	14400	2.0414591e-08	474.9139	-0.013951751	-373.04767	4.5140896	0.017746966	0.275	7.0	383.41294407844543	-0.505593
9	57.914654	52.625748	172.39206	8.87802	99.26667	17.365328	9.110807	36.609825	-4.1641946	16000	-5.066395e-09	362.9838	-0.015130316	-311.78735	4.499519	0.015004763	0.22125	8.0	415.5740530490875	-0.5055293
10	52.239628	55.270737	210.13812	2.6724916	94.6875	24.139969	15.183672	56.089165	-3.2058604	17600	1.758337e-08	232.09859	-0.013177169	-189.35135	4.572743	0.023041502	0.26	4.0	449.72679901123047	-0.5053836
11	66.24187	53.61372	220.797	10.687585	119.46154	22.019468	18.872147	78.05573	-10.940405	19200	-1.2218952e-08	247.94598	-0.011303687	-192.51192	4.579855	0.016976306	0.189375	7.0	483.0049226284027	-0.50526345
