Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	74.67947	49.991184	159.42714	11.616046	156.5	0.46706238	0.2369033	0.97473776	-0.13938503	1600	-4.8056243e-08	848.59827	-0.03322634	-497.186	4.588597	0.015153234	0.195625	24.0	60.529152631759644	-0.5005665
1	40.727406	38.408398	163.94266	8.71823	104.73333	17.709951	7.5929565	41.600193	4.966581	3200	4.0233136e-08	262.58762	-0.047344863	-143.99667	4.481239	0.015119782	0.208125	54.0	108.10537123680115	-0.5067871
2	98.03279	75.43026	195.48929	17.48026	223.28572	13.939806	8.396791	32.151196	0.31381238	4800	-1.952052e-08	697.9009	-0.012433359	-504.5752	4.6171584	0.021572327	0.275	5.0	156.50730872154236	-0.5071834
3	73.18278	116.91329	445.11542	5.2046995	126.5	20.294636	13.309083	51.06544	-5.2294507	6400	7.7486035e-09	1625.3397	-0.011153646	-1557.8906	4.5901394	0.021896444	0.254375	6.0	209.04094862937927	-0.5076084
4	92.666435	178.64922	654.6908	10.033555	131.18182	51.08271	53.01496	147.71214	-28.038692	8000	-1.1026859e-08	1396.86	-0.044603	-920.1881	4.613855	0.014702213	0.21875	79.0	265.38837575912476	-0.51104194
5	57.38863	54.685867	191.55363	4.82429	127.916664	23.128574	22.353294	84.67979	-24.88658	9600	1.0579824e-08	387.9889	-0.012435659	-255.22618	4.553837	0.018153163	0.2575	5.0	321.50793862342834	-0.51130384
6	39.943363	30.747612	132.66698	3.8990011	93.52941	20.409613	15.15177	93.059235	-4.438138	11200	-8.34465e-09	402.90485	-0.052387945	-301.06903	4.5584993	0.015338167	0.225625	78.0	375.8438277244568	-0.5160806
7	98.807434	82.22088	253.19481	13.696784	199.5	21.58646	10.654648	54.159805	-4.4027934	12800	-2.2798776e-08	628.7423	-0.032815	-430.9325	4.516184	0.015130787	0.24375	18.0	426.03927850723267	-0.5215537
8	39.41765	28.782486	119.011185	11.335323	97.666664	27.560616	12.041341	61.037632	2.193553	14400	-5.066395e-09	496.31143	-0.010840787	-361.10153	4.434917	0.018749952	0.263125	5.0	473.34911012649536	-0.52290344
9	50.104378	55.39289	194.68544	3.85078	110.64286	31.319975	28.344446	156.50899	-1.8861586	16000	-1.07288365e-08	425.64835	-0.03938252	-318.3651	4.4129667	0.014889224	0.223125	33.0	504.8238697052002	-0.53053075
10	53.637978	64.85579	275.70224	8.703762	113.5	33.30014	19.701742	107.489624	1.7654394	17600	1.9222497e-08	502.61707	-0.047600266	-441.36343	4.447736	0.015090704	0.21875	50.0	543.2971379756927	-0.5399554
