Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	65.595345	53.74251	237.51053	12.040829	74.38095	0.42037567	0.29533863	1.0610325	-0.25319952	1600	3.8072468e-08	1585.251	-0.047164407	-688.2825	4.5885963	0.015499908	0.226875	62.0	54.121702432632446	-0.509151
1	70.35938	62.40414	180.57475	1.473099	76.5	22.699282	9.346465	53.258953	6.9174304	3200	2.9802322e-10	1082.2369	-0.010900882	-271.8164	4.438317	0.017586151	0.25125	4.0	94.19881796836853	-0.51004994
2	84.589745	76.78595	315.7217	5.7317615	91.3125	29.45309	9.326348	64.32493	4.478521	4800	4.172325e-09	1643.3872	-0.015286955	-1234.4473	4.6008434	0.019798035	0.2575	5.0	132.29980945587158	-0.51039374
3	196.58266	97.234	284.53445	33.479935	198.875	48.46967	41.371048	147.15422	-18.098341	6400	7.152557e-09	1561.606	-0.04683442	-996.87195	4.5740876	0.014974904	0.228125	79.0	180.1403615474701	-0.52643234
4	74.75189	81.81081	354.30316	5.285063	93.47059	48.03057	22.057312	119.728386	-3.710976	8000	1.1324882e-08	1497.2806	-0.014393376	-1128.5776	4.519736	0.019763703	0.24	5.0	228.6527395248413	-0.52708405
5	142.10437	167.46931	549.25446	4.403075	133.33333	26.921797	38.539135	186.64253	-11.44337	9600	-1.9371509e-08	3311.587	-0.028006662	-2461.3264	4.4736257	0.015056413	0.19875	16.0	276.6462709903717	-0.5295414
6	110.17213	66.57268	238.83437	20.545399	130.27272	53.48958	32.890285	166.91786	-8.569155	11200	-1.8030406e-08	1409.2372	-0.015588743	-1135.5929	4.467312	0.022698684	0.27875	5.0	317.39389848709106	-0.53043
7	108.50926	145.25812	445.07336	-2.5240889	97.0	32.00614	41.222103	182.80836	-17.071812	12800	3.5017729e-09	5773.64	-0.044005997	-3567.4412	4.4444366	0.01430357	0.199375	79.0	354.65360403060913	-0.5333189
8	240.37334	310.6189	991.5866	35.448917	194.5	42.831806	23.63853	99.03799	1.4259925	14400	3.2782554e-09	6525.712	-0.039457757	-5060.1846	4.3760915	0.015693912	0.199375	32.0	391.59462332725525	-0.53657395
9	83.05149	64.41953	203.67746	-3.815571	84.44444	64.93211	54.05987	211.48883	2.117674	16000	7.599592e-09	3947.6104	-0.027608503	-3150.0532	4.344614	0.016810793	0.24625	15.0	427.7932028770447	-0.5369216
10	94.328224	111.81264	422.3513	1.8707346	103.666664	30.42892	12.429747	57.98164	6.648637	17600	3.144145e-08	1877.0328	-0.013707781	-774.58936	4.4157815	0.016580243	0.213125	5.0	469.1903803348541	-0.537009
11	115.32454	127.542206	386.84564	12.733153	121.30769	34.999863	13.198529	80.01004	8.597015	19200	1.1920929e-09	2132.2744	-0.019173035	-1178.176	4.421728	0.016981438	0.19875	9.0	507.9474627971649	-0.53834546
12	110.14431	132.22969	381.78278	-3.272331	146.2	75.68459	58.5543	220.419	7.2661557	20800	-3.9115546e-09	3283.8538	-0.020227874	-2418.393	4.3722386	0.015201492	0.160625	15.0	547.3591618537903	-0.5378685
13	92.76492	120.125336	476.444	-1.4741889	93.6875	17.591045	46.968655	129.41702	-51.370937	22400	-2.5331974e-09	2682.097	-0.0217634	-1617.07	4.4736934	0.014111097	0.208125	12.0	594.6745307445526	-0.5393326
14	83.6937	77.58279	275.2838	-8.456863	97.75	47.2274	36.980125	158.0163	1.043988	24000	-1.48266555e-08	1760.2449	-0.04250421	-1142.7552	4.383162	0.015299028	0.21	65.0	641.8394455909729	-0.5471064
15	96.34049	119.04022	481.78354	-6.066393	87.611115	40.964867	24.314587	110.980125	-0.9521209	25600	1.1175871e-08	2019.5414	-0.01516978	-1358.1274	4.3769546	0.017003197	0.251875	5.0	685.8655002117157	-0.54796916
16	111.83497	121.12124	413.5099	-2.703978	123.083336	35.93228	35.84952	162.72482	-5.7060537	27200	-1.6316772e-08	3509.3157	-0.0072946423	-2091.728	4.361644	0.015924267	0.245625	4.0	722.5619418621063	-0.5487571
17	110.7805	125.53597	440.48065	0.3489532	116.30769	50.68718	20.653742	105.51158	9.125625	28800	-1.1026859e-08	1405.2996	-0.047312822	-813.55023	4.337314	0.015134527	0.23625	64.0	754.5064706802368	-0.5527335
18	95.94443	89.11099	264.00745	-5.355373	119.38461	60.219738	47.786823	174.19254	-13.371985	30400	-3.5762786e-09	1856.8578	-0.052926958	-1385.0177	4.289961	0.01518524	0.224375	78.0	787.5166234970093	-0.5671076
19	66.73793	69.299706	258.57153	-31.321518	90.0	27.889795	19.461176	83.78133	-10.35493	32000	-2.875924e-08	852.4299	-0.013404891	-283.70898	4.325141	0.01967988	0.24625	4.0	821.8392231464386	-0.5676547
20	90.81885	76.044266	247.60379	5.5552382	96.625	35.173935	27.15441	133.52356	-7.247165	33600	-1.4901161e-10	1420.4598	-0.021005603	-756.9264	4.272683	0.017986808	0.24875	8.0	854.300787448883	-0.5683372
21	103.187706	83.90609	277.58453	-0.10768157	88.72222	38.503178	18.566448	84.16611	-3.6104422	35200	-1.3411045e-08	1166.0327	-0.025974462	-629.3381	4.2524085	0.014602023	0.196875	14.0	886.6364583969116	-0.5671032
22	120.322296	75.65201	300.85373	21.994165	104.0	31.978365	37.55432	144.17499	-59.17616	36800	-2.6822091e-09	1464.1173	-0.017870577	-831.3577	4.24544	0.01683524	0.2075	9.0	917.9441990852356	-0.5661861
