Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	49.403603	77.10368	320.89923	-0.6463754	112.46667	-0.2570722	0.2632277	0.47344628	-1.1445031	2000	6.979704e-08	1266.9751	-0.017096568	-555.0871	6.463244	0.01758382	0.2245	3.0	102.59646511077881	-0.4997355
1	27.90245	24.3324	85.7724	-3.131854	110.94444	23.070826	8.465624	43.899254	3.454506	4000	6.389618e-08	338.7014	-0.014355229	-250.13765	6.3659444	0.018656708	0.259	4.0	182.08574175834656	-0.49934998
2	23.619888	36.41467	172.98985	-3.8036594	71.42857	12.116042	5.0151386	27.62498	1.8014759	6000	-1.9073487e-09	371.90765	-0.01079394	-124.877014	6.4235177	0.018628439	0.238	5.0	263.5105881690979	-0.49896675
3	19.414484	25.981794	98.93084	-4.2494206	70.61539	9.427744	6.2937675	30.158873	-2.0852044	8000	-2.026558e-09	273.16855	-0.050995536	-120.2363	6.4478073	0.01514485	0.22	49.0	350.5723524093628	-0.5019357
4	28.82551	48.982544	225.41371	-0.103491485	93.47619	13.360795	10.149024	37.00013	-7.4525146	10000	-9.536743e-09	286.9598	-0.036953013	-180.3198	6.4501014	0.015668077	0.233	22.0	457.2111554145813	-0.50393015
5	36.871952	41.229378	139.6884	-2.530108	89.27273	16.900084	13.733017	58.49373	-15.417599	12000	-4.2915342e-09	389.90982	-0.042914975	-194.4899	6.3687077	0.015514992	0.233	34.0	568.2312395572662	-0.5059635
6	35.231327	51.312397	179.27354	-0.38966542	110.111115	15.519578	10.863058	38.28498	-14.58466	14000	-1.4781952e-08	333.18185	-0.036028672	-208.34064	6.391044	0.015437376	0.228	21.0	677.8012092113495	-0.5067187
7	24.82308	34.726116	148.61209	-2.1831398	75.30769	22.414991	12.006663	51.890835	-10.344443	16000	2.0861625e-08	377.52747	-0.042423286	-304.64798	6.351515	0.016066413	0.235	23.0	785.8661942481995	-0.5114306
8	19.400948	21.583021	73.85532	-2.0451076	73.18519	12.454334	12.758605	55.322433	-22.871153	18000	-2.1338463e-08	153.84358	-0.013671258	-98.14934	6.3783555	0.016283203	0.1965	4.0	892.4701681137085	-0.5120415
9	33.902065	51.30716	163.88597	-1.5612929	91.28571	9.143242	10.552041	37.41012	-24.005707	20000	1.9967556e-08	339.9165	-0.013766689	-251.61212	6.275866	0.015047072	0.2105	6.0	1001.8338358402252	-0.512911
10	29.662907	55.507927	248.59259	-3.3525648	89.2381	16.608875	13.590858	54.65371	-16.908272	22000	8.314848e-09	324.94836	-0.02182663	-262.8907	6.3651433	0.015635898	0.2045	10.0	1104.9999690055847	-0.5143503
11	34.187016	40.544754	153.30257	-2.2315564	107.411766	19.192476	13.564368	65.43255	-13.494938	24000	-8.5830685e-09	275.91956	-0.010530414	-199.59734	6.3818145	0.018673709	0.251	4.0	1206.0727097988129	-0.51484543
12	28.734528	36.568333	131.55904	-4.6502852	86.63636	17.220762	12.341144	48.503628	-8.709072	26000	2.9802323e-09	224.44678	-0.013411376	-145.12347	6.3446836	0.016130509	0.2125	6.0	1309.6925883293152	-0.5151109
13	30.957382	35.7433	138.00452	-1.4632597	98.75	11.987498	9.308859	34.605633	-16.869413	28000	-2.5629998e-08	147.95538	-0.01005842	-116.22801	6.2733	0.015566033	0.2085	4.0	1405.4933769702911	-0.51520455
14	31.722832	53.067463	234.74088	-4.3525224	83.17391	23.399664	17.941446	71.78811	-14.332448	30000	3.6597253e-08	321.80603	-0.04617105	-253.63737	6.3615904	0.015121894	0.227	43.0	1507.275170326233	-0.5163547
15	33.393497	50.19898	184.401	-2.269604	110.44444	17.221157	15.048376	66.88807	-18.561716	32000	-2.5391579e-08	322.48206	-0.05106953	-244.33449	6.278579	0.015645646	0.238	40.0	1607.1710538864136	-0.52394354
16	22.14655	28.22956	103.64863	-2.5931082	73.38461	14.411515	16.742805	79.7533	-21.75363	34000	1.4841556e-08	261.39423	-0.013672322	-208.85718	6.2762184	0.019123772	0.2505	5.0	1712.418384552002	-0.5247577
17	40.301674	77.452736	285.717	-3.599492	92.45	15.586211	12.256036	45.102863	-9.974718	36000	-4.649162e-08	660.9133	-0.03179616	-518.87537	6.268156	0.016206816	0.22	18.0	1820.507756471634	-0.52747595
