Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	-171.61885	114.47808	-32.86855	-428.64905	157.42857	0.4996413	0.35461435	1.1249349	-0.14089274	1600	-3.2037497e-09	6270.384	-0.021918742	-4141.7563	2.8088086	0.008336454	0.108125	79.0	47.6666362285614	-0.50985056
1	-256.78186	85.40831	-118.88274	-399.29895	199.5	-53.98765	19.054111	-22.539263	-108.787766	3200	-3.6209823e-08	3034.9966	-0.025027685	-1056.79	2.7604163	0.011274283	0.16	79.0	92.18620109558105	-0.5199178
2	-247.66235	151.12593	-38.53757	-508.65125	263.0	-65.675804	24.177279	-26.549858	-122.70698	4800	-7.972122e-09	2217.9277	-0.023969108	-467.69543	2.6679034	0.011508393	0.131875	79.0	139.92783951759338	-0.5344413
3	-212.68091	94.84414	-111.845985	-424.72794	190.0	-77.94781	24.81904	-36.187725	-121.6434	6400	-2.0861626e-09	1826.8113	-0.019252459	-705.074	2.6134527	0.010542762	0.135625	79.0	178.77039194107056	-0.5601654
4	-234.52219	127.45978	-1.3122436	-448.60098	194.375	-77.25131	20.681406	-51.256298	-147.53532	8000	-3.233552e-08	2102.142	-0.02121667	-1313.49	2.5489717	0.009548006	0.1325	79.0	217.76586890220642	-0.5693826
5	-190.33765	109.930336	-45.61001	-309.25037	205.42857	-92.79876	27.769875	-25.33821	-132.86508	9600	9.834767e-09	2910.451	-0.021781335	-2115.6182	2.5433013	0.00884314	0.128125	79.0	258.1126072406769	-0.57978934
6	-195.27563	153.517	-0.8634853	-436.95923	182.875	-61.707165	20.075455	-14.785434	-102.33512	11200	1.9446015e-08	1106.4314	-0.018240687	-406.05273	2.543757	0.00893155	0.106875	79.0	299.6359775066376	-0.58686334
7	-176.99728	98.391624	-67.710014	-360.50906	299.6	-70.97199	25.87647	-11.827782	-137.64304	12800	-2.7567149e-08	3504.2898	-0.022601552	-1420.5935	2.47724	0.011574945	0.155625	79.0	342.4729425907135	-0.59762096
8	-243.99702	118.222145	-93.43077	-401.03793	222.0	-46.116364	18.658186	-15.360425	-83.41744	14400	-4.172325e-08	1792.3253	-0.02088936	-908.40906	2.4270124	0.009786507	0.13875	79.0	383.66029810905457	-0.5992101
9	-292.98755	187.70647	-97.25642	-638.8185	261.5	-73.00129	11.256155	-35.94141	-100.136215	16000	-4.8279762e-08	2055.008	-0.022553096	-1212.5288	2.4580033	0.011220678	0.156875	79.0	422.9232385158539	-0.60728025
10	-333.51422	95.63907	-186.02968	-443.25986	399.5	-71.26597	28.539482	19.492773	-126.98516	17600	-1.654029e-08	1652.6235	-0.020306433	-1188.1439	2.387525	0.009682845	0.1325	79.0	463.81094694137573	-0.6121482
11	-290.27893	124.486465	-123.79102	-462.0629	299.6	-69.63369	22.792746	-9.699776	-117.73861	19200	1.065433e-08	769.61993	-0.022427185	-329.14612	2.4676714	0.012907624	0.18125	79.0	501.6326837539673	-0.63180965
12	-183.11853	81.39892	-56.037186	-287.80264	254.66667	-85.25188	33.724052	-23.831362	-175.98291	20800	-2.8312206e-09	3726.6018	-0.021922106	-2780.519	2.3645263	0.008281364	0.113125	79.0	537.1155941486359	-0.6257233
13	-308.84775	63.651047	-238.67986	-407.62692	372.5	-50.644077	34.560715	44.603317	-96.850525	22400	-3.144145e-08	1264.6399	-0.022461822	-925.001	2.408	0.011848451	0.15875	79.0	572.6679418087006	-0.6310127
14	-178.22656	23.60371	-155.13011	-216.26263	236.5	-65.58273	30.038336	20.185371	-167.60953	24000	3.799796e-09	3128.8496	-0.020402845	-1620.9471	2.3623679	0.011169691	0.17125	79.0	608.8980436325073	-0.6279759
15	-282.01566	122.15764	-151.28668	-476.45285	305.0	-36.838383	20.9491	-6.297366	-84.35435	25600	5.9604646e-09	2211.2246	-0.02554239	-1309.8678	2.403345	0.013119028	0.179375	79.0	644.4731547832489	-0.64764804
16	-196.48296	74.171005	-91.870674	-291.70172	202.83333	-71.82172	24.39832	-31.975025	-166.21007	27200	-9.536743e-09	1618.327	-0.019553319	-779.2689	2.318491	0.009717695	0.126875	79.0	680.0451288223267	-0.6599629
17	-166.94478	71.81265	-46.82705	-265.18118	163.66667	-67.06308	41.356438	-16.559612	-150.8792	28800	-2.9802323e-09	2516.379	-0.017028872	-1377.8988	2.2598221	0.014323581	0.205	17.0	714.9583044052124	-0.66344744
18	-283.84854	107.25523	-164.5137	-445.54202	302.6	-51.62031	9.642329	-33.89828	-73.70473	30400	-1.4901161e-10	920.9483	-0.024590397	-507.29196	2.3055234	0.010868017	0.145625	79.0	749.5683791637421	-0.66914123
19	-82.07136	54.796215	-22.249321	-154.64302	316.66666	-59.863506	15.305226	-21.155876	-116.317635	32000	-3.3825636e-08	2891.3938	-0.020422153	-1477.2124	2.250755	0.009735794	0.13625	79.0	783.7128350734711	-0.67600894
20	-435.38586	176.30922	-202.43988	-628.86237	513.3333	-43.123165	26.111607	19.397472	-99.77827	33600	-1.31875275e-08	2111.5127	-0.024455491	-1398.7471	2.2129536	0.010981839	0.155625	79.0	817.861466884613	-0.6909299
21	-281.26413	124.37956	-130.56848	-457.7013	238.8	-56.375988	18.17488	-26.708132	-121.402145	35200	2.8684735e-09	5937.4277	-0.021793898	-3853.439	2.1800609	0.012759257	0.175	79.0	851.7327787876129	-0.7043945
22	-209.71767	166.68147	-39.733086	-480.30197	257.25	-22.937883	64.294334	132.50865	-125.186806	36800	-4.708767e-08	5112.255	-0.02417026	-4459.4907	2.167707	0.009545181	0.14125	79.0	885.6094324588776	-0.70216656
23	-275.33502	136.15685	-87.690384	-443.02118	374.0	-67.0799	31.492653	-15.339657	-121.51984	38400	4.3958424e-09	1516.0652	-0.022238761	-796.3312	2.142834	0.010500059	0.13375	79.0	919.4136486053467	-0.7066226
24	-305.025	142.80338	-122.61864	-471.2958	462.33334	-58.359745	11.8799715	-29.125687	-76.03069	40000	4.3585895e-09	1660.0195	-0.018538896	-903.9222	2.1674726	0.008895295	0.1175	79.0	953.2194464206696	-0.7067929
25	-90.31727	254.48671	241.82793	-376.41028	495.66666	-74.11255	23.594826	-26.44737	-130.73018	41600	-2.0060689e-08	11319.33	-0.014571275	-6631.526	2.1811385	0.0077576316	0.084375	79.0	986.9654340744019	-0.7170865
26	-265.27036	151.36533	-119.6549	-473.9615	379.0	-34.46528	30.525036	11.823669	-114.51284	43200	1.2740493e-08	1871.7418	-0.02418443	-1380.1306	2.060308	0.011573156	0.143125	79.0	1020.6483092308044	-0.7491053
27	-163.1411	51.46847	-94.50883	-247.39415	237.5	-57.0733	41.05792	16.940245	-172.97589	44800	-1.4305114e-08	2660.9841	-0.029793076	-1976.0767	1.9984765	0.011227562	0.161875	79.0	1054.3996164798737	-0.75881785
28	-215.36166	117.93588	-72.52259	-375.6068	176.2	-23.76623	47.57161	81.516075	-139.76657	46400	-3.1664968e-09	2499.0908	-0.032738302	-2066.3838	1.9573752	0.0129902335	0.186875	79.0	1087.9758472442627	-0.7787316
