Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	-10.005951	9.887244	11.693627	-33.84836	65.75	0.02319664	0.36637056	0.7622973	-0.97673965	1600	-9.179115e-08	67.12133	-0.038870078	-44.625557	6.4729834	0.015450098	0.21375	15.0	76.87838363647461	-0.50038064
1	-7.8050523	13.009787	37.82993	-27.992353	71.90476	-6.1939373	2.9750235	-1.0685527	-14.040913	3200	-2.8312206e-08	55.359615	-0.052108034	-21.545631	6.437799	0.015478776	0.22125	36.0	144.0892825126648	-0.5017596
2	-14.0714855	11.05686	2.6501913	-38.4969	68.434784	-6.330033	4.089062	1.8923686	-16.261461	4800	-3.5762786e-09	40.89927	-0.017452946	-18.322704	6.509531	0.015648613	0.224375	4.0	197.8318386077881	-0.50207955
3	-7.867687	12.599887	42.786983	-24.15083	62.625	-5.963241	3.107227	-0.23844193	-15.680744	6400	-2.4735927e-08	133.63722	-0.015373186	-112.24576	6.5411544	0.017497284	0.23	7.0	253.59597826004028	-0.5019949
4	-4.436188	27.262444	122.86733	-39.397415	59.73077	-0.866299	13.102534	34.79084	-40.30231	8000	-1.013279e-08	171.00998	-0.037880138	-129.63011	6.324674	0.0151517745	0.199375	25.0	308.1508619785309	-0.50327533
5	-8.723318	9.603424	20.510553	-32.787285	60.03846	-3.7489533	9.492572	35.032604	-25.673967	9600	7.897615e-09	99.606	-0.05684915	-80.50903	6.395587	0.015331731	0.24375	56.0	363.417964220047	-0.50924
6	-8.657345	8.99277	11.315579	-25.635761	80.42105	-4.633893	3.521034	8.120456	-14.304869	11200	-7.897615e-09	35.608208	-0.035811443	-14.501221	6.3773994	0.016234638	0.2375	17.0	417.5766921043396	-0.51027876
7	-11.165138	13.172029	24.611559	-42.876472	58.958332	-4.667237	4.7203646	10.672133	-21.237198	12800	-5.662441e-09	64.6959	-0.013807223	-36.335	6.2973027	0.016504921	0.204375	5.0	472.13673424720764	-0.510867
8	-9.046432	13.114998	39.28655	-31.534939	56.88889	-5.6020494	5.748071	9.148915	-19.603775	14400	-5.9604643e-10	35.8293	-0.009921265	-22.983734	6.407952	0.019538295	0.261875	4.0	526.5792346000671	-0.51133424
9	-12.589172	10.891047	10.79992	-34.05843	62.24	-5.508837	4.0013723	9.626793	-18.775898	16000	1.013279e-08	31.138208	-0.014738546	-18.839561	6.2858953	0.021034852	0.263125	4.0	581.0996606349945	-0.5120078
10	-7.569106	24.437517	43.878082	-54.968784	98.9375	-6.703424	4.1605754	5.613542	-20.179298	17600	2.0116568e-09	111.491486	-0.013377788	-78.540276	6.357086	0.017449789	0.2275	6.0	635.5492005348206	-0.51307803
11	-10.371323	26.948406	86.95032	-44.075813	98.0	-11.592572	8.383606	13.521543	-33.352757	19200	-5.684793e-08	141.73761	-0.01271731	-120.10075	6.389654	0.017698541	0.245625	5.0	689.437046289444	-0.5136947
12	-9.887535	20.546951	71.75343	-50.83888	66.416664	2.0515716	18.723545	59.236183	-25.99508	20800	3.799796e-08	303.89127	-0.04104539	-269.24252	6.319253	0.0154816555	0.23	25.0	744.3712043762207	-0.5159326
13	-5.7449775	20.523766	48.82498	-37.03951	111.69231	-4.8691044	5.8450437	22.607674	-23.115294	22400	2.5629998e-08	99.46147	-0.015447097	-77.20456	6.335348	0.015648277	0.193125	7.0	798.113171339035	-0.51645935
14	-12.075339	11.156577	10.935276	-37.45094	81.05556	-4.7349257	6.4682074	8.740934	-21.39101	24000	-2.0116568e-08	69.26281	-0.014641166	-44.214985	6.341282	0.020053213	0.26	4.0	852.3834536075592	-0.51692784
15	-10.811305	8.182541	5.519416	-38.73779	66.521736	-5.4179616	5.797884	19.114302	-18.62851	25600	1.8626451e-08	59.692696	-0.010311205	-44.924202	6.370039	0.021222295	0.275	4.0	906.8163447380066	-0.5175561
16	-11.301984	16.711102	36.722836	-57.391052	78.6	-6.583187	2.6388118	1.0331374	-14.806999	27200	-4.172325e-09	90.93105	-0.01427336	-65.443535	6.2810125	0.01895786	0.25375	5.0	960.8039019107819	-0.518543
17	4.1303267	58.820347	273.66968	-50.24038	68.13043	-5.027336	6.836726	19.802904	-17.249939	28800	2.1979212e-09	928.7603	-0.008626433	-889.68866	6.3094044	0.018206399	0.213125	5.0	1015.7747159004211	-0.51933
18	-10.185673	8.825201	1.5151972	-32.044067	59.88	-5.709508	7.763725	44.441673	-20.38388	30400	1.9222497e-08	68.43817	-0.025507946	-50.09755	6.2877417	0.014953058	0.219375	14.0	1070.8899958133698	-0.5221761
19	-9.28602	10.428516	15.550727	-36.27756	68.95652	-7.362089	6.1774487	34.133694	-21.328829	32000	5.066395e-09	37.887375	-0.013730969	-29.508987	6.3295684	0.020477088	0.27625	5.0	1125.4501769542694	-0.523075
20	-11.3968	17.74266	27.417051	-51.085968	65.304344	-5.2916765	4.308499	40.848362	-13.350083	33600	-4.634261e-08	64.59804	-0.04733487	-42.749763	6.2939053	0.015509749	0.22875	26.0	1180.2701570987701	-0.5283951
21	-3.657214	23.516167	62.150215	-40.364605	86.882355	-3.1058745	7.6124744	67.604614	-15.058941	35200	-9.23872e-09	122.69773	-0.012314218	-87.586136	6.1650963	0.022961002	0.298125	4.0	1234.3140857219696	-0.52914727
22	-11.925313	15.066617	27.350605	-52.834076	80.789474	-2.7166572	7.581553	29.525726	-22.960852	36800	-3.7252904e-10	110.37168	-0.011041647	-90.679436	6.2522492	0.023102408	0.27625	4.0	1288.1243660449982	-0.5298646
23	-9.713777	15.828425	27.59207	-50.3665	73.52381	-5.2333245	12.134114	78.509865	-27.77191	38400	-9.685754e-09	163.34583	-0.022004073	-139.8983	6.1885533	0.015981244	0.2125	12.0	1342.3973624706268	-0.5313912
24	-11.942392	9.454343	1.9376608	-36.529427	55.068966	-5.7896633	5.017524	13.4525385	-27.651842	40000	-1.8328429e-08	42.515026	-0.037908368	-28.499985	6.251097	0.017417254	0.235	15.0	1396.6680953502655	-0.53338057
25	-9.264322	9.87622	20.150341	-26.783161	63.12	-4.8945837	4.9076085	26.286428	-18.151737	41600	-2.5331975e-08	30.07672	-0.018579522	-13.812841	6.1409287	0.015301144	0.219375	6.0	1450.9207694530487	-0.5340162
26	-8.060708	10.744809	9.877671	-33.23294	58.148148	-5.328585	3.1013892	3.0460463	-14.079074	43200	-4.4703485e-09	22.427624	-0.015780387	-10.147842	6.0983973	0.021996649	0.27	4.0	1505.8808963298798	-0.5344982
27	-7.5218215	10.277955	29.095448	-24.50952	49.793102	-4.9417453	3.0517173	3.362847	-14.468146	44800	-3.606081e-08	29.942032	-0.011621402	-16.728556	6.173595	0.015581519	0.198125	5.0	1560.8506209850311	-0.5348729
28	-11.124984	10.360737	18.024244	-33.91736	67.82609	-4.244467	4.7821345	18.968994	-13.7035	46400	1.3262033e-08	28.388515	-0.011506891	-17.631798	6.148837	0.016228812	0.216875	5.0	1615.6697776317596	-0.5355335
29	1.4877154	26.893658	105.50814	-20.031656	75.57143	-4.016921	5.2853804	24.848753	-15.218579	48000	-2.2426248e-08	196.73505	-0.01577465	-155.53705	6.1832414	0.019315667	0.263125	7.0	1670.1809296607971	-0.5368101
