Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	-6.8317423	16.197731	26.142162	-44.11621	81.26316	0.1547005	0.23303936	0.99954367	-0.24129437	1600	-6.0349703e-09	100.76204	-0.05047058	-51.51237	6.423257	0.015385463	0.22125	25.0	81.39323830604553	-0.49920815
1	-15.354398	18.694187	-3.6721065	-88.66451	79.55	-4.722308	5.168417	6.315369	-14.328473	3200	1.4305114e-08	112.75083	-0.015103844	-82.96215	6.435472	0.015108619	0.224375	4.0	163.66779780387878	-0.49938437
2	-7.1197896	16.804836	40.882877	-32.658237	79.63158	-7.761714	4.382016	0.07399509	-19.899391	4800	2.9206277e-08	68.36472	-0.013133849	-33.069714	6.4603786	0.014470037	0.21125	5.0	233.47021961212158	-0.49934945
3	4.7177386	47.725876	185.77899	-34.034893	95.0	-4.327787	3.049757	3.6526737	-14.810638	6400	-4.0978193e-10	379.89532	-0.013351362	-326.26797	6.5028777	0.01909051	0.245	7.0	296.484578371048	-0.49927476
4	-18.886005	16.985157	17.70966	-62.31881	83.875	-9.929929	13.885334	48.290237	-29.019094	8000	-2.2351743e-09	197.21414	-0.011596239	-157.61497	6.4239345	0.022108404	0.29375	4.0	352.7714307308197	-0.49952203
5	-8.364353	10.383842	27.124622	-26.520832	78.26316	-7.303009	8.757158	35.2736	-23.210064	9600	-2.0079314e-08	128.1074	-0.016521022	-105.38858	6.4876733	0.015163376	0.195	7.0	405.85221672058105	-0.5006656
6	-1.7661072	24.707338	68.3932	-37.787693	100.13333	-0.89990973	4.633206	21.689669	-13.460285	11200	-1.4603138e-08	104.94245	-0.018365765	-55.888058	6.3226085	0.01749159	0.235	7.0	457.2133934497833	-0.50178105
7	-7.825291	24.5986	86.7402	-35.986744	87.72222	-7.5768676	7.1764045	39.528503	-24.97889	12800	-4.61936e-09	135.45454	-0.012125986	-100.380356	6.3357744	0.020187737	0.19625	5.0	509.56052684783936	-0.50236624
8	-10.419442	19.028904	31.285307	-38.820435	132.45454	-3.7997935	4.5416727	22.07247	-14.203527	14400	-1.013279e-08	123.50845	-0.016109422	-58.74552	6.35137	0.018727534	0.2625	6.0	561.5018031597137	-0.5035233
9	-13.560056	20.486324	27.999336	-61.717236	108.92857	2.4550438	13.39738	53.41143	-22.709213	16000	-2.2500753e-08	247.60614	-0.069080524	-190.68808	6.3835454	0.015299227	0.255625	78.0	614.0313808917999	-0.50740516
10	-14.663499	19.017317	9.122541	-65.27934	110.666664	-0.26170594	10.897806	38.106373	-15.670386	17600	-2.0861626e-09	202.8471	-0.015436076	-155.03072	6.4874854	0.019755594	0.250625	5.0	665.9995350837708	-0.5075774
11	-6.529591	28.520824	72.40076	-76.27011	84.82353	-1.8262475	14.416554	47.52736	-27.063658	19200	-2.026558e-08	132.27902	-0.04421363	-73.8506	6.3311586	0.015368586	0.22375	33.0	718.1245758533478	-0.51066583
12	-2.501481	22.856289	50.382164	-36.83657	93.117645	-5.382904	7.671985	30.208714	-16.392439	20800	1.7434358e-08	77.86034	-0.0177564	-46.628586	6.359822	0.019548588	0.26625	7.0	770.2842044830322	-0.5113491
13	-9.127683	8.139208	7.9343696	-23.523983	72.72727	-4.872434	6.966922	30.292805	-18.434086	22400	-2.9802322e-10	89.880135	-0.026564699	-60.486816	6.371733	0.017323786	0.2375	13.0	822.9477732181549	-0.5138349
14	-16.275656	9.05245	-2.0920877	-30.292704	79.2	-7.157179	2.427171	-1.5378801	-14.967059	24000	4.7683715e-09	30.864876	-0.01857447	-10.712994	6.29064	0.015884832	0.1975	5.0	875.2160918712616	-0.5154671
15	-6.0500298	21.332106	68.72225	-28.277554	93.875	-6.3889523	2.8811	-2.229432	-16.81741	25600	-4.4703483e-10	117.24065	-0.017783536	-72.14674	6.3367305	0.017799782	0.205625	7.0	927.4369151592255	-0.5173514
16	-12.073814	10.636148	14.591475	-28.982098	75.42857	-5.443671	3.5128953	5.708814	-18.703651	27200	2.7418137e-08	44.015392	-0.033960182	-20.209997	6.305703	0.015920348	0.22	16.0	979.7393445968628	-0.52026796
17	-9.482332	14.756635	32.827892	-30.287254	102.53333	-6.7181654	4.7342086	20.72268	-16.255816	28800	-4.7683715e-09	51.383034	-0.035976417	-30.937634	6.269287	0.01552422	0.22375	19.0	1031.9639477729797	-0.52237815
18	-4.546528	20.968159	84.81859	-31.186464	75.333336	-4.1840363	5.256714	15.071692	-13.391291	30400	5.066395e-09	166.76447	-0.013124078	-138.1455	6.31667	0.019833256	0.24	6.0	1084.2807023525238	-0.52258635
19	-5.59232	36.96138	133.93102	-46.01114	92.411766	-1.4018619	9.508766	52.9256	-15.249565	32000	4.7683715e-09	190.12132	-0.016763626	-143.14488	6.25651	0.015673159	0.224375	6.0	1136.284150838852	-0.52257645
20	4.41414	30.720034	94.259315	-19.457285	105.666664	-0.58853424	8.596702	35.860397	-23.466108	33600	-1.1324882e-08	188.06848	-0.011430607	-134.91919	6.2862096	0.01886076	0.245	4.0	1189.2330300807953	-0.52302235
21	-0.7849674	23.77605	53.75129	-33.341293	124.25	6.600442	12.031205	48.992992	-16.22178	35200	1.9371509e-09	246.19537	-0.04940638	-197.15903	6.162881	0.015239474	0.235625	46.0	1242.0660195350647	-0.5268909
22	-4.0893455	18.362156	61.615444	-39.80809	73.809525	2.7214043	7.1937256	17.663698	-14.242807	36800	-2.4139881e-08	106.86828	-0.018209014	-82.03924	6.2783995	0.017832458	0.214375	5.0	1294.7253952026367	-0.527279
23	-5.524855	12.5630455	43.37325	-26.393269	65.041664	-3.1795297	5.1240406	14.173959	-18.276192	38400	8.493662e-09	43.256485	-0.015708752	-22.060434	6.2934203	0.014755323	0.20375	5.0	1347.0943570137024	-0.5276509
24	9.044187	67.64359	267.35443	-38.15339	92.0	0.14581065	8.07994	35.62983	-13.630839	40000	1.3113022e-08	688.3861	-0.0083365515	-612.8262	6.24588	0.019022606	0.2175	5.0	1399.1762206554413	-0.52746147
25	12.36988	23.860352	74.12718	-8.057809	135.63637	0.10639267	7.018493	36.942856	-16.707853	41600	-2.5108456e-08	130.46765	-0.029991517	-94.48399	6.2897105	0.014960608	0.21125	18.0	1450.8624675273895	-0.52946746
26	-1.5812343	13.848346	46.42392	-17.477594	71.454544	-0.20421387	14.459527	70.09225	-30.265882	43200	-9.685754e-09	189.8416	-0.015033648	-161.59286	6.282078	0.017007515	0.21625	6.0	1503.3867399692535	-0.5305658
27	-8.726394	13.974345	16.415812	-54.51127	72.22727	-2.8920095	4.2454047	11.750953	-15.488076	44800	2.324581e-08	59.5663	-0.054136146	-34.91243	6.308385	0.015347021	0.2475	37.0	1556.1909799575806	-0.5347827
28	-6.1977873	9.562119	18.258492	-24.317062	71.954544	-3.5892022	5.0649333	11.273596	-17.52041	46400	-3.3527612e-09	57.529278	-0.014137578	-34.86493	6.1744566	0.01518923	0.210625	4.0	1608.3280580043793	-0.53537595
29	-1.9617646	20.82031	47.502068	-49.04369	99.666664	-3.2229497	4.623617	9.618078	-16.991503	48000	-1.5050173e-08	61.765194	-0.014497692	-41.06667	6.19358	0.026010508	0.296875	4.0	1660.3251404762268	-0.53598416
30	-9.125933	11.3306675	11.464151	-40.23696	62.47619	-3.069108	7.2897773	38.290295	-18.810898	49600	-2.6524066e-08	56.60084	-0.009272893	-32.46307	6.270471	0.020607581	0.268125	4.0	1713.532422542572	-0.53634125
31	-1.1160598	15.265112	48.461884	-16.880056	79.8	-0.22443092	6.3525143	21.163462	-17.350107	51200	-2.503395e-08	50.268917	-0.04033531	-33.911682	6.172512	0.015995441	0.236875	22.0	1766.288821220398	-0.53832954
32	-9.504516	11.846923	11.63458	-38.096756	70.27273	-5.0472865	5.3803473	4.710248	-22.358734	52800	-8.046627e-09	59.914135	-0.014405838	-38.658943	6.120928	0.018735042	0.2125	4.0	1819.2420403957367	-0.538942
33	15.319223	71.61231	179.72092	-82.67058	190.125	1.7872581	9.671233	42.77439	-14.401652	54400	9.685754e-09	263.84183	-0.017214015	-235.09073	6.197699	0.016742118	0.194375	5.0	1871.2290790081024	-0.5396618
34	0.7676021	21.673761	84.473495	-18.86697	70.190475	-2.0671613	13.790561	46.66698	-36.543495	56000	1.6130507e-08	160.39119	-0.010398041	-143.78664	6.215073	0.017442383	0.216875	5.0	1923.6440501213074	-0.540515
35	-7.7406287	9.032379	8.67144	-25.857044	83.0	0.032470778	6.2223644	29.950584	-13.39226	57600	1.3262033e-08	87.300644	-0.015706006	-63.190666	6.1262755	0.0146700265	0.213125	7.0	1975.0915043354034	-0.5416897
36	-7.0407386	17.869953	66.30126	-42.866707	65.583336	-3.588508	5.462123	32.65939	-18.842228	59200	-2.6822091e-09	65.83376	-0.011003382	-46.12211	6.127646	0.028982596	0.35	4.0	2027.556274175644	-0.54233634
37	-5.877443	19.002579	45.357662	-38.574265	83.052635	-3.959723	5.6264505	16.23242	-15.035851	60800	1.3038516e-08	69.68995	-0.01639362	-40.967495	6.1537805	0.016249161	0.208125	7.0	2080.2397367954254	-0.5436255
38	-0.46646023	33.152134	131.34483	-25.3158	76.27778	-0.65619445	6.3935046	45.46443	-18.70445	62400	3.2782555e-08	131.93912	-0.010398826	-111.918335	6.170436	0.0219105	0.2875	4.0	2132.280872821808	-0.54392046
39	-11.464135	16.185284	30.717566	-35.595345	97.8125	-1.3071618	13.445292	72.60446	-22.114326	64000	-4.5597552e-08	164.80136	-0.037909213	-148.63394	6.129502	0.015600119	0.2175	20.0	2184.256062746048	-0.5457138
40	-4.9689727	20.130783	66.54635	-34.671345	80.210526	-3.6969972	4.603237	17.24878	-17.80005	65600	1.2218952e-08	89.34953	-0.020749392	-66.065	6.1381907	0.015229013	0.189375	7.0	2236.527462244034	-0.54709285
41	-2.5447123	31.873888	103.91601	-57.172886	93.23529	0.031762697	9.239759	36.03586	-16.547213	67200	-2.6822091e-09	99.288795	-0.025595095	-78.520424	6.097827	0.016772892	0.215625	11.0	2288.4110901355743	-0.54909706
42	0.09176699	15.142706	38.499565	-15.257892	76.0	4.8516245	17.156178	87.30773	-16.587093	68800	1.9371509e-09	221.56454	-0.04515903	-196.17825	6.0955143	0.0150998775	0.2225	38.0	2341.363473892212	-0.5554334
43	8.225783	31.401917	82.28663	-29.248407	92.2	-1.3833008	5.5477004	37.417793	-10.945981	70400	2.592802e-08	118.211	-0.018879684	-94.28496	6.019303	0.016592454	0.169375	8.0	2393.2243909835815	-0.55731684
44	-4.9446583	12.373726	15.799009	-40.898933	75.95238	-2.9143543	6.4272084	34.28352	-15.431591	72000	1.3783574e-08	48.453964	-0.015952261	-24.61788	6.0180736	0.013719172	0.1875	5.0	2445.82732462883	-0.55850405
45	-3.7038484	21.002642	66.30124	-50.47599	75.90476	-2.5789435	8.468517	33.66556	-19.566504	73600	2.6077032e-09	84.44014	-0.013785813	-53.152626	6.0947156	0.016164977	0.21125	5.0	2497.8423364162445	-0.55916446
46	7.776153	44.414806	116.57622	-38.861145	191.25	-2.2958002	3.5956857	10.366236	-11.577719	75200	-4.582107e-08	146.90259	-0.02656469	-128.1889	6.0952635	0.017751858	0.205	11.0	2549.5803411006927	-0.559977
47	-3.728656	18.134367	34.17428	-37.43227	81.73684	3.3909054	11.951912	37.44473	-22.768711	76800	3.33786e-08	142.20113	-0.020494036	-120.28141	6.0475535	0.019265367	0.2275	6.0	2601.6699271202087	-0.5604946
48	-6.5449347	20.950016	47.816624	-45.629913	115.666664	-1.0137199	8.363222	42.635857	-14.183362	78400	-4.0233136e-08	95.573944	-0.015847363	-75.304794	6.046761	0.01676028	0.208125	4.0	2654.6298654079437	-0.5606205
49	-4.0086203	9.64881	16.074646	-16.892916	70.59091	-2.416092	9.204703	28.242037	-21.510025	80000	-1.07288365e-08	68.59264	-0.015439602	-56.755074	5.955627	0.017716745	0.234375	5.0	2707.6873943805695	-0.56085575
50	-7.283436	11.375747	10.918122	-36.32042	85.05882	-1.6541486	6.7030478	23.48436	-13.497095	81600	4.7385694e-08	63.805668	-0.0118521415	-48.78038	6.0802617	0.021709155	0.299375	4.0	2760.528354883194	-0.56128484
51	-5.1818185	8.81176	9.532958	-21.125957	80.57895	0.57691133	7.363258	38.79128	-13.634645	83200	3.2559036e-08	71.02872	-0.014589199	-54.686974	5.9622035	0.023233626	0.24375	4.0	2812.744947910309	-0.5616556
52	3.8422256	30.599745	122.9203	-24.62026	79.75	0.17909493	7.5339932	31.228868	-12.050687	84800	-9.611249e-09	250.96721	-0.016837109	-226.76163	6.032311	0.018553725	0.236875	8.0	2865.120043039322	-0.5618711
53	10.507301	56.476917	207.69977	-31.987734	109.14286	8.863328	20.002121	71.23582	-14.869835	86400	2.2426248e-08	263.06964	-0.025610616	-237.81213	6.0761933	0.01578153	0.229375	13.0	2916.905927181244	-0.56314284
54	-2.1197212	14.427611	32.154556	-23.19896	93.117645	-0.23275551	12.1433325	77.17195	-20.4284	88000	-2.4437904e-08	124.00426	-0.057989743	-105.35119	5.8671556	0.015135351	0.25625	66.0	2969.8269765377045	-0.5712282
55	11.610131	36.43935	93.99208	-20.755774	119.0	0.7938202	6.7845445	37.017776	-18.542059	89600	-6.8545343e-09	155.09044	-0.023926126	-125.63137	5.9302673	0.016397579	0.205	8.0	3019.092517375946	-0.57150924
56	3.7317588	19.741531	65.45023	-12.721993	94.75	2.1884928	8.293982	33.56887	-15.26117	91200	1.3411046e-09	61.68957	-0.013802214	-42.710007	5.9295526	0.025669865	0.295	4.0	3068.562017917633	-0.5717966
57	-1.7980334	13.309892	20.641459	-20.47968	118.61539	0.4248208	4.8557644	35.59669	-9.739194	92800	-3.002584e-08	43.488914	-0.010882291	-28.544432	5.9643273	0.0221104	0.281875	4.0	3117.639615535736	-0.5721807
58	19.09911	41.544292	103.62777	-14.199458	158.3	2.5050998	6.0441623	21.60113	-9.123197	94400	-2.30968e-09	216.99178	-0.0107407225	-197.17351	5.878439	0.016719535	0.228125	7.0	3166.5070707798004	-0.57223374
