Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	33.149734	38.181633	146.78275	-1.4286044	94.05882	0.14985438	0.3361728	0.8460578	-0.8138791	1600	-1.9371509e-08	477.79678	-0.016688582	-206.25378	6.407578	0.015910236	0.22	2.0	74.63608074188232	-0.50017005
1	32.405148	41.920643	176.1165	-1.8510449	89.117645	13.012259	5.9249597	31.209484	3.9018745	3200	-1.847744e-08	331.4335	-0.020124454	-149.63828	6.3984766	0.015244457	0.17	6.0	144.2787413597107	-0.50022256
2	28.765884	30.195967	131.83264	0.9195011	67.434784	10.670838	6.697256	31.298527	-3.712952	4800	1.0430813e-08	265.9754	-0.049937706	-157.60173	6.389672	0.015609777	0.24125	37.0	221.8523690700531	-0.49847135
3	37.94936	28.831285	95.61126	2.327879	91.76471	10.692898	7.17067	27.395788	-6.970547	6400	1.6987324e-08	212.91637	-0.014131751	-90.91137	6.4446454	0.016298821	0.23	4.0	298.4537842273712	-0.49839917
4	18.153732	16.072996	47.116234	-4.9880095	61.173912	13.767986	7.338637	42.74496	-10.60792	8000	-9.685754e-10	142.78098	-0.010622874	-100.205444	6.4942846	0.01750276	0.2425	5.0	377.0629687309265	-0.49860018
5	24.496714	28.096025	110.28375	2.5919366	92.64706	9.28601	11.488501	38.99286	-6.814743	9600	3.3527613e-08	112.15541	-0.012389298	-89.88226	6.507396	0.014739442	0.2125	5.0	454.7881610393524	-0.49921483
6	24.492037	32.829433	115.43307	-2.3153484	71.0	7.0250206	5.650406	23.478092	-5.9169354	11200	-9.685754e-10	230.93665	-0.015861368	-184.49585	6.392312	0.018322391	0.23	5.0	517.5720763206482	-0.49984512
7	30.089085	25.479298	72.187706	-0.4242495	70.57143	16.466497	10.531644	48.083828	-11.64203	12800	-2.2649765e-08	129.01202	-0.04477618	-93.06546	6.458126	0.015778972	0.229375	27.0	578.808019399643	-0.50035614
8	31.708147	25.527287	76.55456	2.4111753	93.0	12.810835	11.451445	45.83837	-12.3105	14400	1.0579824e-08	199.45108	-0.046713263	-171.42957	6.4226985	0.015411785	0.225625	37.0	657.4550077915192	-0.50066155
9	16.365509	15.282562	55.75672	0.8992223	75.1	9.956103	12.412004	41.53199	-10.97586	16000	3.5762786e-09	115.78869	-0.02059758	-102.519035	6.4340086	0.016281696	0.234375	5.0	735.6868181228638	-0.5003799
10	27.749338	29.24049	125.72356	-1.5500805	78.57895	10.86784	10.833543	36.01203	-13.5458765	17600	1.3113022e-08	92.373985	-0.013332521	-66.88749	6.41874	0.019520648	0.234375	5.0	814.3851580619812	-0.50027555
11	32.730896	56.733643	253.31177	-0.7222567	82.44444	17.264925	14.346721	54.759235	-10.627362	19200	-3.5762786e-09	287.73215	-0.0099533275	-268.04636	6.345381	0.028602432	0.280625	3.0	892.6431801319122	-0.50005037
12	33.075817	48.594524	218.8752	0.51721185	80.166664	15.567497	19.983395	91.49592	-10.452463	20800	-7.823109e-09	266.58554	-0.049110983	-234.10501	6.503235	0.015227538	0.239375	46.0	971.7122457027435	-0.50246936
13	27.787897	30.425642	113.45484	0.21724354	76.0	15.902392	12.026307	63.004944	-10.538022	22400	2.8610229e-08	456.1935	-0.015602761	-413.01617	6.3760853	0.018482177	0.234375	6.0	1050.4113171100616	-0.50293
14	96.126495	94.7458	318.0362	2.36674	176.22223	26.48957	27.280373	104.238045	-7.2850924	24000	6.556511e-09	843.767	-0.010380747	-784.1954	6.444035	0.02197011	0.25	4.0	1128.005836725235	-0.5032323
15	46.385807	52.69424	170.60536	-3.2709897	122.61539	21.259165	23.27596	125.74736	-14.717233	25600	-4.261732e-08	513.10474	-0.03941091	-451.74277	6.3679137	0.015735522	0.223125	29.0	1206.4250390529633	-0.50850993
16	20.378048	19.307117	66.20006	-0.83598727	69.90476	15.792999	12.523938	45.21243	-18.354887	27200	1.40070915e-08	123.70958	-0.0127283735	-88.7545	6.3836546	0.020811839	0.285625	3.0	1285.45689868927	-0.50875014
17	51.129276	66.05792	229.24358	-0.74508715	105.066666	16.681705	12.4827795	58.321754	-10.741083	28800	-6.2584875e-09	258.99216	-0.016734967	-193.27814	6.448434	0.026970802	0.2875	5.0	1363.9906597137451	-0.5088564
18	59.620857	44.498642	150.1643	1.2977716	151.2	18.148918	12.203135	53.385006	-18.166233	30400	-1.013279e-08	247.53137	-0.016435007	-188.53348	6.4112134	0.014795019	0.206875	6.0	1440.4511766433716	-0.50886303
19	18.293688	18.006037	70.569176	-1.9589016	79.1	14.915601	11.449927	49.935585	-17.11443	32000	3.8146972e-08	178.5911	-0.012879631	-159.34027	6.418248	0.025277317	0.32375	3.0	1518.886553287506	-0.5089734
20	34.69681	30.165983	106.408485	0.04137419	111.53846	7.81667	8.082939	36.43984	-9.084058	33600	4.0978193e-08	99.259476	-0.0133117195	-77.31752	6.3446946	0.014460368	0.2025	5.0	1596.567970752716	-0.5089714
21	27.536644	28.100393	86.849724	-0.14488757	78.166664	16.339907	11.865822	55.21889	-9.809377	35200	-3.069639e-08	139.00647	-0.012183525	-105.694336	6.3965883	0.022004554	0.30125	4.0	1675.0154676437378	-0.50889724
22	44.154198	36.000435	129.8919	0.34610948	141.36363	9.308676	8.215851	32.185757	-7.9765944	36800	-1.6391278e-08	141.11493	-0.011782492	-126.19852	6.3621025	0.018915076	0.26	4.0	1752.5184137821198	-0.50930613
23	57.09407	72.972046	235.68373	-0.069861054	133.08333	16.00628	10.790919	44.21047	-12.418623	38400	-2.5629998e-08	392.5127	-0.014276066	-345.15967	6.394022	0.01959827	0.25375	4.0	1829.59921002388	-0.5096324
24	41.48197	47.55343	178.04015	-0.6290718	103.46667	27.808315	22.146458	110.115166	-11.519147	40000	3.7252903e-08	351.8401	-0.028659848	-306.57477	6.3666015	0.014880125	0.199375	15.0	1907.9048104286194	-0.5092191
25	41.308525	46.536007	152.4972	-7.0871134	120.84615	17.217201	15.526425	58.340206	-11.90919	41600	3.784895e-08	145.36378	-0.035194304	-124.15535	6.4052486	0.016788634	0.225	19.0	1986.2211136817932	-0.50999767
26	35.794685	39.257492	132.2326	-3.3479342	93.25	25.124252	17.713549	66.822464	-13.992857	43200	-4.6268106e-08	245.52704	-0.012875877	-214.59186	6.3515296	0.023163531	0.270625	3.0	2064.097999572754	-0.5101814
27	26.091942	31.97309	122.949875	-1.3746295	78.166664	15.488675	12.538275	45.888214	-9.426735	44800	-2.0861626e-09	67.80431	-0.0044602496	-42.07777	6.3195796	0.022257004	0.31375	3.0	2141.9825682640076	-0.5101481
28	24.829245	26.694897	103.588455	-6.374634	79.94118	16.909887	16.184965	71.6601	-14.393711	46400	2.5331974e-09	119.79308	-0.013679238	-79.936714	6.4075246	0.0154900905	0.210625	5.0	2220.9457828998566	-0.5096649
29	53.459816	72.01532	254.44955	0.61851555	122.90909	14.904253	11.572766	48.0688	-8.18795	48000	2.1159648e-08	392.00586	-0.046262443	-341.91687	6.359082	0.016173229	0.254375	32.0	2298.6136887073517	-0.51085883
30	52.17511	51.95778	207.13792	1.1668975	121.23077	35.70997	21.204844	93.33625	-7.034058	49600	3.9339067e-08	433.40555	-0.024246287	-393.0777	6.3737464	0.015425873	0.216875	10.0	2377.208633184433	-0.51143086
31	69.98066	81.87184	313.53024	4.641896	140.36363	29.010551	24.348572	110.17419	-5.677489	51200	1.475215e-08	254.89825	-0.0155308945	-199.99379	6.295168	0.016340813	0.235	8.0	2455.2889742851257	-0.5110383
32	51.55349	43.078423	133.45435	-0.093667515	160.33333	12.611445	8.593555	31.090515	-13.767684	52800	7.599592e-09	167.99875	-0.011702025	-130.86913	6.360757	0.033576004	0.406875	3.0	2532.5683465003967	-0.5107516
33	42.14986	32.98559	121.10066	1.4570293	125.818184	18.999487	9.918209	44.968666	-14.448106	54400	2.8014183e-08	194.26906	-0.0175836	-159.67558	6.3780065	0.017150173	0.210625	6.0	2610.865581035614	-0.5106363
34	68.90011	84.103806	259.5922	-0.7580136	141.18182	35.427704	25.185188	118.25049	-13.598864	56000	1.8626451e-09	130.81122	-0.018184919	-94.608795	6.299565	0.014644482	0.185625	8.0	2688.6033515930176	-0.5108675
35	59.28689	46.912884	157.10606	1.5993856	159.9	21.38993	14.938847	63.948925	-15.519331	57600	-9.536743e-09	179.59438	-0.012795324	-136.46704	6.4399953	0.020877585	0.261875	4.0	2766.4080822467804	-0.51107603
36	83.10731	86.10482	217.72804	0.87363905	196.28572	19.571745	12.789562	53.916973	-5.4186883	59200	-2.3841858e-08	331.95413	-0.017704668	-274.54935	6.386261	0.014700563	0.21375	5.0	2844.617052793503	-0.5112446
37	67.435455	39.664036	147.75343	32.358955	171.0	29.328161	25.482986	102.62133	-10.837862	60800	-1.6912818e-08	388.73032	-0.011440149	-330.09012	6.3187404	0.018054748	0.25375	4.0	2922.388846874237	-0.51134574
38	94.974075	92.061195	264.28235	0.6692837	178.75	33.99691	17.867998	87.16363	-5.2368073	62400	3.442168e-08	217.46942	-0.009603572	-155.94882	6.4731493	0.018154385	0.22875	4.0	3000.0560619831085	-0.51099604
39	43.412514	59.28683	218.36897	0.0045266803	117.30769	15.628399	19.01517	79.57918	-18.127857	64000	2.5331975e-08	358.9042	-0.009226472	-301.72888	6.3881493	0.02332415	0.285	3.0	3077.5012216567993	-0.5104452
40	34.558434	41.103127	148.06497	-1.038941	103.26667	18.235622	13.582715	67.91244	-8.399648	65600	-1.6093255e-08	143.43427	-0.012995908	-112.97575	6.396228	0.014402241	0.18375	4.0	3156.093592405319	-0.5100276
41	80.56903	38.20615	119.33458	-2.5047708	209.57143	23.123133	14.688426	76.72915	-5.140241	67200	1.9371509e-08	120.27291	-0.011617327	-79.928986	6.342808	0.017747307	0.249375	4.0	3232.623879432678	-0.5099338
42	72.13571	92.447075	292.27695	6.852329	148.55556	23.822342	15.1995	62.583817	-7.0473747	68800	2.2947788e-08	240.4079	-0.010519115	-215.70041	6.2988114	0.0166838	0.231875	5.0	3309.902185678482	-0.50981873
43	58.48964	45.008747	145.42886	-1.0159128	138.54546	18.951181	24.015638	95.253624	-14.712627	70400	-1.296401e-08	334.8179	-0.012455367	-298.05768	6.3695164	0.016844807	0.21625	5.0	3387.642502307892	-0.5095287
44	116.36695	63.159145	208.02081	26.461218	242.0	27.615067	15.529595	82.11771	-7.034541	72000	-5.662441e-09	438.2987	-0.041352883	-361.05493	6.3987274	0.016236741	0.24125	27.0	3465.166848421097	-0.50965905
45	98.0745	68.282295	200.74097	0.044945557	221.5	23.119116	13.79792	72.220665	-4.0597334	73600	-1.2665987e-08	341.82278	-0.0213506	-279.8112	6.2596416	0.0150947785	0.211875	9.0	3542.4903054237366	-0.5105606
46	51.437252	45.855038	139.12822	-0.13430755	138.18182	27.36288	16.04777	71.10684	-2.7298203	75200	-1.6763806e-08	271.87552	-0.014082526	-174.63232	6.394211	0.019469988	0.2675	7.0	3620.307344675064	-0.51095295
