Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	41.205135	34.721146	102.98887	-0.53501314	97.3125	0.21127392	0.1867458	0.8562565	-0.26501694	1600	-5.7667492e-08	545.57544	-0.017045498	-278.97693	4.588597	0.01588303	0.210625	3.0	72.24186849594116	-0.5003797
1	26.3143	25.683292	85.010345	3.5442894	72.15	16.94548	5.451698	32.762234	4.9455295	3200	5.3644182e-09	257.87305	-0.04757521	-133.09772	4.4821734	0.01527863	0.208125	36.0	139.37474393844604	-0.50155294
2	30.719955	25.83331	87.571014	2.9189577	91.411766	12.361145	4.722238	27.701113	-0.712175	4800	1.9073486e-08	175.72795	-0.01549257	-92.26813	4.6433287	0.01713828	0.21	7.0	200.1512908935547	-0.50181806
3	31.859573	42.760662	175.40347	-0.86087096	74.04762	11.888755	8.423657	33.625504	-11.566421	6400	5.8710576e-08	325.7438	-0.011540455	-192.10898	4.6169662	0.01854107	0.210625	5.0	255.83523106575012	-0.5017719
4	37.597702	39.266674	163.5284	1.474223	99.625	14.33775	15.328055	47.252476	-12.054481	8000	-1.1920929e-09	301.0265	-0.007207499	-223.47122	4.643038	0.022648482	0.24625	4.0	309.0023527145386	-0.501961
5	26.474926	22.671692	86.621346	1.1652485	99.375	10.038364	12.033789	42.16457	-12.259832	9600	2.9280782e-08	252.99309	-0.012423736	-199.75891	4.5992413	0.020418534	0.283125	4.0	361.7565314769745	-0.5020298
6	28.535452	32.384323	95.6579	-4.9055624	108.85714	12.832046	8.586245	31.085752	-4.3941536	11200	2.026558e-08	104.19001	-0.008173348	-67.678505	4.6048694	0.016415155	0.224375	5.0	414.60446429252625	-0.50204456
7	63.373634	70.85316	235.42426	2.076672	132.18182	27.601738	14.616462	56.828835	-6.763936	12800	1.6093255e-08	350.1368	-0.051071554	-281.4926	4.5863633	0.015332234	0.209375	68.0	467.80525612831116	-0.51846755
8	63.072647	49.299423	199.42708	4.2422223	140.36363	22.141827	20.239328	65.859245	-26.603954	14400	-5.5134297e-09	246.35812	-0.0511769	-194.12639	4.4503484	0.015145111	0.226875	45.0	520.5127928256989	-0.5243345
9	19.723988	26.73617	114.39589	-0.7239059	62.35	28.534634	21.503311	87.34467	-12.055046	16000	-1.23679635e-08	282.40372	-0.013262502	-221.98483	4.4058123	0.01842343	0.22625	4.0	573.3552994728088	-0.5246609
10	25.25475	35.302723	127.02024	-1.5021299	88.588234	13.567735	10.593568	43.65956	-9.585089	17600	1.9073486e-08	209.26898	-0.015270666	-169.56152	4.4770856	0.018290171	0.239375	5.0	626.7960381507874	-0.5252597
11	29.316765	49.800903	238.44917	-2.9882998	69.954544	30.33634	36.592876	112.48069	-13.099747	19200	-3.2931567e-08	1186.4371	-0.044776395	-1094.8027	4.480473	0.01539576	0.2225	36.0	680.4046247005463	-0.5295261
12	59.419502	87.18071	311.90237	-0.42098153	112.69231	12.4486475	7.916426	31.93529	-7.312397	20800	-9.7304586e-08	1186.3542	-0.05244402	-1102.2759	4.416334	0.0151910735	0.215625	65.0	733.322806596756	-0.5272059
13	61.733593	68.94105	184.18408	-1.7962501	156.7	25.782639	25.60661	96.42726	-6.1469297	22400	1.758337e-08	250.9529	-0.044105105	-210.60193	4.527006	0.0152802775	0.200625	36.0	786.4962291717529	-0.53309983
14	50.879456	50.925755	156.4801	-4.113591	120.30769	22.422968	15.994858	63.885117	-6.5764947	24000	-3.2782554e-09	207.22554	-0.014325824	-157.46535	4.4143257	0.018101376	0.24875	5.0	839.0171658992767	-0.53348225
15	28.9808	29.645994	105.16187	-0.47288057	89.875	10.862221	9.78959	41.66866	-12.223822	25600	1.8924474e-08	105.062675	-0.03070577	-63.575184	4.4450746	0.015316921	0.211875	16.0	892.0077521800995	-0.5342794
