Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	53.684437	46.619503	139.25186	6.301495	93.8125	0.40143418	0.25829974	1.046781	-0.20083915	1600	9.968877e-08	929.7473	-0.05597129	-460.17352	4.588597	0.015050447	0.225	73.0	49.29928231239319	-0.50194013
1	92.69569	216.31316	886.9999	4.4957395	101.933334	25.051735	14.954328	67.840256	6.164332	3200	-1.579523e-08	6505.0215	-0.02030882	-4220.1846	4.474372	0.018142365	0.196875	8.0	97.8925998210907	-0.5030618
2	35.518887	24.801613	92.081795	1.1970618	73.14286	38.348785	25.168518	124.05186	-1.7294888	4800	2.503395e-08	1132.5475	-0.04508428	-978.8776	4.635784	0.01532773	0.21625	41.0	142.13958859443665	-0.5071427
3	35.330177	36.5562	168.35835	7.367028	68.86364	17.325806	8.753435	50.850178	2.0618103	6400	1.1920929e-09	274.81418	-0.010948815	-78.78691	4.590343	0.017831102	0.239375	4.0	188.86948084831238	-0.5070294
4	72.87973	67.07047	256.3437	2.7933528	112.21429	20.176638	13.414314	62.816643	0.7067274	8000	-8.642673e-09	875.397	-0.04011918	-452.05713	4.6167507	0.015298444	0.220625	47.0	238.64582896232605	-0.5047969
5	63.254635	55.92069	202.6684	1.1612446	103.92857	31.03522	12.703823	65.78514	7.458527	9600	-8.9406965e-10	351.2293	-0.014223477	-168.03972	4.585061	0.018183626	0.236875	6.0	285.72915530204773	-0.5047866
6	97.85402	84.81562	291.7758	29.039087	169.11111	23.801094	13.162715	55.1487	2.8803842	11200	-1.4901161e-08	480.12375	-0.01318532	-325.32117	4.591086	0.019797543	0.263125	4.0	326.5818648338318	-0.5047082
7	126.49207	85.21602	311.31885	30.52345	198.5	33.018795	16.900755	76.60186	-3.4195492	12800	-1.9073486e-08	390.25122	-0.015418838	-278.65427	4.5730457	0.020823382	0.265	4.0	367.85432386398315	-0.504608
8	38.014923	39.208355	152.78395	5.4479527	73.7619	41.939327	19.367052	96.36051	-3.3321462	14400	4.1425228e-08	860.0989	-0.0097581325	-648.25275	4.519646	0.016585123	0.22125	4.0	410.7058653831482	-0.50466985
9	65.91334	80.79982	306.57883	3.106302	110.15385	16.5261	10.380899	43.11664	-8.866998	16000	-5.185604e-08	836.8558	-0.040912956	-530.91425	4.5041347	0.015246699	0.211875	34.0	454.773809671402	-0.50932384
10	41.902924	30.232258	124.55162	11.27758	83.10526	26.355663	18.704224	90.35196	-4.3853536	17600	-9.536743e-09	652.84686	-0.05532092	-470.7807	4.5537705	0.015263188	0.23125	71.0	506.0143802165985	-0.51969695
11	89.51566	70.75356	228.56117	17.355898	133.36363	19.758472	4.1567526	38.87979	9.206588	19200	1.1920929e-09	713.68604	-0.021565845	-405.0027	4.508287	0.016194455	0.16875	10.0	551.1863327026367	-0.5206181
12	112.24815	192.67517	673.66815	20.102816	147.6	33.711548	13.750244	63.447487	4.855725	20800	-2.7269126e-08	1362.6147	-0.046425804	-976.18054	4.460875	0.0150613235	0.203125	56.0	594.2983832359314	-0.5157072
13	77.97093	58.89467	189.56544	8.215252	115.76923	34.091343	17.193853	87.98471	2.712541	22400	-8.493662e-09	715.56866	-0.011806494	-592.1572	4.5844994	0.021940898	0.228125	4.0	634.1375572681427	-0.5159176
14	82.10509	75.337395	230.9606	12.41232	157.7	28.056816	19.278746	72.61458	-6.964075	24000	-8.940697e-09	384.6306	-0.030437259	-221.50073	4.500237	0.014971409	0.1875	21.0	671.8481094837189	-0.51745117
15	44.99724	31.109533	120.193474	9.33858	89.4	22.117725	22.166471	109.37282	-17.71434	25600	-1.07288365e-08	631.815	-0.050171334	-469.78503	4.52523	0.015136072	0.228125	79.0	709.1224856376648	-0.52212936
16	68.000244	63.218	229.23271	4.5912585	120.53846	20.96023	6.1511183	35.80674	7.225565	27200	1.4603138e-08	499.0346	-0.011550015	-365.47504	4.490843	0.022463107	0.27	5.0	746.2197332382202	-0.5220424
17	45.169914	49.502773	181.28899	2.9056466	86.22222	21.952625	17.30639	70.57815	-19.85881	28800	7.450581e-09	487.37964	-0.014602494	-338.40915	4.470887	0.0248902	0.26375	4.0	783.6793215274811	-0.52171534
18	47.585938	34.11956	137.47731	4.5400434	85.55556	18.390877	17.785938	89.28257	-14.475084	30400	-1.4901161e-10	292.2321	-0.012350354	-185.21857	4.445051	0.020600878	0.254375	6.0	821.249436378479	-0.52165604
19	62.538044	53.008877	220.58261	14.57268	101.933334	19.424837	6.9650493	48.968124	-2.112011	32000	2.95043e-08	410.6108	-0.014318325	-200.03749	4.552398	0.018792754	0.253125	6.0	859.1507456302643	-0.52197886
20	45.5961	34.292847	113.23231	3.3570092	93.94118	30.42945	17.426533	89.7871	2.6771636	33600	-1.0430813e-08	560.47687	-0.007744336	-467.82812	4.5010633	0.0170946	0.23	4.0	898.4492950439453	-0.52216804
21	54.88103	42.5047	141.76054	1.1043597	106.28571	17.820488	10.2273035	38.11888	-7.893684	35200	4.649162e-08	271.87476	-0.012736632	-155.56198	4.483254	0.023338117	0.25375	3.0	935.8970227241516	-0.5220627
22	98.92214	99.9567	374.09177	11.79796	150.7	19.34674	8.5584135	43.3335	-7.2748027	36800	1.3083219e-07	949.5145	-0.0110311415	-844.4359	4.470642	0.019145902	0.248125	4.0	972.7012405395508	-0.52206814
23	78.33224	91.79493	384.48938	15.08539	112.14286	38.53635	21.96533	97.210144	-8.854097	38400	-1.1473894e-08	1307.7974	-0.014569648	-994.29236	4.489972	0.016002925	0.189375	10.0	1009.0635781288147	-0.5217957
24	71.42523	130.99564	505.86975	2.0298107	118.30769	28.581465	12.009932	82.03852	1.5683761	40000	-3.0994414e-08	767.22284	-0.01947381	-672.98456	4.4506516	0.018988498	0.23875	7.0	1045.0116834640503	-0.52119434
25	90.36925	57.385002	155.81181	5.5200944	144.6	31.422148	21.21051	75.24435	-11.409288	41600	-1.6242266e-08	623.80914	-0.010298857	-538.8122	4.4697847	0.014927527	0.20375	5.0	1080.7190599441528	-0.52084833
26	55.929504	78.75136	324.6703	8.178593	96.625	22.340347	26.083422	79.97807	-42.534348	43200	-2.8312206e-09	317.4459	-0.020890728	-249.27745	4.492429	0.01455791	0.2	11.0	1117.1774821281433	-0.5212296
27	34.784885	37.976162	146.52127	3.7323987	76.05	14.931313	12.872018	57.94086	-28.978598	44800	8.046627e-09	258.39124	-0.054904945	-192.84082	4.4983025	0.014354055	0.228125	79.0	1154.199449300766	-0.514194
28	60.423508	44.79714	146.93509	7.1319876	117.92308	18.733631	14.062825	60.146317	-13.836272	46400	-2.9802323e-09	155.69727	-0.048752934	-112.69156	4.5243077	0.015155056	0.21375	68.0	1190.7907106876373	-0.52422917
29	51.19488	45.518826	139.58047	4.938683	102.76923	26.49273	11.552167	53.29233	-6.183384	48000	4.3958426e-08	186.03545	-0.02311633	-121.11314	4.4821143	0.01603769	0.20375	7.0	1226.848329782486	-0.52490175
30	62.283775	78.711174	309.96872	7.08791	113.46154	19.78236	13.2868185	63.667805	-7.605006	49600	4.4703485e-09	301.54636	-0.05561844	-264.6047	4.5128155	0.015042653	0.22875	66.0	1263.5453867912292	-0.5238279
31	163.35405	149.4351	440.20007	10.266046	219.85715	42.404434	28.528223	100.32064	-19.231222	51200	-2.4288893e-08	637.01324	-0.032755125	-583.5356	4.4868317	0.016230173	0.2325	23.0	1299.4518508911133	-0.5216412
32	48.657307	54.01751	166.36589	4.0310407	85.888885	18.432646	20.669401	99.49427	-16.61455	52800	-1.9073486e-08	365.2663	-0.041799832	-336.16968	4.4526396	0.015207336	0.2075	40.0	1336.4005281925201	-0.5212866
33	59.193417	54.080284	199.63713	10.425225	94.066666	27.446674	24.488453	93.34908	-25.733318	54400	-1.02072955e-08	239.33475	-0.035059847	-202.89484	4.457521	0.015888894	0.22875	21.0	1372.819486618042	-0.52265716
34	67.54495	74.94164	244.46239	-1.3368499	127.25	27.169067	19.925585	71.27521	-14.277927	56000	-1.1920929e-09	323.90717	-0.008077643	-284.72803	4.5211744	0.020045068	0.279375	3.0	1408.7157344818115	-0.5227945
35	65.08762	98.58718	371.6576	3.6324565	101.90909	26.200964	19.440126	75.20082	-16.479849	57600	2.8312206e-09	789.05115	-0.011252948	-769.45465	4.535617	0.014052886	0.18125	5.0	1444.9852197170258	-0.52304953
36	30.203707	44.77258	229.542	4.4271746	63.695652	29.78787	28.34467	118.78813	-26.392973	59200	-1.847744e-08	475.73267	-0.025139904	-413.55365	4.517864	0.017299121	0.21875	12.0	1481.8202455043793	-0.52495277
37	87.4596	193.62132	753.14496	1.106197	120.07692	22.350943	20.539314	68.97267	-21.64911	60800	-1.6093255e-08	2032.5045	-0.012689238	-1995.6067	4.448269	0.015967835	0.209375	7.0	1517.8910548686981	-0.52606446
38	53.060997	53.76543	207.70685	0.17769648	90.85714	32.737	31.492382	143.65317	-23.937632	62400	6.8545343e-09	568.91595	-0.05156395	-519.01654	4.4387903	0.015341835	0.24375	79.0	1554.5897254943848	-0.525649
39	84.09273	91.58666	318.1707	5.320758	131.125	35.22674	20.087158	86.24465	-11.585015	64000	1.02072955e-08	508.94275	-0.041512895	-396.46518	4.4881406	0.014950804	0.21125	58.0	1590.8654549121857	-0.539276
40	84.934265	74.96877	232.84363	11.64734	142.18182	28.139776	22.05229	99.01069	-19.57829	65600	1.5646219e-08	305.47717	-0.012907597	-244.25269	4.4260273	0.015600657	0.224375	6.0	1627.2073974609375	-0.5394201
41	110.700554	185.22797	675.79865	12.018656	141.0	40.664673	25.572943	99.54922	-6.149592	67200	-2.8908254e-08	710.4794	-0.011113636	-655.40845	4.367856	0.017330317	0.21375	6.0	1663.168296098709	-0.5394934
42	40.588356	28.281057	96.28307	6.513705	103.14286	20.593725	21.942818	134.57968	-6.9418983	68800	1.0281801e-08	239.00133	-0.009477355	-211.78944	4.372668	0.017678406	0.23875	4.0	1699.1736643314362	-0.53986627
43	72.71604	80.27051	259.87802	7.579395	121.55556	37.54231	28.893105	106.00076	-16.165623	70400	1.7732383e-08	1047.4634	-0.021114463	-916.0509	4.4004393	0.016335152	0.20125	10.0	1735.7202444076538	-0.54087365
44	78.58678	46.806572	189.52672	5.7430973	130.91667	37.385906	26.173716	108.55739	-17.54378	72000	3.5092235e-08	458.40585	-0.04000688	-403.1382	4.433352	0.015884025	0.2225	28.0	1773.0809969902039	-0.5417195
45	73.10946	100.87303	401.72318	12.783918	114.166664	25.877344	24.845377	126.05316	-31.752316	73600	1.5608967e-08	522.95087	-0.012555112	-492.80518	4.337477	0.016245265	0.218125	6.0	1809.3007714748383	-0.5423598
46	72.265114	93.73856	374.56522	8.403286	119.15385	33.068527	36.50205	135.37798	-17.160479	75200	5.2154063e-09	139.65973	-0.029390441	-74.18724	4.4028254	0.0150377415	0.21125	13.0	1845.6448471546173	-0.54367447
47	154.24425	130.7599	404.53125	27.228418	210.28572	39.256058	21.075197	104.7352	0.375211	76800	-8.642673e-09	380.9085	-0.017362526	-329.59146	4.3351665	0.021051941	0.251875	5.0	1881.6103584766388	-0.54380476
48	79.498726	50.8419	163.19765	2.8249295	124.333336	36.73587	32.081757	116.58564	-11.249179	78400	2.8908254e-08	485.34973	-0.050345574	-417.5839	4.3970814	0.014949206	0.225	51.0	1918.031669139862	-0.5344459
49	135.58426	91.13819	267.19525	14.088819	187.375	33.633564	20.882343	113.48319	-13.329336	80000	-2.1755696e-08	399.04996	-0.023733279	-340.0942	4.438468	0.017323272	0.20625	13.0	1954.114536523819	-0.53645575
50	78.29144	54.595142	217.98181	25.189959	145.8	35.53223	21.683727	99.71579	-7.71188	81600	-1.1213124e-08	306.26038	-0.023333337	-224.39673	4.4379153	0.016522732	0.23125	8.0	1990.5701086521149	-0.53890646
