Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	36.742355	40.841637	131.61977	1.8833516	92.0	0.2854394	0.29433376	1.0225604	-0.28367072	1600	5.379319e-08	540.29126	-0.040907387	-238.89185	4.588597	0.015078123	0.220625	42.0	56.77081513404846	-0.49811846
1	24.529707	20.239037	68.65289	-5.433568	81.210526	14.301633	6.044858	26.856833	4.092141	3200	1.1771918e-08	219.0252	-0.015862554	-147.35007	4.4934797	0.028113594	0.3025	4.0	100.96443510055542	-0.4979062
2	51.428608	73.331566	275.1971	-4.335423	105.78571	10.1254015	5.2942243	22.600908	-1.8790373	4800	3.576279e-08	943.308	-0.01051406	-729.54517	4.661563	0.017687052	0.209375	7.0	149.73566150665283	-0.49623045
3	49.49093	46.879894	167.23956	-3.540233	114.84615	22.521734	22.84931	71.05723	-38.352543	6400	-6.2584875e-09	276.00275	-0.044859022	-189.10732	4.6449037	0.014573365	0.2325	79.0	196.70793080329895	-0.49909338
4	34.66847	43.30371	190.95937	0.28344262	77.15	12.906655	12.184765	45.58012	-7.875395	8000	-9.3877315e-09	359.94882	-0.048084594	-252.41223	4.6564307	0.0151203405	0.214375	52.0	242.90417170524597	-0.50174683
5	48.41993	91.31853	370.5082	-4.8455086	109.92857	17.305498	17.935638	60.015217	-9.380098	9600	1.6093255e-08	640.53577	-0.043963313	-526.1902	4.600311	0.015255704	0.21	50.0	280.4701247215271	-0.5086637
6	38.359676	46.735985	198.0481	-2.104073	82.947365	24.284502	29.191229	120.52891	-21.987215	11200	-9.536743e-09	1009.56226	-0.012328936	-942.35657	4.5716996	0.016240424	0.193125	5.0	321.1755168437958	-0.5082472
7	43.204643	55.220978	205.7632	0.48836738	91.70588	17.972563	17.774467	82.0826	-8.373459	12800	-1.4901161e-08	447.22205	-0.009031353	-347.88248	4.5553513	0.016373817	0.220625	6.0	355.3752920627594	-0.5072292
8	36.8873	33.617092	111.21381	-2.109463	82.76471	18.716572	17.445854	69.26291	-2.4666495	14400	-1.4901161e-09	423.58926	-0.013050755	-326.01108	4.50654	0.020862503	0.26125	5.0	386.7633435726166	-0.5069646
9	33.976135	42.41597	199.18132	-6.6745734	77.15	20.29782	18.834957	73.83257	-19.481035	16000	-5.9604643e-10	374.6261	-0.011819588	-292.65823	4.4926605	0.021664018	0.266875	5.0	423.2091691493988	-0.5074066
10	28.22287	25.7643	94.418816	-0.38236922	71.72727	11.352464	9.576163	39.674984	-13.67041	17600	4.4703485e-09	97.06704	-0.040333252	-68.80643	4.5633564	0.015563911	0.228125	33.0	455.43512511253357	-0.5043889
11	37.294094	68.57451	322.1947	-1.4143515	78.25	17.803093	20.34541	85.89991	-12.252541	19200	1.527369e-08	299.94485	-0.009306072	-264.21765	4.5848274	0.018953301	0.209375	5.0	485.31131196022034	-0.5036385
12	36.112087	52.56703	227.93758	0.49009734	91.35294	38.032684	46.355625	138.3956	-21.01907	20800	-8.940697e-09	1417.1763	-0.011996575	-1359.7551	4.5457726	0.01610872	0.208125	7.0	514.1545171737671	-0.5026384
13	47.577717	90.075455	379.65717	1.3893373	86.52941	17.961687	17.785797	68.409195	-8.92036	22400	-1.0281801e-08	944.41736	-0.010576808	-775.9055	4.649844	0.017761037	0.211875	6.0	543.0774614810944	-0.5028608
14	31.147522	27.139103	100.73559	2.7772517	82.10526	12.665889	8.681515	67.28508	-8.558448	24000	2.9802322e-10	131.46269	-0.010358754	-92.96893	4.5655212	0.018524505	0.26375	5.0	570.8944602012634	-0.50356585
15	35.502567	52.5583	166.38702	-1.7096126	85.72222	17.14036	15.085411	74.45277	-4.3330383	25600	-8.642673e-09	338.56836	-0.009896026	-218.95483	4.5946574	0.023648458	0.28625	5.0	598.6165142059326	-0.5042921
16	28.380363	25.792557	71.081535	0.23930904	85.55556	19.6074	19.232794	85.201645	-4.9147415	27200	-1.7881393e-09	461.9544	-0.01058517	-400.91254	4.5800285	0.019962667	0.241875	5.0	626.8210151195526	-0.5058261
17	24.842108	24.739477	86.06045	-8.9462	70.95	8.47359	7.9284883	31.886742	-10.487776	28800	-1.4305114e-08	156.083	-0.043049105	-118.17479	4.5519686	0.015052347	0.21375	37.0	655.5355339050293	-0.50677365
18	39.9271	42.952526	140.77945	2.6243482	77.31579	15.458194	12.784107	63.717224	-3.12824	30400	1.7285346e-08	315.7243	-0.015452627	-229.55396	4.51976	0.018213823	0.216875	8.0	683.741259098053	-0.50585264
19	32.63146	44.048016	174.00734	0.57726026	72.85714	17.50469	14.311125	56.521214	-5.1874647	32000	7.7486035e-09	179.92012	-0.010629875	-140.52356	4.6314154	0.017112546	0.246875	6.0	712.4058463573456	-0.50507563
20	31.410095	17.606516	72.20706	0.3996151	90.35294	12.731909	11.942272	54.191547	-8.500158	33600	5.066395e-09	64.25051	-0.047077537	-50.883904	4.5855794	0.015556311	0.229375	46.0	741.0110812187195	-0.5100641
21	27.676876	27.613642	101.310555	1.1783365	74.3	11.083665	8.661504	42.540527	-5.5995903	35200	-2.1606683e-09	90.11628	-0.014493101	-47.805763	4.5437737	0.025542092	0.305	5.0	768.8182673454285	-0.5102511
22	49.301464	41.93984	136.08934	5.8879905	121.166664	13.557503	10.232355	54.188892	-12.4899235	36800	2.5816261e-08	106.50809	-0.030694138	-65.5773	4.5297017	0.015546582	0.178125	23.0	796.7926585674286	-0.5169521
23	40.77566	51.11758	182.72374	0.77607465	95.833336	18.060345	13.280746	50.52049	-10.316958	38400	-3.963709e-08	569.5982	-0.01310406	-488.17004	4.515552	0.022229867	0.244375	5.0	825.3617062568665	-0.51813245
