Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	89.092155	87.80717	265.34027	15.10371	172.77777	0.49465752	0.24525568	1.4506563	0.059892118	1600	-4.902482e-08	1425.4309	-0.044734765	-728.39685	4.6074753	0.015117997	0.22125	35.0	58.2119140625	-0.5024237
1	29.887165	42.193428	177.24121	-0.6066704	77.3125	24.544783	11.179873	54.147774	8.085729	3200	2.0116568e-09	1240.6368	-0.04523771	-677.08795	4.583315	0.015293806	0.205625	39.0	112.44215297698975	-0.5039187
2	31.139338	39.790634	183.6083	-0.9349617	74.09524	34.080997	17.355934	79.26031	-3.092569	4800	-5.3644182e-09	823.49884	-0.053684957	-531.4542	4.617082	0.015270433	0.23625	53.0	162.6065595149994	-0.5014342
3	25.10977	32.647194	133.16614	-5.209596	73.09524	12.770315	7.0191603	35.15356	0.088760115	6400	-1.1920929e-09	202.00777	-0.010608148	-69.93703	4.5899243	0.019028861	0.2525	4.0	210.7552194595337	-0.5018751
4	24.498432	53.563538	234.11664	-2.4020069	78.68421	11.4352	10.019533	36.319378	-6.308018	8000	3.1292438e-09	491.42856	-0.0136818625	-304.7689	4.5877104	0.01974792	0.2625	6.0	258.60599732398987	-0.50160694
5	28.221207	24.673721	96.76792	-0.4752635	79.4	17.224459	14.148778	52.73907	-15.829668	9600	-2.2798776e-08	407.0049	-0.04711421	-299.71432	4.5741143	0.015168738	0.228125	36.0	307.15102982521057	-0.5034131
6	73.48526	91.24041	265.88095	-4.7464437	117.69231	15.926147	8.943023	35.060745	-3.3138301	11200	1.66893e-08	967.6746	-0.05185492	-679.5901	4.6084166	0.015214372	0.210625	65.0	355.34312319755554	-0.49978703
7	30.572922	33.858707	108.95118	-1.3587458	82.1579	22.816967	26.533396	89.589294	-15.030419	12800	-3.308058e-08	570.0267	-0.03151414	-439.67175	4.5087857	0.015965473	0.19	13.0	403.6660587787628	-0.5016053
8	32.603073	26.321346	91.33693	3.5344777	93.0	14.521826	12.997581	48.81076	-3.2601628	14400	-3.5762786e-09	149.6386	-0.013082804	-92.18109	4.5513215	0.016510181	0.2225	5.0	451.7474660873413	-0.5017927
9	49.000393	54.05073	195.71957	-2.796938	124.583336	12.872705	9.24751	40.77064	-3.7826316	16000	3.1888487e-08	265.70825	-0.013568311	-143.5483	4.6515064	0.017481087	0.16875	6.0	499.39334535598755	-0.50168127
10	22.448763	29.00623	135.1703	-5.0315976	77.5	19.237917	14.276771	53.02862	-2.2757711	17600	-1.37090685e-08	232.49374	-0.025881387	-181.40646	4.6455445	0.016082972	0.183125	11.0	548.1163775920868	-0.5015451
11	43.79404	59.430817	245.11748	-2.179937	103.933334	11.917488	10.4158745	43.941666	-3.479311	19200	5.401671e-09	402.1218	-0.01657389	-309.59924	4.590702	0.018791515	0.235	7.0	595.9738922119141	-0.50058
12	29.160673	53.199913	235.66043	-6.4420843	72.47619	11.312634	13.388499	57.553642	-9.269461	20800	-5.2154064e-10	536.81335	-0.009309622	-375.29837	4.6111183	0.020628715	0.256875	4.0	644.0563192367554	-0.4998652
13	42.80281	44.463028	175.25533	8.659531	120.30769	14.223198	12.902896	45.68743	-8.844806	22400	-2.8312206e-09	170.53781	-0.009804972	-109.34218	4.61574	0.02036397	0.25125	4.0	691.8226683139801	-0.49970317
14	19.290512	20.607481	86.604706	-1.738616	66.478264	18.691486	15.090019	57.588287	-8.458415	24000	-1.5571713e-08	255.0253	-0.009599352	-220.74341	4.573924	0.018440112	0.25625	4.0	740.0874876976013	-0.49960488
15	31.177612	39.23921	145.10799	-1.6637871	72.545456	12.281629	8.502351	36.952286	-4.3421607	25600	1.8924474e-08	186.13214	-0.018614508	-104.90064	4.573039	0.014222941	0.19375	6.0	788.3504903316498	-0.49841815
16	21.505844	22.433805	83.2297	-0.48029557	70.666664	16.65473	13.433949	63.80411	-8.55989	27200	2.5629998e-08	419.10852	-0.018945351	-372.46027	4.5965753	0.017459517	0.22125	9.0	836.53631067276	-0.49730176
17	62.983677	116.53795	448.71872	0.25558722	114.76923	24.471647	30.168774	96.3535	-12.071089	28800	7.599592e-09	809.377	-0.010945961	-739.35474	4.6006374	0.03882568	0.283125	3.0	884.4536006450653	-0.49681878
18	34.811626	29.930273	120.045746	-0.4237356	103.4	18.769993	21.17112	128.53136	-8.934691	30400	-1.2218952e-08	569.0083	-0.05110667	-533.70593	4.5958824	0.015346654	0.22875	61.0	932.8280940055847	-0.4966453
19	41.34625	52.518738	162.2262	-1.4083679	120.92308	12.628565	10.307204	46.71662	-5.259879	32000	-1.7993152e-08	333.09882	-0.021645235	-257.85855	4.621692	0.017914834	0.225	11.0	980.8124930858612	-0.49690762
20	17.743294	26.629967	125.8774	-1.2543732	67.565216	11.339007	11.920966	80.34635	-5.0855336	33600	5.5730343e-08	238.23347	-0.024521952	-171.77986	4.5667686	0.015246686	0.204375	13.0	1029.6446223258972	-0.49691087
21	14.725526	14.651895	52.64905	-2.985395	67.17391	7.234205	7.4638653	31.164278	-9.747431	35200	-3.205612e-08	94.68711	-0.013354497	-69.68881	4.6450996	0.01567148	0.215625	3.0	1077.9638016223907	-0.49703616
22	53.967365	58.621387	196.90588	-2.4019308	122.07692	14.416028	10.244185	56.860615	-7.74087	36800	3.7252903e-08	299.10565	-0.011349651	-211.18353	4.6459455	0.016212594	0.1825	7.0	1125.82537317276	-0.49733463
23	36.684708	51.99374	173.8335	-2.9404821	97.0	13.951499	14.718463	56.564	-8.52482	38400	-1.7881394e-08	300.32697	-0.0090544	-223.18619	4.640022	0.027739916	0.303125	4.0	1173.7269039154053	-0.49748078
24	86.786354	111.15259	301.65823	-0.47478586	158.6	23.180029	15.977162	65.59922	-10.159052	40000	1.8738211e-08	774.4556	-0.048810076	-670.81116	4.5370502	0.012783561	0.19125	79.0	1221.716556072235	-0.4925305
25	31.406647	56.016937	205.01682	-5.3058567	95.5	35.901928	25.442627	90.61642	-22.098963	41600	-3.8743018e-09	686.42487	-0.030053865	-622.47687	4.5849104	0.015224645	0.16375	15.0	1269.6344537734985	-0.49257308
26	72.01459	80.18809	243.92604	-0.61028427	159.2	22.321915	15.836417	60.842087	-11.449546	43200	5.9492887e-08	502.82062	-0.02173908	-445.02588	4.701349	0.015248864	0.206875	9.0	1317.2961661815643	-0.4937119
27	51.760464	55.20761	201.30577	-0.61345893	129.36363	19.734255	19.970478	108.30038	-10.015803	44800	-1.07288365e-08	256.21027	-0.0070579634	-211.17285	4.615526	0.018344034	0.245625	4.0	1364.8377113342285	-0.494455
28	13.022894	15.419196	71.4	-7.0041194	63.0	6.6887755	8.547964	34.93418	-16.866976	46400	9.834767e-09	71.7767	-0.012621409	-51.713337	4.603448	0.01620461	0.21875	3.0	1413.2633757591248	-0.49518603
29	39.260914	34.478554	130.06075	0.95961046	121.07692	8.586715	6.448298	38.278034	-5.9111924	48000	5.8114527e-09	206.12402	-0.012119087	-150.19568	4.65019	0.01391367	0.18625	4.0	1461.2094118595123	-0.4959516
