Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	31.810581	26.752832	96.801216	3.7301824	73.61905	0.44688225	0.27094245	1.0011604	-0.23111516	1600	3.6209823e-08	365.9417	-0.042110004	-147.413	4.5885963	0.015560093	0.224375	37.0	63.33386850357056	-0.5053528
1	43.51801	87.31487	405.67758	-4.0321574	78.2	11.480242	3.7325835	22.007149	4.619357	3200	-2.2053719e-08	1977.5472	-0.035654485	-1314.97	4.4573073	0.015238408	0.20375	38.0	107.57922720909119	-0.5029224
2	31.185701	40.18522	128.11737	-8.452848	81.8421	24.639786	24.320063	119.30519	-27.597929	4800	-2.1457673e-08	498.40686	-0.04076509	-399.46985	4.6364813	0.015055573	0.243125	30.0	161.18531274795532	-0.50135005
3	30.11277	50.38431	204.86334	-12.677556	81.1579	17.088768	15.231006	61.200806	-8.314027	6400	2.2053719e-08	306.48444	-0.04692339	-241.27316	4.619307	0.015302155	0.230625	79.0	218.23686838150024	-0.50354797
4	39.51304	43.22435	141.88573	-5.25367	116.30769	11.270503	16.120358	85.91718	-8.241855	8000	-6.7055224e-09	175.5821	-0.05012054	-114.85072	4.634157	0.014992142	0.223125	59.0	274.21240997314453	-0.49881607
5	25.438017	25.244366	81.75229	-10.253555	87.833336	9.277857	8.718865	39.879646	-8.239805	9600	2.3543835e-08	120.04006	-0.011403993	-55.775368	4.6149654	0.0204639	0.27625	4.0	330.3881676197052	-0.49916562
6	33.442123	34.70899	128.5518	-2.4080641	81.833336	8.52983	11.508382	52.680237	-9.825998	11200	3.4868716e-08	308.1998	-0.02869765	-193.94849	4.61919	0.016524453	0.23125	15.0	386.37026476860046	-0.4993495
7	54.492924	56.195995	203.94778	11.117309	120.09091	21.513178	13.422195	54.255272	1.0408957	12800	4.61936e-08	518.06134	-0.013313649	-362.69733	4.5998397	0.017166112	0.21625	7.0	441.6990387439728	-0.4993217
8	29.921339	39.266674	141.98637	2.826505	70.181816	14.554939	12.793353	67.48166	-5.0261617	14400	1.013279e-08	183.43341	-0.016415741	-144.62202	4.5460777	0.016434107	0.2225	7.0	498.1929235458374	-0.49910274
9	29.455359	36.95054	150.21262	-5.4763136	76.85	13.296518	16.366718	60.619335	-12.524013	16000	-2.4139881e-08	224.56133	-0.010160996	-140.31995	4.531971	0.02007664	0.26	4.0	554.6246683597565	-0.49964777
10	82.36963	75.87636	194.56091	-11.159826	144.36363	30.491457	24.27889	79.132256	-9.930309	17600	-2.6077032e-09	459.06546	-0.029390844	-384.4231	4.602151	0.0154701015	0.21375	23.0	610.5911903381348	-0.503345
11	24.571087	26.077631	95.31519	0.2307478	78.5	10.738098	16.62473	65.24817	-13.25164	19200	3.2782554e-09	376.07742	-0.015492172	-287.02637	4.590048	0.014411313	0.220625	7.0	666.8314685821533	-0.5033577
12	42.353584	53.93272	155.367	-4.0653934	100.92308	13.701443	9.962426	46.397053	-7.652605	20800	7.0035457e-09	333.71042	-0.0060933596	-254.74936	4.547177	0.022161469	0.3075	4.0	722.2130782604218	-0.5030813
13	30.309875	31.362314	95.95384	0.08179565	79.947365	19.833344	13.088576	64.92492	-6.1827345	22400	5.9604646e-09	278.77557	-0.044915594	-191.8735	4.6476293	0.015460212	0.22	46.0	779.0286836624146	-0.5077816
