Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	81.269226	70.82112	268.50797	6.5177326	118.37037	0.49757668	0.27503717	1.1093974	-0.26053256	3200	1.1771918e-08	1782.6445	-0.036624726	-821.6343	4.536333	0.012867993	0.19	79.0	69.98049974441528	-0.5012975
1	88.015594	93.27895	320.2565	-1.5579623	117.37037	22.145107	9.063534	58.701572	4.287908	6400	2.95043e-08	1682.9012	-0.04350476	-639.63416	4.632088	0.013586538	0.2128125	79.0	137.27372455596924	-0.5034195
2	110.517845	125.13035	476.1119	-2.3850338	138.65218	35.22475	17.15438	82.784256	4.6040454	9600	2.0116568e-09	2408.9485	-0.044594254	-1897.9614	4.613374	0.013868162	0.2125	79.0	204.6011998653412	-0.5032587
3	131.5948	114.086235	380.15964	4.5634956	166.94737	33.515457	29.847935	131.13396	-24.02233	12800	1.6987324e-08	958.503	-0.008152136	-471.90497	4.589509	0.015704291	0.2028125	4.0	260.4451971054077	-0.5037757
4	106.09435	151.23322	751.6792	-1.7568803	134.81818	40.782944	17.487783	88.47238	-14.749152	16000	1.475215e-08	2364.1687	-0.02384131	-1240.0588	4.5162067	0.015472961	0.2125	17.0	313.4554545879364	-0.50789076
5	160.3844	170.10277	686.5996	7.8194118	178.41176	77.609634	44.93877	190.22171	-0.561265	19200	8.717179e-09	1821.3903	-0.03784086	-1215.9971	4.5641265	0.011699281	0.1825	79.0	367.0060589313507	-0.50804436
6	131.02621	158.8885	564.98456	-8.781862	138.18182	35.06891	46.285217	174.08437	-34.10512	22400	1.6614795e-08	2890.2556	-0.04561776	-2016.8501	4.5732794	0.014058535	0.2115625	79.0	421.0565049648285	-0.5106913
7	85.91735	83.35828	368.66367	5.1426926	145.31818	33.960827	34.442364	141.31276	-37.44165	25600	-1.4156103e-08	955.30023	-0.00933548	-542.41815	4.5426993	0.011984098	0.1571875	4.0	474.28273344039917	-0.5110235
8	146.72752	187.59209	670.99945	6.375714	171.27777	45.438663	39.786198	138.76	-16.54051	28800	-5.5879354e-09	1444.5035	-0.0070359497	-654.2893	4.5361757	0.013624844	0.18125	4.0	527.361038684845	-0.51146954
9	83.7826	87.859344	376.8814	-2.7266767	138.65	40.944347	26.583374	121.63308	-6.0037155	32000	-9.0897085e-09	1000.1345	-0.04254855	-596.81824	4.549805	0.013701384	0.205	79.0	582.1839272975922	-0.50764066
10	121.70102	86.90893	266.72687	-4.0215793	163.21053	29.81487	26.34291	122.00312	-18.008493	35200	-8.34465e-09	1046.5668	-0.04366072	-546.2605	4.564322	0.013531668	0.20625	79.0	636.6050779819489	-0.50882196
11	164.54785	152.93633	559.5136	-1.5968319	210.53334	40.921757	25.716225	109.57156	-6.8254576	38400	7.972122e-09	1665.1425	-0.038358085	-881.3911	4.5465236	0.012523133	0.184375	79.0	690.5082466602325	-0.509048
12	183.09627	184.14139	564.95135	-0.9192087	204.26666	52.782764	26.124268	116.87831	0.6462312	41600	1.40070915e-08	1444.9966	-0.041116197	-922.87555	4.522453	0.015130035	0.20625	67.0	744.0251262187958	-0.51355684
