Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	41.81887	33.929646	136.99309	4.0507393	68.86957	0.3903099	0.292336	1.1926066	-0.2255128	1600	-8.09133e-08	635.76624	-0.04438435	-300.57544	4.5885963	0.015311263	0.203125	46.0	40.640503883361816	-0.5020595
1	34.34322	28.047121	141.7626	5.3097615	58.296295	17.634048	5.888755	34.803825	8.399199	3200	2.5331974e-09	327.23154	-0.043523587	-126.89972	4.473774	0.015454075	0.208125	36.0	74.25612592697144	-0.5060872
2	49.650284	48.000683	194.83847	6.1931033	88.5	18.66704	6.111088	35.17821	3.6087852	4800	1.7285346e-08	393.40457	-0.04766468	-275.23856	4.6206584	0.014899844	0.22	57.0	106.1097104549408	-0.5077971
3	61.11209	47.03486	199.42938	5.875317	99.5	22.849665	18.085632	79.99096	-8.032455	6400	2.2649765e-08	738.45166	-0.033493944	-504.09055	4.5870705	0.015748506	0.2025	24.0	136.6375858783722	-0.5050756
4	131.58357	119.247406	435.89206	19.20597	168.11111	23.152184	8.29776	45.049236	3.9656484	8000	-3.576279e-08	1249.7935	-0.035671584	-938.4149	4.6265197	0.015439038	0.195625	29.0	167.20245480537415	-0.50778913
5	65.017075	85.4926	344.07703	5.1802964	108.21429	24.722525	14.583672	74.089195	-6.6135364	9600	2.7418137e-08	696.8689	-0.013616401	-536.1601	4.5700994	0.01829136	0.221875	5.0	198.12138438224792	-0.5083059
6	44.390617	29.623575	114.67059	11.163085	80.333336	25.369583	20.339676	101.332535	-6.6337814	11200	2.1457673e-08	365.29532	-0.010435074	-278.80756	4.5734887	0.016575968	0.24	5.0	229.1481580734253	-0.5084427
7	44.101063	36.501736	165.99457	7.3145747	78.26316	22.414438	11.868605	58.60436	3.9449346	12800	-1.3113022e-08	258.34314	-0.036491826	-130.3282	4.5543733	0.015131584	0.211875	39.0	260.42371678352356	-0.50325847
8	57.01617	68.65605	311.0387	3.2669454	89.882355	24.23413	13.872308	60.97895	-0.23498458	14400	-6.2584875e-09	404.76062	-0.028521322	-303.05576	4.5263934	0.0155349495	0.205625	19.0	291.6486089229584	-0.5053447
9	113.295746	170.35803	587.44025	9.899867	172.66667	16.51841	13.422982	77.3832	-7.1737466	16000	3.673136e-08	1687.506	-0.014728506	-1621.6288	4.500761	0.017256407	0.225	6.0	322.18700313568115	-0.5058008
10	74.213234	59.87955	252.26277	21.972641	126.666664	30.152153	30.97867	110.179695	-16.51851	17600	1.7881393e-09	571.63837	-0.038909663	-453.07422	4.571386	0.01535579	0.215625	50.0	353.69038581848145	-0.5141536
11	56.253773	52.29149	196.24738	3.3957746	79.947365	32.616013	13.148741	62.41094	-1.3642658	19200	3.1292438e-09	423.95383	-0.014202409	-246.50082	4.536004	0.017327223	0.215	7.0	384.575790643692	-0.5160036
12	75.782524	53.965313	191.23877	5.6414623	113.42857	20.291962	13.482361	51.02104	-3.7442198	20800	-5.9604646e-09	521.4864	-0.015305688	-353.82532	4.4839473	0.015975852	0.190625	7.0	415.42078161239624	-0.51677847
13	75.950554	51.987396	156.3456	4.5395827	128.08333	33.165882	15.243625	77.92366	-4.315812	22400	-1.7285346e-08	407.30844	-0.009987646	-244.90512	4.579144	0.01426322	0.214375	5.0	446.2503707408905	-0.516826
14	73.37764	65.68156	221.34625	3.48496	113.14286	29.988691	7.821203	58.875473	10.254769	24000	2.4735927e-08	410.35144	-0.039147876	-260.214	4.495695	0.015263455	0.213125	42.0	477.3756284713745	-0.5125438
15	78.5772	65.20906	251.4174	17.286419	125.5	16.05187	18.062107	55.30576	-26.128115	25600	-5.3718686e-08	617.9279	-0.0170859	-491.30728	4.549767	0.01915386	0.271875	4.0	508.1114294528961	-0.5122371
16	62.397614	78.99204	331.89816	8.362581	90.52941	31.252983	24.591568	81.03391	-25.006723	27200	5.9604646e-09	458.78995	-0.0065717967	-299.72086	4.540304	0.02254005	0.245	4.0	539.5590574741364	-0.51200736
17	42.069893	37.070652	148.10683	9.530707	72.181816	21.912115	18.632341	81.83295	-13.632335	28800	-1.4975667e-08	289.40768	-0.046202037	-193.38118	4.521062	0.015239818	0.226875	58.0	571.2478268146515	-0.50863576
18	60.93003	59.085888	239.0372	8.83268	98.26667	26.642517	14.684103	62.81986	-10.59557	30400	-2.0861626e-09	430.82935	-0.012925363	-299.43555	4.510448	0.014661705	0.209375	5.0	602.2401304244995	-0.5086914
19	68.65397	35.772213	152.52167	11.675703	121.454544	16.091969	11.474425	51.94675	-14.028841	32000	-2.503395e-08	380.88547	-0.01496961	-287.3191	4.617222	0.016135253	0.22375	9.0	632.9919121265411	-0.5082045
20	52.349937	37.117306	184.10422	8.03367	82.47369	28.245966	14.506562	64.55564	2.8220053	33600	2.3841858e-08	369.02997	-0.01132072	-230.39093	4.569935	0.018227708	0.216875	6.0	664.3450262546539	-0.5081723
21	86.43129	59.224167	208.66374	5.8849564	146.8	15.8967705	15.796218	45.694004	-20.198795	35200	3.4868716e-08	465.91006	-0.04126908	-415.90695	4.553233	0.015265963	0.20875	43.0	695.1428179740906	-0.5116046
22	58.202152	36.50802	135.54599	14.708076	114.69231	28.201792	15.609966	64.55449	-8.488316	36800	-5.662441e-09	148.61969	-0.045239657	-110.99274	4.5229335	0.01542652	0.223125	62.0	726.2056219577789	-0.5142306
23	68.1372	47.932064	188.46796	5.713292	97.5	34.926727	21.222456	86.27313	-1.5167227	38400	-5.3644182e-09	386.75476	-0.03005096	-309.7512	4.5291595	0.015227654	0.20375	17.0	757.1156919002533	-0.5139929
24	51.10573	49.951992	199.02687	6.5016704	84.10526	17.153528	16.094105	63.659122	-14.03437	40000	-2.2947788e-08	223.9672	-0.01233918	-186.13698	4.489665	0.027256913	0.300625	4.0	788.2232322692871	-0.51366055
25	82.32912	114.161476	433.62894	10.043627	118.76923	29.80569	15.655995	77.9156	-13.6177	41600	1.7881394e-08	583.65674	-0.033097845	-523.3004	4.5074544	0.016380964	0.22875	29.0	819.436883687973	-0.51475096
26	56.79078	49.701252	203.92827	12.126955	96.0	29.230677	23.11558	85.411285	-12.583606	43200	-2.8312206e-08	595.70966	-0.01109269	-546.81244	4.522915	0.016662195	0.234375	6.0	850.2087638378143	-0.5148596
27	69.56836	129.50014	594.825	5.6204615	88.22222	31.929129	27.866814	100.76962	-1.326894	44800	-7.301569e-09	1639.9047	-0.009792695	-1557.1678	4.530153	0.016198039	0.23375	7.0	881.3637356758118	-0.5143559
28	52.190453	58.057045	233.01814	9.588323	85.52941	30.743345	32.28065	143.5885	-40.288902	46400	-1.2172386e-08	492.38367	-0.040420108	-460.18512	4.523499	0.015230778	0.21	56.0	913.0441873073578	-0.51445633
29	58.363228	56.972454	189.3101	6.617612	99.625	30.796202	34.251522	154.26509	-25.455881	48000	2.1234154e-09	680.7051	-0.01895428	-601.39844	4.530979	0.019205812	0.2475	7.0	944.0184352397919	-0.51583445
30	81.57819	71.14591	234.52292	12.309879	152.8	22.483269	14.882026	72.17393	-9.370832	49600	4.9471854e-08	222.79808	-0.012491526	-189.94272	4.5581527	0.01872027	0.26875	5.0	975.1141829490662	-0.5170206
31	50.444714	35.39182	125.45925	6.0560555	96.46667	26.073061	15.3376	71.04118	-17.855015	51200	-2.4437904e-08	207.44928	-0.010024184	-160.40361	4.5208693	0.015472765	0.2	3.0	1005.8064496517181	-0.5175357
32	48.977478	25.49673	104.84017	6.6153884	92.35294	20.675884	13.487242	87.09268	-14.401528	52800	1.1622905e-08	76.301155	-0.0030809601	-56.50261	4.473167	0.022782192	0.253125	3.0	1036.6958043575287	-0.5182326
