Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	29.053223	35.684875	147.01001	-2.1081576	99.3125	0.16359611	0.18538103	0.76883644	-0.25924298	1600	1.6018749e-08	449.05258	-0.050190568	-214.74977	4.5885963	0.015118582	0.219375	42.0	56.000858783721924	-0.5071198
1	20.243603	34.233772	131.15788	-18.598528	93.666664	21.19218	13.485716	50.634697	2.0311363	3200	-1.1920929e-08	572.4412	-0.007988964	-385.09515	4.4484725	0.020476433	0.2675	3.0	100.6989905834198	-0.5074728
2	18.060635	23.913734	97.626335	-0.39099097	93.882355	2.261897	4.5172434	18.196564	-6.3374662	4800	1.0505318e-08	129.04826	-0.01679387	-74.34598	4.6137295	0.014363651	0.1925	6.0	143.45383524894714	-0.5077328
3	31.801165	28.101662	90.52003	-0.6620564	130.09091	7.4572597	3.2249324	18.309101	-0.67327935	6400	-1.3411046e-09	138.75166	-0.012118727	-80.51851	4.587392	0.023691215	0.280625	4.0	188.26643753051758	-0.5079843
4	20.257092	34.731586	130.1147	-3.8149092	105.28571	10.985317	10.049314	33.507538	-15.748599	8000	7.7486035e-09	114.15475	-0.010571845	-89.95167	4.611976	0.017083894	0.21125	4.0	233.54050183296204	-0.5085358
5	26.641394	61.018997	240.26132	-10.944251	113.07143	5.842063	10.029826	43.49609	-11.207628	9600	-3.159046e-08	363.5123	-0.009837057	-286.57968	4.5663667	0.026819196	0.2975	4.0	280.2130243778229	-0.5092619
6	9.262227	14.69768	52.19634	-7.7163086	85.55556	2.4906898	8.438252	39.062893	-10.146534	11200	-2.6226044e-08	33.622936	-0.011065395	-23.736446	4.5687084	0.023035306	0.268125	4.0	329.6280896663666	-0.5097071
7	15.953305	22.799465	81.71034	-4.412805	104.53333	8.1418295	10.062803	44.52421	-7.640552	12800	-3.412366e-08	42.33004	-0.007360831	-24.524914	4.5480523	0.019740527	0.248125	4.0	377.48276710510254	-0.5098275
8	37.79978	69.40681	274.0625	1.3208077	114.07143	20.48205	22.91838	72.856865	-5.915673	14400	-3.4272671e-09	309.15628	-0.011866097	-192.62538	4.4935474	0.017194474	0.21125	8.0	421.5889072418213	-0.5104995
9	63.874332	104.14827	374.53796	0.4385353	134.18182	16.169518	22.639984	63.52363	-15.830052	16000	-7.010996e-08	716.9378	-0.052801523	-677.37573	4.4749866	0.014262773	0.213125	79.0	472.7036838531494	-0.5131749
10	17.785316	28.821508	106.89235	-1.7883769	101.86667	20.682507	19.323725	66.25274	-17.746244	17600	3.606081e-08	349.28604	-0.011691044	-304.5686	4.5345154	0.019566858	0.259375	4.0	523.8779106140137	-0.5132119
11	20.160856	22.616999	66.4563	-3.8693619	118.76923	2.801029	7.0892506	26.64426	-15.660571	19200	4.321337e-08	97.45301	-0.011724758	-67.017426	4.540712	0.023101183	0.306875	4.0	575.197781085968	-0.5135864
12	43.53992	89.63136	326.7164	-6.5580845	117.833336	34.363155	35.785446	118.53129	-12.000556	20800	1.579523e-08	1008.5111	-0.040293593	-926.6516	4.496034	0.01525611	0.22875	49.0	627.0461802482605	-0.51661384
13	38.7226	94.68717	388.45462	-3.3644667	104.46667	32.545406	31.692888	91.973854	-15.052147	22400	2.399087e-08	713.7312	-0.011226769	-653.0011	4.579967	0.022348296	0.250625	3.0	678.3334016799927	-0.5170801
