Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	MeanLogStd
0	39.31983	29.32636	112.92903	7.3467226	73.61905	0.44688225	0.27094245	1.0011604	-0.23111516	1600	3.2484532e-08	513.7378	-0.04408486	-242.44653	4.5885963	0.015516298	0.22375	41.0	37.24079656600952	-0.50556064
1	40.24142	35.88757	160.30824	3.8646457	85.94444	17.025206	4.495181	28.719198	4.878352	3200	-2.9802322e-10	252.96684	-0.0096880505	-115.30333	4.456268	0.018196525	0.255625	4.0	70.23401618003845	-0.5060593
2	36.116302	27.781809	126.68742	1.5762867	79.947365	11.292707	8.38905	39.926704	0.8120889	4800	-9.834767e-09	188.931	-0.012955145	-128.10289	4.6207967	0.016871307	0.210625	6.0	103.33688473701477	-0.5065196
3	35.906513	38.65661	160.75337	0.45785558	73.809525	18.807728	12.982566	45.906178	-9.534619	6400	2.9578805e-08	365.07962	-0.011730906	-317.422	4.593458	0.02125612	0.233125	4.0	136.60777163505554	-0.506527
4	37.009064	30.19236	95.893425	7.9701314	83.72222	10.903396	13.24061	83.921776	-13.323295	8000	-1.9967556e-08	207.39287	-0.010315408	-177.51074	4.619262	0.01674648	0.234375	5.0	169.5435209274292	-0.5067098
5	27.597132	22.243608	91.941055	0.22796617	76.25	9.423904	11.16464	36.43313	-11.34337	9600	4.3511392e-08	132.1447	-0.04802945	-91.183975	4.5754967	0.012829955	0.203125	79.0	203.5625286102295	-0.51742375
6	59.314472	50.668526	195.83615	5.684811	123.07692	18.976934	13.804047	101.88429	-8.353439	11200	-1.6093255e-08	312.42667	-0.011843172	-198.09085	4.5279	0.0146382125	0.175625	6.0	236.033047914505	-0.5176598
7	86.154144	123.388275	499.33014	13.5235615	122.07692	21.07562	15.724066	53.74907	-6.1080685	12800	-6.482005e-08	1570.2056	-0.051285356	-1482.213	4.5082884	0.015092062	0.21625	78.0	269.469473361969	-0.5128554
8	33.772972	44.475872	222.12872	7.6625733	69.0	23.452557	30.710495	160.72525	-27.304169	14400	-8.642673e-09	1137.1127	-0.013273184	-1068.7875	4.4784083	0.016912092	0.196875	5.0	302.7464175224304	-0.5134082
9	38.98737	61.897152	287.21643	1.8654999	68.045456	19.969206	19.92507	81.81361	-4.821808	16000	-8.1956386e-10	679.11346	-0.03671944	-389.2482	4.4604435	0.0152996695	0.211875	40.0	336.446085691452	-0.5178883
10	65.72484	89.32523	298.37445	-0.5042447	111.28571	24.556221	31.664223	111.23152	-2.6100342	17600	-2.5331974e-09	1056.0514	-0.029426377	-900.5896	4.5109477	0.015620835	0.226875	25.0	369.56001901626587	-0.5226599
11	44.9925	40.910954	168.31934	6.433342	88.44444	16.605068	11.315868	53.03778	-3.338398	19200	-2.3692847e-08	345.02078	-0.046360113	-264.76263	4.493472	0.015087683	0.221875	64.0	402.7499372959137	-0.52856356
12	47.078022	54.97478	227.13171	0.7558068	91.47059	17.70419	16.695854	80.51154	-12.246799	20800	-7.7486035e-09	337.8757	-0.011882045	-259.34085	4.4211483	0.018655647	0.241875	4.0	436.08125710487366	-0.5286759
13	41.402733	29.84114	109.56281	6.2589073	97.0	12.2698555	15.719374	106.026115	-6.7526712	22400	-4.7236682e-08	491.41898	-0.02473463	-378.0619	4.519656	0.015143957	0.205	18.0	469.0155327320099	-0.5279698
14	47.43984	48.475075	219.07184	4.9407563	86.27778	21.495146	16.75762	100.60378	0.15946506	24000	2.8312206e-09	589.1016	-0.03204655	-430.15073	4.439976	0.015606811	0.206875	25.0	502.3337559700012	-0.5327227
15	43.152546	38.647663	147.25623	5.1950474	82.73684	14.098955	11.362866	36.63614	-16.371395	25600	-4.4703483e-10	307.32672	-0.012973661	-243.63602	4.4488726	0.015613777	0.2175	5.0	535.5955173969269	-0.5336684
16	47.10017	67.74997	299.32877	-0.2051128	93.117645	27.760645	36.626762	122.486694	-13.087215	27200	5.9604643e-10	818.5506	-0.015772304	-659.72235	4.4331474	0.016227478	0.215	11.0	568.5683035850525	-0.5343262
17	69.76874	98.83803	369.09143	5.4856606	104.78571	17.151598	11.682134	47.31801	-7.867395	28800	-3.1217933e-08	1589.9027	-0.013147728	-1277.4	4.409468	0.017495044	0.203125	5.0	601.0754640102386	-0.5347635
18	58.86992	54.417923	191.12027	7.0605545	87.77778	34.181667	26.229347	126.29347	-6.969912	30400	6.556511e-09	631.6225	-0.04117845	-489.39325	4.3798103	0.015139426	0.200625	63.0	634.8912260532379	-0.5419234
19	44.69291	33.01688	99.06744	4.43013	94.57143	25.804981	19.773085	78.01347	-33.683483	32000	1.6242266e-08	694.0656	-0.008526118	-514.99744	4.4510627	0.017610174	0.235	4.0	667.8528470993042	-0.54199535
20	71.3359	61.923138	243.98912	3.9568026	119.53846	28.342579	12.530356	65.49965	-14.331298	33600	7.0035457e-09	426.53433	-0.012671709	-212.12256	4.400981	0.018452302	0.2225	5.0	701.3160283565521	-0.5420546
21	52.74013	41.040104	125.188614	7.0664167	98.6875	23.219793	16.827246	74.702576	-31.599129	35200	-1.5497207e-08	301.17957	-0.02299498	-191.3804	4.383821	0.017185206	0.215625	8.0	734.2684605121613	-0.54222274
22	69.12019	73.642334	283.4161	2.4166417	108.35714	24.4627	14.825332	64.83362	-7.1650057	36800	4.8428774e-08	741.7686	-0.010926622	-507.86456	4.3698425	0.015882859	0.19875	6.0	767.1521818637848	-0.54236364
23	66.607285	85.60211	286.98486	11.152286	120.07692	17.988497	9.604645	62.19654	-8.460897	38400	2.682209e-08	726.33417	-0.0132037	-542.4245	4.3884935	0.016904524	0.224375	6.0	800.2584574222565	-0.54271275
24	48.474174	33.366158	139.69603	4.4984064	94.117645	18.530869	15.492616	52.847893	-19.221039	40000	-1.7881393e-09	270.38153	-0.053094815	-189.11252	4.3460655	0.014055258	0.203125	79.0	833.7833709716797	-0.54118025
25	85.27416	89.36487	310.82745	11.428989	136.63637	20.827051	15.810437	61.39714	-12.119044	41600	7.2792176e-08	743.54944	-0.047206923	-636.5908	4.369856	0.015256629	0.2075	43.0	866.7205102443695	-0.5401738
26	63.11086	70.32471	215.9368	0.100561805	121.1	34.78969	17.678083	80.28824	-13.00477	43200	-8.046627e-09	668.56	-0.0120286215	-588.70685	4.3958015	0.015878357	0.211875	5.0	899.3132650852203	-0.54042625
27	78.59717	72.00988	239.1661	5.8208685	141.90909	28.036646	24.93204	89.98888	-61.837887	44800	-1.1920929e-09	916.10077	-0.012118105	-715.87976	4.4023194	0.026989676	0.29875	4.0	932.0023620128632	-0.5405641
28	34.5769	25.961082	89.372765	6.9898596	82.1579	26.150963	16.508463	70.660034	-30.133085	46400	-5.662441e-09	393.1592	-0.007010027	-333.8641	4.3924575	0.021724455	0.27625	3.0	964.8009879589081	-0.54088175
29	73.569275	63.283173	213.66438	19.717512	136.8	20.720196	15.634255	74.44086	-18.07793	48000	-1.2069941e-08	573.15	-0.016536055	-402.00995	4.3988514	0.020997081	0.264375	4.0	997.9784691333771	-0.54178077
30	42.105762	33.604168	123.90865	5.0972486	85.55556	24.928701	15.256101	72.944176	-6.6983976	49600	-2.1457673e-08	240.80074	-0.00846062	-163.65607	4.4284205	0.017219588	0.230625	4.0	1031.5928044319153	-0.542407
31	37.976704	30.030819	112.98111	4.100055	84.111115	18.300812	13.11094	48.745247	-20.061434	51200	-2.503395e-08	146.81375	-0.006246754	-77.13324	4.3939366	0.025267074	0.305625	3.0	1064.683664560318	-0.542787
32	45.782734	29.768833	114.411865	5.208656	110.35714	14.926213	8.932711	37.34281	-7.7656913	52800	5.4836274e-08	100.911575	-0.051538035	-48.321587	4.3469105	0.015069641	0.220625	49.0	1097.669796705246	-0.53582895
33	87.13142	100.67558	364.85794	9.945431	141.63637	23.089083	12.526584	52.3499	-4.271401	54400	4.8726797e-08	512.1688	-0.012981408	-439.01465	4.3848095	0.014944416	0.204375	7.0	1130.360983133316	-0.53414446
34	77.79986	96.12766	364.05118	7.015242	128.75	27.121178	25.049677	89.32357	-29.097094	56000	3.2782554e-09	264.37207	-0.013065376	-228.34319	4.463738	0.01741765	0.23	5.0	1163.086431980133	-0.5327776
35	65.20263	59.377045	197.19994	6.1164355	123.07692	22.487906	21.717136	83.86365	-26.721325	57600	-1.2814999e-08	652.49005	-0.010502218	-514.71045	4.485701	0.015512046	0.1975	6.0	1196.0659675598145	-0.53203773
36	39.474483	29.073936	110.84624	3.2357464	76.1	23.10918	14.54463	67.50085	-13.491905	59200	1.9073486e-08	265.23206	-0.009484311	-197.36671	4.472924	0.017053828	0.235	4.0	1228.8396246433258	-0.53197575
37	86.2363	147.44572	564.64746	4.116608	116.25	23.434576	17.128214	85.19836	-5.5315466	60800	-2.5331974e-09	2175.7256	-0.037891097	-2072.4775	4.4131536	0.015284922	0.20625	36.0	1261.6743428707123	-0.5352088
